报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),15810,10318,5679,31729,25228,19554,9358,34019,24594,15301,8527,29803,22882,14284,8040,36432,27720,16185,29544,30000,32735,30441,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),148,142,93,657,573,127,47,1109,977,782,601,374,229,148,89,302,172,165,105,337,82,12,
收到的其他与经营活动有关的现金(万元),3143,2498,890,1074,1443,720,438,1730,1511,753,437,240,1272,1218,614,786,671,577,848,1019,1244,3504,
经营活动现金流入小计(万元),19101,12958,6662,33461,27243,20401,9844,36858,27083,16836,9566,30417,24383,15649,8743,37520,28564,16926,30496,31356,34061,33957,
购买商品、接受劳务支付的现金(万元),7125,4716,2605,17336,14305,9535,5192,26286,17402,11393,5762,17593,14951,9780,5341,17622,14643,6784,15035,17081,15673,20584,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4239,2626,1324,8118,5314,3435,1533,8489,5642,3636,1751,6611,4824,3410,1768,7747,5640,3969,7448,7025,6347,4498,
支付的各项税费(万元),1494,1275,789,2576,2304,1470,1037,3220,2792,1768,1266,4505,3308,1905,1362,4606,4167,2906,3995,4877,4443,2680,
支付的其他与经营活动有关的现金(万元),4319,2959,1630,3372,4601,3065,1604,4400,4851,3043,1952,4580,3931,2349,2371,3803,3570,2420,3407,4500,5431,4485,
经营活动现金流出小计(万元),17177,11577,6348,31402,26523,17505,9367,42394,30688,19839,10731,33289,27014,17445,10842,33778,28019,16079,29885,33483,31894,32246,
经营活动产生的现金流量净额(万元),1923,1382,314,2059,720,2896,477,-5537,-3605,-3003,-1165,-2872,-2631,-1795,-2099,3742,545,847,612,-2127,2167,1711,
收回投资所收到的现金(万元),10040,10040,,22750,16500,9900,2800,29800,24500,24500,10000,,,,,,,,,,,,
取得投资收益所收到的现金(万元),49,49,,207,183,112,62,172,115,115,69,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,7,7,22,19,13,0,26,12,7,17,12,5,4,,1,1,,,7,2,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),10096,10095,7,22979,16702,10025,2862,29998,24627,24622,10085,12,5,4,0,1,1,0,0,7,2,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1967,1160,823,2471,1533,1113,592,3180,3147,1797,167,1627,696,532,70,1153,791,700,684,646,790,2336,
投资所支付的现金(万元),14260,10040,5360,19950,13700,13700,3000,22600,22600,14500,6500,10000,,,,,,,,,155,87,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,3688,4293,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),16227,11200,6183,22421,15233,14813,3592,25780,25747,16297,6667,11627,696,532,70,1153,791,700,684,646,4633,6716,
投资活动产生的现金流量净额(万元),-6131,-1105,-6176,559,1469,-4788,-730,4218,-1119,8325,3418,-11616,-691,-528,-70,-1152,-791,-700,-684,-639,-4631,-6716,
吸收投资收到的现金(万元),,,,,,,,,,,,18525,,,,,,,,,8175,5437,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),1400,1400,1400,200,200,,,1900,1900,1000,,1820,1820,1000,,1400,1400,800,789,100,219,1050,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),1400,1400,1400,200,200,0,0,1900,1900,1000,0,20345,1820,1000,0,1400,1400,800,789,100,8394,6487,
偿还债务支付的现金(万元),1200,,,1900,1900,1400,801,1820,1803,1073,109,600,600,600,300,1050,988,375,639,19,705,545,
分配股利、利润或偿付利息所支付的现金(万元),158,37,14,307,300,33,19,597,589,49,26,59,25,5,2,40,31,16,32,1,30,75,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),16,7,7,33,26,19,3,32,153,139,11,927,24,17,14,113,21,18,87,24,158,38,
筹资活动现金流出小计(万元),1374,44,22,2240,2226,1451,823,2449,2545,1261,146,1586,650,623,316,1203,1040,409,758,43,893,658,
筹资活动产生的现金流量净额(万元),26,1356,1378,-2040,-2026,-1451,-823,-549,-645,-261,-146,18759,1170,377,-316,197,360,391,31,57,7501,5828,
汇率变动对现金及现金等价物的影响(万元),-4,-3,-3,1,0,-3,-2,-10,-17,-17,-1,-4,7,10,-13,-15,-7,0,5,-25,-16,-6,
现金及现金等价物净增加额(万元),-4186,1629,-4487,578,164,-3346,-1078,-1878,-5387,5044,2106,4267,-2145,-1936,-2498,2771,107,538,-36,-2734,5021,818,
加:期初现金及现金等价物余额(万元),10386,10386,10386,9809,9809,9809,9809,11686,11686,11686,11686,7419,7419,7419,7419,4647,4647,4647,4684,7418,2397,1580,
期末现金及现金等价物余额(万元),6200,12015,5899,10386,9972,6463,8731,9809,6299,16730,13792,11686,5274,5482,4921,7419,4755,5185,4647,4684,7418,2397,
净利润(万元),,-792,,643,,708,,1617,,847,,3022,,1232,,3950,,1322,3879,3946,4502,2602,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-27,,1384,,-66,,886,,89,,1242,,170,,309,,61,667,452,570,157,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,402,,783,,322,,506,,230,,417,,226,,457,,353,470,452,608,411,
无形资产摊销(万元),,58,,111,,53,,77,,33,,53,,27,,54,,,53,51,,,
长期待摊费用摊销(万元),,76,,97,,39,,104,,59,,185,,94,,188,,,189,171,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,2,,3,,8,,29,,27,,-5,,-2,,2,,1,1,2,16,1,
固定资产报废损失(万元),,,,25,,8,,6,,1,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,62,,81,,48,,155,,66,,94,,5,,86,,40,58,56,76,99,
投资损失(万元),,-46,,-195,,-105,,-172,,-109,,,,,,,,,,,36,1,
递延所得税资产减少(万元),,25,,-183,,1,,-23,,14,,-192,,-44,,-85,,-4,-142,-12,-164,-39,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-260,,2528,,-2573,,-4675,,-3886,,-465,,64,,-277,,-3196,134,6195,-1383,-7885,
经营性应收项目的减少(万元),,3768,,2004,,1309,,-4372,,-4586,,-5504,,-2127,,721,,80,-6286,-2957,-5105,-2746,
经营性应付项目的增加(万元),,-1887,,-5222,,3146,,326,,4524,,-1622,,-1924,,-1384,,2674,2018,-10574,2545,8426,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,-313,,-98,,485,,-278,,-483,-428,91,467,684,
经营活动产生现金流量净额(万元),,1382,,2059,,2896,,-5537,,-3003,,-2872,,-1795,,3742,,847,612,-2127,2167,1711,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),6200,,5899,10386,9972,6463,8731,9809,6299,16730,13792,11686,5274,5482,4921,7419,4755,5185,4647,4684,7418,2397,
现金的期初余额(万元),10386,,10386,9809,9809,9809,9809,11686,11686,11686,11686,7419,7419,7419,7419,4647,4647,4647,4684,7418,2397,1580,
现金等价物的期末余额(万元),,12015,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,10386,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-4186,1629,-4487,578,164,-3346,-1078,-1878,-5387,5044,2106,4267,-2145,-1936,-2498,2771,107,538,-36,-2734,5021,818,

