报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,
销售商品、提供劳务收到的现金(万元),376840,181742,60423,633100,304561,169743,76842,419011,269783,251813,219270,138042,43728,19230,314681,190238,140532,19636,425372,289289,75514,14539,248595,68110,41128,162168,157302,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,52,1,,,,,,,
收到的其他与经营活动有关的现金(万元),44946,38238,23823,47760,42519,32179,14919,43497,17928,19512,17870,3647,2602,28844,4526,8388,7598,38650,24375,29207,94298,7227,10312,19848,17516,491,11278,
经营活动现金流入小计(万元),421786,219980,84247,680860,347080,201922,91760,462508,287711,271326,237140,141689,46330,48074,319206,198626,148130,58286,449747,318548,169813,21767,258907,87958,58643,162659,168579,
购买商品、接受劳务支付的现金(万元),495447,261347,129456,627307,378221,214161,91636,480283,313554,193092,177719,116109,53898,41081,300765,189929,159903,35931,373757,275982,136929,53396,219979,81845,70245,150175,130440,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),26626,18612,9856,31467,22912,15470,8114,27786,16296,18379,16219,11762,7226,3239,20543,12470,8039,3679,22577,10355,4556,1231,12409,3712,2756,11095,8489,
支付的各项税费(万元),9829,7355,3326,19014,17753,8649,2598,21092,13767,13704,10430,6791,3886,2173,13064,12291,6232,998,19061,4273,2698,377,10101,3466,2709,6107,5255,
支付的其他与经营活动有关的现金(万元),41199,40958,19407,36750,33367,34932,10799,60692,40924,15831,19619,6780,555,16136,9538,4324,12848,62685,55033,69435,80335,5877,4116,11130,8190,34923,7527,
经营活动现金流出小计(万元),573102,328272,162044,714538,452253,273213,113148,589852,384541,241006,223988,141442,65566,62629,343910,219014,187022,103292,470429,360045,224518,60881,246604,100153,83900,202299,151711,
经营活动产生的现金流量净额(万元),-151316,-108292,-77798,-33678,-105173,-71291,-21387,-127344,-96830,30320,13152,247,-19235,-14555,-24704,-20388,-38892,-45006,-20682,-41497,-54705,-39114,12303,-12196,-25257,-39640,16869,
收回投资所收到的现金(万元),,,,,,,,,2784,,,35,,,180,103,,104,7,268,4255,,3,,,,,
取得投资收益所收到的现金(万元),56,56,56,80,80,80,80,32,32,32,40,40,40,,104,,,404,,112,98,,9,12,3,,22,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),231,202,201,143,121,121,7,146,146,43,734,218,,,614,,,,669,873,930,,70,,,191,1,
处置子公司及其他营业单位收到的现金净额(万元),15000,15000,,13835,13835,13835,13835,2784,,,,,,,77,,,,,114,,,,,,,20,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,21181,11138,,,,,,,,,3,379,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),15287,15258,257,14058,14036,14036,13922,2963,2963,21256,11912,293,40,0,974,103,0,508,676,1369,5662,0,82,12,3,191,43,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1384,775,677,15545,10960,10356,4555,3835,3016,12564,6874,9041,2993,760,2718,11120,1218,159,4077,2037,1714,271,1595,1170,978,4670,2085,
投资所支付的现金(万元),,,,,,,,2573,2974,100,,563,,,,2631,,2202,822,1797,5104,,217,800,366,,3,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,2505,,,,,,,694,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),8064,8064,,,,,,1374,,9518,16117,,,,,,,,,308,794,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),9448,8839,677,15545,10960,10356,4555,10287,5990,22182,22991,9605,2993,760,3411,13751,1218,2362,4898,4142,7612,271,1812,1970,1344,4670,2088,
投资活动产生的现金流量净额(万元),5839,6419,-420,-1487,3076,3681,9367,-7324,-3028,-926,-11079,-9311,-2953,-760,-2437,-13648,-1218,-1854,-4223,-2772,-1950,-271,-1731,-1959,-1341,-4479,-2045,
吸收投资收到的现金(万元),,,,57367,2827,,,850,260,848,38377,,,,22411,21890,21890,1700,9605,9950,5700,,427,,50,2599,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,15450,2827,,,850,260,848,677,,,,925,,,,150,,,,427,,,2599,,
取得借款收到的现金(万元),364000,312000,147000,251100,220100,169100,118100,265800,226300,57500,41500,51500,40500,5000,99000,84000,62300,52300,77939,75442,51742,29000,48950,19450,18450,49843,900,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),3633,1803,,,,,,17135,17677,,,,,,,,,,,,,,342,,4,,,
筹资活动现金流入小计(万元),367633,313803,147000,308467,222927,169100,118100,283785,244237,58348,79877,51500,40500,5000,121411,105890,84190,54000,87544,85392,57442,29000,49719,19450,18504,52442,900,
偿还债务支付的现金(万元),179925,150535,97890,225485,136540,129750,92050,77900,52700,67640,62740,63240,55420,22920,82670,76670,50850,25000,56750,50151,31051,19178,33241,12510,12478,109,900,
分配股利、利润或偿付利息所支付的现金(万元),21906,6081,2859,14649,10210,7800,4007,15192,7939,11810,5304,3087,1894,1282,10743,3621,3056,1730,8894,352,5919,351,3289,2735,1011,1722,75,
其中：子公司支付给少数股东的股利、利润(万元),,,,245,,,,730,,427,126,,,,904,,,,,7275,,,15,,,,,
支付其他与筹资活动有关的现金(万元),342,342,3080,3534,3482,1502,2045,258,,9542,,,,,,,,,,285,124,148,124,,163,,,
筹资活动现金流出小计(万元),202174,156958,103829,243669,150232,139052,98103,93350,60639,88993,68044,66327,57314,24202,93413,80291,53906,26730,65644,50788,37094,19677,36653,15245,13652,1831,975,
