报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),69457,42304,18957,72748,76754,32720,22556,54914,53250,33021,12757,46563,36370,24537,10328,40745,32520,19495,45131,40421,41908,32184,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),815,451,,886,104,387,34,289,41,34,27,19,19,2,,,,,,,6,61,
收到的其他与经营活动有关的现金(万元),1115,958,1035,918,3458,231,5188,1274,5525,914,4529,763,18824,144,104,1089,17286,145,453,618,357,399,
经营活动现金流入小计(万元),71388,43713,19993,74552,80316,33338,27778,56476,58816,33968,17313,47346,55213,24683,10432,41834,49806,19640,45584,41039,42272,32643,
购买商品、接受劳务支付的现金(万元),39654,25118,12072,48038,68331,26509,24997,34751,43176,25926,17365,28075,42763,14085,5607,22217,35673,11557,25542,25601,24003,18530,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8414,5429,3021,9058,6720,4352,2192,7659,5947,3717,2058,6601,4853,3115,1476,6103,4483,2746,5547,4196,3399,2704,
支付的各项税费(万元),5539,2748,1091,2048,1046,593,305,4113,3794,2445,784,4879,3773,2603,1467,4035,3362,2130,3998,2913,3856,2910,
支付的其他与经营活动有关的现金(万元),3098,2303,3322,5656,2227,2451,3585,3345,1961,1127,618,3291,2416,1573,626,2896,5457,1693,2443,2487,2499,1701,
经营活动现金流出小计(万元),56706,35599,19505,64800,78324,33904,31079,49867,54878,33215,20826,42846,53806,21375,9176,35251,48974,18127,37530,35198,33757,25845,
经营活动产生的现金流量净额(万元),14682,8114,488,9751,1992,-566,-3301,6609,3937,753,-3513,4500,1407,3308,1256,6582,832,1513,8054,5841,8515,6798,
收回投资所收到的现金(万元),235,235,,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),383,183,19,122,37,43,,32,32,,,28,28,28,,40,40,40,76,76,76,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),212,1,1,32,20,,,16,16,16,16,1,,,,21,6,18,10,3,9,64,
处置子公司及其他营业单位收到的现金净额(万元),,0,,,,,,,,,,,,,,,,,,,,464,
收到的其他与投资活动有关的现金(万元),4000,2000,,9200,8200,4500,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),4830,2419,20,9353,8257,4543,0,48,48,16,16,29,28,28,0,62,46,58,86,79,85,528,
