报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),35919,25080,15036,46857,29787,17233,11006,24980,18397,11311,6868,17425,12151,6975,13845,13599,12013,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),634,437,224,679,595,338,212,381,329,255,46,244,196,130,191,147,178,
收到的其他与经营活动有关的现金(万元),700,90,42,1176,787,202,250,822,554,416,198,253,185,174,295,76,358,
经营活动现金流入小计(万元),37253,25608,15302,48712,31168,17774,11469,26182,19281,11981,7112,17922,12533,7278,14331,13822,12550,
购买商品、接受劳务支付的现金(万元),14119,7899,4519,33187,16308,9438,9418,14864,11327,9252,5297,4068,3085,667,3549,4475,4021,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4407,3232,1935,4986,3861,2741,1670,4096,3180,2316,1409,3334,2576,1880,3214,2856,2173,
支付的各项税费(万元),2858,1921,941,4192,2905,1894,896,2966,2085,1339,707,2873,2071,1357,2816,2246,1527,
支付的其他与经营活动有关的现金(万元),5030,3381,1786,5867,6104,4234,1227,4872,3684,2166,702,4829,3107,2113,3619,3251,3350,
经营活动现金流出小计(万元),26414,16433,9182,48231,29178,18306,13211,26798,20277,15073,8115,15104,10839,6017,13198,12828,11070,
经营活动产生的现金流量净额(万元),10839,9176,6120,481,1990,-532,-1742,-616,-996,-3092,-1003,2818,1693,1262,1133,994,1479,
收回投资所收到的现金(万元),,,9000,3400,,,15400,,,,,,,,,,,
取得投资收益所收到的现金(万元),176,174,181,397,313,171,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),15,6,1,5,3,2,,11,,,,2,2,2,1,55,5,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),12282,12171,9,45,31639,15420,52,19,10,8,8,8,7,5,12,17,11,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),12472,12351,9191,3847,31955,15593,15452,30,10,8,8,10,9,7,14,73,17,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6205,5210,1084,4546,2939,1309,361,893,616,636,1001,2255,1256,888,255,650,3027,
投资所支付的现金(万元),,,,,,,,15400,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,4211,,,
支付的其他与投资活动有关的现金(万元),,,,,30982,13500,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),6205,5210,1084,4546,33921,14809,361,16293,616,636,1001,2255,1256,888,4466,650,3027,
投资活动产生的现金流量净额(万元),6267,7141,8106,-699,-1965,784,15091,-16263,-606,-629,-994,-2245,-1247,-881,-4452,-577,-3010,
吸收投资收到的现金(万元),,,,,,,,17063,,,,2600,2600,2600,5000,,1000,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),1200,1200,,8900,4500,4500,3100,5100,4200,3700,1000,3650,2650,2650,6190,5490,4500,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,1150,179,1215,
