报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),21385,11082,2697,23920,13228,9310,3590,12217,6320,3685,1412,21534,16441,12898,8881,13873,13182,24830,30842,36252,14553,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),0,,,16,30,30,,,17,17,7,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1913,732,476,631,1508,749,113,2261,2040,1694,763,1601,1538,1299,546,2573,1235,2874,4284,1918,85,
经营活动现金流入小计(万元),23298,11814,3173,24567,14766,10090,3703,14478,8377,5396,2183,23135,17979,14197,9427,16446,14416,27704,35127,38170,14638,
购买商品、接受劳务支付的现金(万元),12770,5400,2253,23984,14988,8597,3821,10409,8675,5774,3257,16491,10690,7959,2488,8256,8145,20231,21979,22345,10361,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),3116,2317,1516,2890,2230,1488,801,2577,2174,1520,867,2600,2216,1681,1045,3055,2436,2562,2122,1103,1157,
支付的各项税费(万元),1111,808,337,2617,1607,915,456,1999,1535,592,296,4752,3785,2808,1810,6079,5738,3743,2878,3136,582,
