报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),350537,236914,136741,422944,291176,198312,114457,348549,246807,170071,92109,303092,216892,146664,72466,314224,234646,159234,91114,281593,285394,225350,188774,
客户存款和同业存放款项净增加额(万元),24679,24149,,,1058,410,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),1759,1198,898,2803,1361,749,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,4,,,16,,,,,,,,,,,,,,229,,
收到的其他与经营活动有关的现金(万元),31772,18145,2842,11166,36097,25229,6399,6405,11962,1925,7402,11317,10742,8269,30508,5737,4842,3264,4376,20749,9935,11672,12388,
经营活动现金流入小计(万元),408747,280406,158028,436913,329696,224700,120856,354970,258769,171995,99510,314409,227634,154933,102974,319961,239489,162498,95490,302341,295329,237252,201162,
购买商品、接受劳务支付的现金(万元),318246,207418,119551,352659,232745,165128,86374,277733,211475,141825,77995,264983,218242,145018,81968,235809,182143,125917,73028,221987,231940,186242,149701,
客户贷款及垫款净增加额(万元),6819,8494,,32153,32101,30911,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),19190,12547,6532,17607,9932,7363,3971,12138,9301,5988,3193,11541,9064,6025,3514,11590,8763,6031,3271,9823,8660,5291,3368,
支付的各项税费(万元),10118,7093,3955,13503,11188,7153,4539,12972,9237,7014,4502,12465,9194,6815,3871,13680,10559,7689,5257,11464,9962,9035,7866,
支付的其他与经营活动有关的现金(万元),41966,28215,10755,19632,59608,39521,14104,16825,31209,12062,13052,21195,17786,10360,20315,29302,21467,11025,7350,30413,17555,18942,17168,
经营活动现金流出小计(万元),396339,263767,140793,435554,345574,250076,108987,319667,261223,166889,98742,310184,254285,168218,109668,290381,222931,150661,88906,273687,268117,219509,178102,
经营活动产生的现金流量净额(万元),12407,16639,17235,1359,-15878,-25376,11870,35303,-2453,5106,768,4225,-26651,-13285,-6694,29580,16557,11837,6584,28654,27212,17742,23060,
收回投资所收到的现金(万元),,,,20,,,,,,,,,,,,112,,,,124,1270,,,
取得投资收益所收到的现金(万元),49,49,,49,49,,,67,67,,,67,67,67,,,112,112,,36,257,84,236,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,0,0,13,3,3,0,53,0,0,,314,305,305,,,,,,19,1,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,2835,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,2800,,,,,0,,,,,,,3042,3042,3033,2104,6033,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),50,50,0,5717,53,3,0,120,68,0,0,381,372,372,0,3154,3154,3145,2104,6211,1528,84,236,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),11970,9909,5875,40260,33315,13623,7006,15984,9712,5621,3465,11114,9235,3530,668,15144,11279,9256,6172,34781,33303,41569,5980,
投资所支付的现金(万元),1200,400,,2240,40,,,1249,,,,,,,,,,,,,,900,900,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,8301,5879,,,,,,,,,,,,,,,,,,470,
支付的其他与投资活动有关的现金(万元),,,,12000,,,5000,25000,,,,,,,,414,414,414,4,7570,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),13170,10309,5875,62801,39233,13623,12006,42233,9712,5621,3465,11114,9235,3530,668,15559,11693,9670,6176,42350,33303,42469,7350,
投资活动产生的现金流量净额(万元),-13120,-10259,-5875,-57084,-39181,-13619,-12006,-42113,-9644,-5621,-3465,-10733,-8862,-3157,-668,-12405,-8539,-6525,-4073,-36139,-31775,-42385,-7115,
吸收投资收到的现金(万元),,,,,,,,,,,,47930,48910,48910,,,,,,,,,3882,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),42800,27800,16550,96505,74505,54505,28600,23185,15000,10000,,11956,11756,11756,3756,8000,8000,8000,,23334,33150,25300,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,1600,78,
筹资活动现金流入小计(万元),42800,27800,16550,96505,74505,54505,28600,23185,15000,10000,0,59886,60666,60666,3756,8000,8000,8000,0,23334,33150,26900,3960,
偿还债务支付的现金(万元),56755,50255,25600,26185,21000,21000,314,21830,21630,21630,1851,40478,30627,12651,7355,17041,14816,12591,7225,15927,14531,17900,2913,
分配股利、利润或偿付利息所支付的现金(万元),3527,2346,1174,5456,2572,686,167,3007,2362,2291,292,2707,2303,1809,815,6491,3937,2842,1540,6989,3537,2475,1046,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,2,2,,,,,,,,,,500,800,2300,,
筹资活动现金流出小计(万元),60282,52601,26774,31641,23572,21686,481,24837,23993,23922,2142,43184,32931,14460,8170,23533,18753,15433,8766,23416,18868,22675,3959,
筹资活动产生的现金流量净额(万元),-17482,-24801,-10224,64864,50933,32819,28119,-1652,-8993,-13922,-2142,16702,27735,46206,-4414,-15533,-10753,-7433,-8766,-82,14282,4225,1,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-18195,-18422,1135,9139,-4126,-6176,27982,-8462,-21091,-14437,-4839,10194,-7778,29764,-11777,1642,-2735,-2121,-6254,-7567,9719,-20418,15946,
加:期初现金及现金等价物余额(万元),26317,26317,27047,17178,17178,17178,17178,25641,25641,25641,25641,15447,15447,15447,15447,13805,13805,13805,13805,21372,11653,32071,16125,
期末现金及现金等价物余额(万元),8122,7895,28183,26317,13052,11002,45160,17178,4550,11204,20802,25641,7669,45211,3670,15447,11070,11684,7551,13805,21372,11653,32071,
净利润(万元),,2573,,7016,,8006,,10214,,6450,,9661,,3823,,10395,,4737,,10595,8968,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-105,,3648,,197,,1893,,2,,369,,22,,-50,,58,,-18,109,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,4091,,5788,,2325,,4424,,1616,,6105,,3959,,7998,,4012,,5164,3529,,,
无形资产摊销(万元),,216,,498,,237,,455,,232,,515,,269,,515,,386,,872,722,,,
长期待摊费用摊销(万元),,4898,,6359,,2439,,4374,,2175,,3951,,1760,,3415,,1662,,2853,1723,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-8,,-8,,-11,,25,,,,-342,,1,,-526,,,,-15,0,,,
固定资产报废损失(万元),,0,,0,,,,270,,-0,,,,,,,,,,,1,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,2977,,3207,,1649,,885,,899,,2396,,1554,,3813,,2067,,3025,2498,,,
投资损失(万元),,14,,-3304,,1,,-165,,,,-67,,-67,,-112,,-112,,-36,-88,,,
递延所得税资产减少(万元),,-26,,-36,,-33,,302,,162,,118,,-25,,-276,,-180,,-190,-1,,,
递延所得税负债增加(万元),,-111,,-130,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,413,,-5433,,406,,-1946,,187,,-392,,692,,1494,,2041,,-801,-34,,,
经营性应收项目的减少(万元),,8219,,-31876,,-30771,,-6148,,-1717,,-324,,2676,,-9088,,-1154,,-1092,2726,,,
经营性应付项目的增加(万元),,-6511,,15630,,-9819,,20718,,-4899,,-17766,,-27948,,12002,,-181,,8297,7059,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,-1500,,,,,,
经营活动产生现金流量净额(万元),,16639,,1359,,-25376,,35303,,5106,,4225,,-13285,,29580,,11837,,28654,27212,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),8122,7895,28183,26317,13052,11002,45160,17178,4550,11204,20802,25641,7669,45211,3670,15447,11070,11684,7551,13805,21372,11653,32071,
现金的期初余额(万元),26317,26317,27047,17178,17178,17178,17178,25641,25641,25641,25641,15447,15447,15447,15447,13805,13805,13805,13805,21372,11653,32071,16125,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-18195,-18422,1135,9139,-4126,-6176,27982,-8462,-21091,-14437,-4839,10194,-7778,29764,-11777,1642,-2735,-2121,-6254,-7567,9719,-20418,15946,

