报告日期,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),38671,25784,52488,23876,39962,32605,21095,
客户存款和同业存放款项净增加额(万元),,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,
拆入资金净增加额(万元),,,,,,,,
回购业务资金净增加额(万元),,,,,,,,
收到的税费返还(万元),86,32,72,17,102,,,
收到的其他与经营活动有关的现金(万元),843,502,879,55,140,233,1366,
经营活动现金流入小计(万元),39599,26318,53439,23948,40205,32839,22461,
购买商品、接受劳务支付的现金(万元),16993,10740,26799,11752,18907,17337,9482,
客户贷款及垫款净增加额(万元),,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,
支付保单红利的现金(万元),,,,,,,,
支付给职工以及为职工支付的现金(万元),5436,3775,6144,3163,5147,3939,3147,
支付的各项税费(万元),4001,2915,4868,2498,3739,2751,3018,
支付的其他与经营活动有关的现金(万元),6863,4950,8089,4186,7964,5326,4237,
经营活动现金流出小计(万元),33293,22379,45900,21599,35756,29354,19883,
经营活动产生的现金流量净额(万元),6306,3940,7539,2348,4448,3485,2578,
收回投资所收到的现金(万元),,,,,,,5000,
取得投资收益所收到的现金(万元),5,5,26,26,26,8,32,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),494,471,586,364,255,330,393,
处置子公司及其他营业单位收到的现金净额(万元),,,,,367,,,
收到的其他与投资活动有关的现金(万元),,,,,191,10418,13518,
减少质押和定期存款所收到的现金(万元),,,,,,,,
投资活动现金流入小计(万元),499,476,612,390,839,10756,18942,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7636,4614,5380,2614,5697,12007,5726,
投资所支付的现金(万元),,,,,,,,
质押贷款净增加额(万元),,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,200,,250,
支付的其他与投资活动有关的现金(万元),,,,,,5540,13248,
增加质押和定期存款所支付的现金(万元),,,,,,,,
投资活动现金流出小计(万元),7636,4614,5380,2614,5897,17548,19224,
投资活动产生的现金流量净额(万元),-7137,-4138,-4769,-2224,-5058,-6791,-282,
吸收投资收到的现金(万元),,,,,,9800,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,
取得借款收到的现金(万元),18833,11133,25045,9565,18650,19500,16200,
发行债券收到的现金(万元),,,,,,,,
收到其他与筹资活动有关的现金(万元),6881,3835,7580,6260,6594,10218,9550,
筹资活动现金流入小计(万元),25714,14968,32625,15825,25244,39518,25750,
偿还债务支付的现金(万元),14281,8158,20631,10059,15750,17500,18200,
分配股利、利润或偿付利息所支付的现金(万元),1386,865,3414,505,1619,1305,1441,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,
支付其他与筹资活动有关的现金(万元),8765,6539,10966,5152,10481,13815,7836,
筹资活动现金流出小计(万元),24433,15563,35011,15716,27850,32620,27478,
筹资活动产生的现金流量净额(万元),1282,-594,-2386,109,-2606,6898,-1728,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,
现金及现金等价物净增加额(万元),451,-792,385,233,-3215,3592,568,
加:期初现金及现金等价物余额(万元),1839,1839,1454,1454,4669,1078,510,
期末现金及现金等价物余额(万元),2291,1047,1839,1687,1454,4669,1078,
净利润(万元),6406,,,,,,,
少数股东损益(万元),,,,,,,,
未确认的投资损失(万元),,,,,,,,
资产减值准备(万元),7,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),3284,,,,,,,
无形资产摊销(万元),79,,,,,,,
长期待摊费用摊销(万元),329,,,,,,,
待摊费用的减少(万元),,,,,,,,
预提费用的增加(万元),,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),-1,,,,,,,
固定资产报废损失(万元),126,,,,,,,
公允价值变动损失(万元),,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,
预计负债(万元),,,,,,,,
财务费用(万元),2698,,,,,,,
投资损失(万元),-5,,,,,,,
递延所得税资产减少(万元),-7,,,,,,,
递延所得税负债增加(万元),-11,,,,,,,
存货的减少(万元),49,,,,,,,
经营性应收项目的减少(万元),-6756,,,,,,,
经营性应付项目的增加(万元),143,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,
其他(万元),-96,,,,,,,
经营活动产生现金流量净额(万元),6306,,,,,,,
债务转为资本(万元),,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,
融资租入固定资产(万元),3926,,,,,,,
现金的期末余额(万元),2291,1047,1839,1687,1454,4669,1078,
现金的期初余额(万元),1839,1839,1454,1454,4669,1078,510,
现金等价物的期末余额(万元),,,,,,,,
现金等价物的期初余额(万元),,,,,,,,
现金及现金等价物的净增加额(万元),451,-792,385,233,-3215,3592,568,

