报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),84993,54434,26170,114172,83507,52935,21911,102115,72864,45717,20908,86344,62134,38530,82159,39543,77534,68366,56070,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),2074,1608,904,3292,2447,1726,881,2984,2400,1609,800,1676,1536,987,1108,858,1707,1235,1166,
收到的其他与经营活动有关的现金(万元),1273,791,660,1436,1150,957,1043,2269,1337,541,227,879,766,690,1710,993,493,1510,18147,
经营活动现金流入小计(万元),88340,56833,27734,118900,87105,55618,23836,107369,76601,47866,21935,88899,64436,40207,84978,41394,79734,71110,75383,
购买商品、接受劳务支付的现金(万元),57696,38117,16654,82789,63915,39996,18570,79894,59573,39041,18042,59786,44991,29103,56818,30935,60955,56740,54023,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5531,3797,2299,6852,5207,3561,2014,6544,4718,3399,2123,5283,3677,2771,3745,2042,2981,2082,2060,
支付的各项税费(万元),3713,2321,1051,4504,3226,2128,1156,3897,2736,1661,661,4482,3403,2437,3151,1201,2423,2078,2014,
