报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),186016,120206,56666,157219,114718,62655,30145,146842,103027,71357,40133,133502,65692,95965,82284,77079,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),294,15,,565,,,270,2011,1970,1990,,,,,,,
收到的其他与经营活动有关的现金(万元),7539,2653,1905,5895,3882,3165,226,2323,1803,1762,783,405,547,340,142,4393,
经营活动现金流入小计(万元),193850,122873,58572,163679,118600,65820,30641,151175,106801,75109,40917,133907,66239,96304,82426,81472,
购买商品、接受劳务支付的现金(万元),65761,33433,18359,43764,32571,18047,12360,45484,34123,21838,12798,42727,24779,26013,25724,24945,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),63701,42318,18377,69820,48834,32272,14183,55419,40221,25336,13076,44841,21910,41369,32898,27610,
