报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),77461,49526,86279,65053,42728,120118,60494,94423,92577,96781,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),4720,3646,5454,4027,2552,9116,4362,7967,8748,6630,
收到的其他与经营活动有关的现金(万元),11589,9452,1288,638,693,866,468,763,975,1222,
经营活动现金流入小计(万元),93771,62624,93021,69718,45973,130099,65324,103152,102300,104633,
购买商品、接受劳务支付的现金(万元),34562,7631,75803,32711,4836,62838,14992,68592,66644,76066,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),3176,2326,6724,3346,2693,5655,2546,5468,5120,4395,
支付的各项税费(万元),2115,1197,2825,2468,2037,4357,2542,4686,4032,4034,
支付的其他与经营活动有关的现金(万元),5624,4367,6532,4103,2359,12493,5282,10830,7014,6527,
经营活动现金流出小计(万元),45477,15521,91885,42629,11925,85342,25362,89576,82810,91022,
经营活动产生的现金流量净额(万元),48293,47103,1136,27089,34047,44756,39962,13576,19490,13611,
收回投资所收到的现金(万元),442608,251408,529143,353306,171783,431067,140380,198960,,,
取得投资收益所收到的现金(万元),836,566,1006,503,347,738,263,572,453,251,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16,14,,,,49,38,2,148,60,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,4028,4028,4444,2865,2921,
收到的其他与投资活动有关的现金(万元),414,261,453,345,314,16,16,43,127,24,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),443874,252250,530602,354155,172445,435899,144725,204022,182086,337746,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7910,2268,4767,4265,2754,4696,3332,1229,4463,1317,
投资所支付的现金(万元),458608,251408,529143,383726,171783,431067,140380,193629,,,
质押贷款净增加额(万元),,,,,,,,,,,
