报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),376139,254204,125684,510131,375084,204303,84085,457129,312648,209766,85422,325917,321757,365994,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,198,198,99,,243,216,143,
收到的其他与经营活动有关的现金(万元),612,357,237,4074,3670,3632,3611,4146,4769,4149,4113,2933,217,276,
经营活动现金流入小计(万元),376751,254560,125921,514205,378754,207935,87696,461472,317615,214014,89535,329093,322190,366413,
购买商品、接受劳务支付的现金(万元),342874,224325,119295,532800,404714,281470,136351,433837,352234,198761,108118,305424,270730,335965,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4907,3508,1805,6037,4616,3242,1642,5484,4228,2989,1548,4868,4451,3520,
支付的各项税费(万元),3690,2203,1341,8763,7440,6080,4911,8055,3512,3164,460,6466,5900,2922,
支付的其他与经营活动有关的现金(万元),2583,1775,922,3702,5142,1858,865,7030,2100,5363,1915,7090,5211,2658,
经营活动现金流出小计(万元),354054,231810,123363,551301,421911,292649,143769,454405,362074,210278,112041,323848,286292,345064,
经营活动产生的现金流量净额(万元),22697,22750,2559,-37095,-43157,-84714,-56073,7066,-44460,3736,-22505,5245,35898,21348,
收回投资所收到的现金(万元),142871,92371,21571,80152,331,152,128,372,374,320,303,1292,1963,4694,
取得投资收益所收到的现金(万元),1333,649,121,857,,0,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,5,,7,7,0,0,62,55,45,,,,19,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),169,99,392,4255,255,255,255,33,33,33,33,23,10106,78170,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),144377,93123,22084,85271,594,407,383,467,462,398,336,1315,12069,82883,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),16741,9781,3819,14830,2924,1093,304,941,953,845,221,446,610,1017,
投资所支付的现金(万元),208396,162588,73947,107322,30710,30489,614,152,382,167,53,286,2997,5604,
