报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),1156218,749307,347948,1284853,916922,585121,255346,939111,636251,384219,204900,807307,588408,377456,159105,731981,510655,334070,148000,694649,589374,493536,321574,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),54,4,0,,0,0,0,,,,,,,0,,,,,,79,24,,,
收到的其他与经营活动有关的现金(万元),23951,15676,7862,25846,13194,10012,1897,5450,12403,11522,1472,2637,3337,2057,1571,4090,2606,1928,1215,3178,1761,4926,1220,
经营活动现金流入小计(万元),1180224,764987,355810,1310699,930116,595133,257243,944561,648654,395741,206372,809945,591745,379514,160676,736071,513262,335998,149215,697905,591159,498462,322794,
购买商品、接受劳务支付的现金(万元),1170055,775281,392234,1206126,884966,573375,291824,928127,690594,439473,209244,782584,625751,434587,207482,693716,514426,329593,185407,635004,555557,475008,295142,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),27681,18914,10767,29562,21329,14246,7992,20285,14890,9581,5372,16642,12341,8488,4771,15484,11873,8307,4614,14560,11663,9109,6833,
支付的各项税费(万元),20259,12885,6436,21494,16734,10969,5540,14964,10605,6789,2978,13144,10454,7139,3759,13295,9796,6077,3197,14099,12655,8538,5612,
支付的其他与经营活动有关的现金(万元),35110,22751,10494,40840,15126,18860,5747,25901,15552,8886,4806,10378,11088,9531,4882,13553,11262,7420,6935,16453,18930,9101,12406,
经营活动现金流出小计(万元),1253105,829831,419931,1298022,938155,617450,311103,989277,731641,464729,222400,822748,659635,459746,220894,736049,547358,351397,200153,680116,598805,501756,319993,
