报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),54729,40051,19689,58666,44971,29769,14427,47431,39065,20514,7581,31292,23381,14471,4919,34230,26547,15146,5726,31533,23232,15885,4984,24384,21241,15626,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),470,352,149,885,551,313,181,478,279,161,,52,39,2,,41,31,17,8,24,17,2,2,45,34,50,
收到的其他与经营活动有关的现金(万元),4539,3633,3011,1590,2352,920,349,1267,624,387,107,4419,152,128,52,121,248,231,102,2197,1255,1114,138,428,622,987,
经营活动现金流入小计(万元),59738,44036,22849,61141,47874,31003,14957,49176,39967,21062,7688,35763,23572,14601,4971,34391,26826,15394,5835,33754,24503,17001,5124,24857,21897,16663,
购买商品、接受劳务支付的现金(万元),34409,26035,13609,32080,30903,17184,8749,31000,31473,14093,7729,21568,19560,9911,5420,26919,21441,10370,7188,21947,17975,10576,7098,14718,12487,9058,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),10986,7801,3986,13530,9728,6662,2712,9637,6913,4267,1851,6035,4674,3264,1848,5192,3940,2594,1471,4555,3426,2268,1272,3685,2836,1850,
支付的各项税费(万元),4124,2988,1523,6564,4945,3202,1804,5086,4224,1743,502,3403,2906,1191,597,3450,3154,2003,905,2663,2401,1478,775,2568,1771,1569,
支付的其他与经营活动有关的现金(万元),10207,5284,5946,7531,8564,4627,4249,5619,3430,2332,787,7070,3395,1374,757,2189,2059,1447,816,2146,1806,1368,692,2281,2247,2851,
经营活动现金流出小计(万元),59726,42108,25064,59705,54140,31675,17514,51342,46041,22435,10868,38076,30535,15740,8622,37750,30594,16415,10380,31312,25608,15691,9838,23251,19341,15328,
经营活动产生的现金流量净额(万元),11,1928,-2215,1435,-6266,-672,-2557,-2166,-6074,-1373,-3180,-2313,-6963,-1138,-3651,-3359,-3768,-1021,-4545,2442,-1104,1311,-4714,1606,2556,1336,
收回投资所收到的现金(万元),31750,14769,9000,41900,29200,20100,12700,26905,16105,5345,2900,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),115,55,32,120,75,49,26,137,20,26,1,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),50,23,15,,,,,13,0,,,20,20,20,,,,,,16,16,15,0,2,,538,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),2616,,,,,,,,,,,,,,,,,,,,,70,0,600,500,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),34531,14847,9047,42020,29275,20149,12726,27055,16125,5371,2901,20,20,20,0,0,0,0,0,16,16,85,0,602,500,538,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),11665,8259,3649,8914,6446,2159,435,2447,1644,1444,1246,1783,1702,1080,843,8438,6763,1393,788,1515,1234,1020,712,2024,6313,2017,
投资所支付的现金(万元),42191,21572,14900,39000,26440,21800,11500,23200,14100,1700,999,2900,,,,,,,,,,,,,,,
