报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),28454,17707,9481,46172,34557,22965,10108,32976,15229,26116,14543,21290,18982,14287,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),674,293,68,998,743,680,77,391,177,332,273,338,428,925,
经营活动现金流入小计(万元),29129,18000,9549,47170,35300,23644,10186,33366,15406,26448,14817,21628,19410,15212,
购买商品、接受劳务支付的现金(万元),18974,12742,7958,31014,25780,17014,11112,17535,9555,14364,6219,9153,10047,7958,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5901,3982,2054,7490,5539,3434,1747,6381,3197,5276,4248,4521,3860,3367,
支付的各项税费(万元),1381,1095,998,2621,2707,1524,1331,1926,1257,2420,1446,2310,1313,817,
支付的其他与经营活动有关的现金(万元),2521,1602,923,2373,2393,1278,643,2084,1071,2135,1343,1749,1927,1864,
经营活动现金流出小计(万元),28777,19420,11934,43498,36418,23250,14834,27926,15080,24195,13255,17733,17147,14007,
