报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),53296,42648,21816,70878,48811,32093,15308,72464,50395,33999,14780,79820,55584,39305,72304,72495,59123,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1143,744,1302,4476,1633,1630,565,1419,2356,1362,507,697,7567,549,1213,628,868,
经营活动现金流入小计(万元),54439,43393,23118,75354,50444,33723,15872,73883,52750,35361,15287,80516,63151,39854,73517,73122,59991,
购买商品、接受劳务支付的现金(万元),21277,16469,13692,48729,30681,19165,14023,42346,32084,17233,9626,45687,37023,21164,45372,37158,40114,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5250,3540,1858,5612,3988,2786,1582,4935,3882,2664,1456,4847,3736,2537,3782,3253,2681,
支付的各项税费(万元),3217,2570,1271,3501,2779,1879,645,4382,3903,3015,1064,5140,4713,3248,4880,3633,2082,
支付的其他与经营活动有关的现金(万元),11057,6290,2131,7140,4893,3321,816,9060,2984,4212,621,7424,7528,3169,5369,4254,3872,
经营活动现金流出小计(万元),40801,28869,18952,64981,42341,27151,17066,60724,42852,27123,12766,63097,53001,30117,59403,48298,48750,
经营活动产生的现金流量净额(万元),13638,14524,4166,10372,8103,6572,-1194,13159,9899,8238,2520,17419,10150,9737,14114,24824,11241,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,0,,0,,1,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,1,630,1489,924,712,105,140,436,6,159,42,543,40,74,,5,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),3351,2259,,1338,1177,759,,6151,,456,,4466,,4111,81,47,44,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),3359,2260,630,2827,2102,1471,105,6291,436,1471,160,13609,543,10276,2537,2739,5673,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),26357,17023,10337,21255,15824,8939,4037,4945,2484,1623,1287,5761,3411,4368,8574,8141,8729,
投资所支付的现金(万元),382,382,382,20089,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,3368,
支付的其他与投资活动有关的现金(万元),21205,10231,,1430,4946,3636,,4939,,1425,,,0,,1959,2048,2,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),47944,27636,10719,42774,20770,12575,4037,9883,2484,4096,1287,17066,-1589,7197,20690,15483,20945,
投资活动产生的现金流量净额(万元),-44585,-25376,-10089,-39947,-18668,-11104,-3932,-3592,-2048,-2625,-1127,-3458,2132,3079,-18152,-12743,-15272,
吸收投资收到的现金(万元),2325,2325,,,,,,32093,,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),82877,61500,39500,46000,41000,33007,16000,43138,32138,27538,16538,32000,15000,16000,38000,37150,38400,
发行债券收到的现金(万元),,,,,,,,,,,,,,,15232,,,
收到其他与筹资活动有关的现金(万元),115,115,,,,,,,,,,,8000,,,,,
筹资活动现金流入小计(万元),85317,63940,39500,46000,41000,33007,16000,75231,32138,27538,16538,32000,23000,16000,53232,37150,38400,
偿还债务支付的现金(万元),45344,34988,24055,46949,37858,28205,17000,33520,24700,19768,6050,38400,19700,17700,41450,37450,26900,
分配股利、利润或偿付利息所支付的现金(万元),3002,1198,686,3786,3089,1143,511,3185,2284,1005,418,2906,2454,963,2550,2780,2602,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),680,534,2872,475,,128,,1652,,,,,,80,2533,,,
筹资活动现金流出小计(万元),49025,36720,27613,51210,40947,29475,17511,38357,26984,21005,6468,41900,22154,18964,47619,40918,30068,
