报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),22194,14320,1239,51650,28936,21277,4696,57618,66884,40264,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,21,15,
收到的其他与经营活动有关的现金(万元),1198,876,604,2790,2134,1438,710,1800,1182,2073,
经营活动现金流入小计(万元),23392,15196,1843,54440,31070,22716,5406,59418,68087,42352,
购买商品、接受劳务支付的现金(万元),10174,6676,1482,30362,20467,15765,7665,34558,40614,25327,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),3683,2281,1304,4787,4012,2432,1436,5415,4232,2210,
支付的各项税费(万元),2928,1741,1671,4081,3048,2322,2048,3885,5881,2130,
支付的其他与经营活动有关的现金(万元),3316,2259,1386,4858,3802,2845,1553,5236,6672,3998,
经营活动现金流出小计(万元),20101,12957,5842,44089,31330,23364,12702,49094,57400,33664,
经营活动产生的现金流量净额(万元),3291,2238,-3999,10351,-260,-648,-7296,10324,10688,8687,
收回投资所收到的现金(万元),8306,6086,5985,43337,33636,33203,20158,58704,58082,9659,
取得投资收益所收到的现金(万元),,,,1,1,1,1,8,46,90,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,,18,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),8306,6086,5985,43337,33637,33204,20158,58712,58146,9749,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3827,3021,2192,6192,3846,2289,548,5403,2332,2435,
投资所支付的现金(万元),18406,12281,2581,32803,24220,22923,16596,63420,60714,13860,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),22232,15302,4773,38995,28066,25212,17144,68823,63046,16295,
投资活动产生的现金流量净额(万元),-13927,-9216,1212,4342,5570,7991,3015,-10112,-4900,-6546,
吸收投资收到的现金(万元),36335,,,,,,,7654,,2250,
