报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),276427,190409,328809,246642,153885,305935,148336,231266,195026,179840,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),4710,2732,6191,6935,2964,3685,5855,8753,4850,5444,
收到的其他与经营活动有关的现金(万元),2638,772,13569,22408,5411,8977,292,1688,485,545,
经营活动现金流入小计(万元),283775,193913,348569,275985,162260,318597,154483,241707,200361,185830,
购买商品、接受劳务支付的现金(万元),223458,123792,283083,228628,129804,245244,96166,205019,177511,144932,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),17457,12361,23293,17568,12037,20739,11120,17246,12686,9121,
支付的各项税费(万元),4824,3496,6511,7512,4636,4773,3424,4128,2186,1136,
支付的其他与经营活动有关的现金(万元),17497,10861,20869,14199,8120,18425,9210,17962,12546,10867,
经营活动现金流出小计(万元),263237,150509,333756,267907,154598,289181,119920,244356,204930,166056,
经营活动产生的现金流量净额(万元),20538,43403,14814,8078,7662,29416,34563,-2649,-4569,19774,
收回投资所收到的现金(万元),21310,75460,40950,,,,,,,,
取得投资收益所收到的现金(万元),247,256,70,5,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),27,20,931,1,231,505,282,48,647,751,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,25457,2668,71,567,685,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),21583,75736,41950,7,25688,3173,354,616,1332,751,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),14179,8619,24025,14711,21436,44834,45474,63247,13917,7519,
投资所支付的现金(万元),48020,75460,40950,,,,36154,17637,,,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,36154,,,,,
支付的其他与投资活动有关的现金(万元),,,,325,27250,3000,403,,,380,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),62199,84079,64975,15036,48686,83988,82032,80884,13917,7899,
投资活动产生的现金流量净额(万元),-40615,-8343,-23024,-15029,-22998,-80814,-81678,-80269,-12585,-7148,
吸收投资收到的现金(万元),88518,,,,,31143,31143,,9150,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),236177,179274,300143,261350,217850,232802,188617,43500,51400,59000,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,0,,31623,31623,159333,153510,151450,
筹资活动现金流入小计(万元),324696,179274,300143,261350,217850,295568,251383,202833,214060,210450,
偿还债务支付的现金(万元),264250,201250,279402,243901,181774,56654,20077,59092,45540,34538,
分配股利、利润或偿付利息所支付的现金(万元),6873,4748,10176,7102,5109,46957,39087,3629,3024,5628,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,1216,,142883,142883,71003,139646,180450,
筹资活动现金流出小计(万元),271123,205998,289578,252219,186883,246494,202046,133724,188211,220616,
筹资活动产生的现金流量净额(万元),53573,-26724,10565,9131,30967,49074,49337,69108,25849,-10166,
汇率变动对现金及现金等价物的影响(万元),60,125,-223,-277,-462,-89,111,-513,424,430,
现金及现金等价物净增加额(万元),33555,8461,2130,1902,15170,-2414,2333,-14322,9120,2890,
加:期初现金及现金等价物余额(万元),6154,6154,4024,4024,4024,6438,6438,20760,4716,1826,
期末现金及现金等价物余额(万元),39710,14616,6154,5926,19194,4024,8771,6438,13836,4716,
净利润(万元),,8653,18353,,6350,16770,7466,20669,16728,8892,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,1263,1182,,1004,2218,1007,1511,1244,376,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,8999,14777,,6708,10500,4613,8298,7241,6591,
无形资产摊销(万元),,260,516,,258,385,152,299,211,203,
长期待摊费用摊销(万元),,,,,,4,4,4,,,
待摊费用的减少(万元),,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-2,-32,,-0,,-5,-22,-7,-74,
固定资产报废损失(万元),,,1,,0,1,,,,,
公允价值变动损失(万元),,,,,,,,,,-27,
递延收益增加(减：减少)(万元),,,,,,,,,,,
预计负债(万元),,,,,,,,,,,
财务费用(万元),,4527,10088,,5589,10162,5069,8805,5988,4429,
投资损失(万元),,-256,-70,,-7,332,332,-299,-644,97,
递延所得税资产减少(万元),,308,-1161,,-326,-1216,93,-246,-474,-444,
递延所得税负债增加(万元),,,,,,,,,,,
存货的减少(万元),,10778,-4995,,-4103,5005,5496,-32754,-33417,-2308,
经营性应收项目的减少(万元),,15433,-34318,,-14732,-19998,1989,-38597,-11288,2916,
经营性应付项目的增加(万元),,-6058,9908,,6434,5254,8347,29683,9849,-879,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,
其他(万元),,,,,,,,,,,
经营活动产生现金流量净额(万元),,43403,14814,,7662,29416,34563,-2649,-4569,19774,
债务转为资本(万元),,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,
现金的期末余额(万元),39710,14616,6154,5926,19194,4024,8771,6438,13836,4716,
现金的期初余额(万元),6154,6154,4024,4024,4024,6438,6438,20760,4716,1826,
现金等价物的期末余额(万元),,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,
现金及现金等价物的净增加额(万元),33555,8461,2130,1902,15170,-2414,2333,-14322,9120,2890,

