报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),73021,40939,120244,87066,54926,114224,106578,88040,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),,,,,,,,,
收到的其他与经营活动有关的现金(万元),5394,2713,3090,4768,2291,3085,3261,1225,
经营活动现金流入小计(万元),78415,43652,123334,91834,57217,117308,109838,89264,
购买商品、接受劳务支付的现金(万元),41491,23861,79057,55824,35462,71596,68665,58712,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),10290,6846,16705,12734,8820,15951,12852,10525,
支付的各项税费(万元),6711,3855,10862,7998,5153,12090,11372,3195,
支付的其他与经营活动有关的现金(万元),5253,1899,5585,7486,2903,4046,2940,2852,
经营活动现金流出小计(万元),63746,36461,112208,84042,52337,103682,95828,75283,
经营活动产生的现金流量净额(万元),14669,7191,11125,7791,4879,13626,14010,13981,
收回投资所收到的现金(万元),,,,,,,29096,76598,
取得投资收益所收到的现金(万元),164,164,64,64,64,20,1117,563,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),15,13,40,20,17,197,115,285,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,22,16,99,
收到的其他与投资活动有关的现金(万元),1206,842,1728,889,673,1559,17,37,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),1385,1019,1832,972,754,1798,30361,77581,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7468,4190,6302,4692,1482,2480,4020,11242,
投资所支付的现金(万元),,,5533,33,22633,3,2022,82293,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),7468,4190,11835,4725,24115,2482,6041,93534,
投资活动产生的现金流量净额(万元),-6083,-3170,-10002,-3753,-23360,-684,24319,-15954,
吸收投资收到的现金(万元),75888,,29,29,15,145,,40,
其中：子公司吸收少数股东投资收到的现金(万元),,,29,,15,145,,40,
取得借款收到的现金(万元),,,,,,1254,3209,7000,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流入小计(万元),75888,0,29,29,15,1399,3209,7040,
偿还债务支付的现金(万元),,,,,,2216,7246,4000,
分配股利、利润或偿付利息所支付的现金(万元),,,3348,3348,3348,1126,343,954,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),511,91,379,,247,355,20,,
筹资活动现金流出小计(万元),511,91,3727,3348,3595,3697,7609,4954,
筹资活动产生的现金流量净额(万元),75377,-91,-3698,-3319,-3580,-2298,-4401,2086,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,
现金及现金等价物净增加额(万元),83964,3930,-2575,720,-22061,10644,33929,113,
加:期初现金及现金等价物余额(万元),48718,48718,45793,45793,45793,35150,1221,1107,
期末现金及现金等价物余额(万元),132682,52648,43218,46513,23733,45793,35150,1221,
净利润(万元),,5551,15401,,,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,7,7,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,994,1968,,,,,,
无形资产摊销(万元),,114,226,,,,,,
长期待摊费用摊销(万元),,185,300,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-13,-1,,,,,,
固定资产报废损失(万元),,0,78,,,,,,
公允价值变动损失(万元),,83,-97,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,-846,-1726,,,,,,
投资损失(万元),,-164,-50,,,,,,
递延所得税资产减少(万元),,-61,68,,,,,,
递延所得税负债增加(万元),,42,120,,,,,,
存货的减少(万元),,2210,-4844,,,,,,
经营性应收项目的减少(万元),,679,-81,,,,,,
经营性应付项目的增加(万元),,-1558,-278,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),,7191,11125,,,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),132682,52648,43218,46513,23733,45793,35150,1221,
现金的期初余额(万元),48718,48718,45793,45793,45793,35150,1221,1107,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),83964,3930,-2575,720,-22061,10644,33929,113,

