报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),738106,392418,447470,246867,154721,14368,
客户存款和同业存放款项净增加额(万元),,,,,,,
向中央银行借款净增加额(万元,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,
收到再保险业务现金净额(万元),,,,,,,
保户储金及投资款净增加额(万元),,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,
收取利息、手续费及佣金的现金(万元),23034,9972,30591,29845,41566,52326,
拆入资金净增加额(万元),,,,,,,
回购业务资金净增加额(万元),,,,,,,
收到的税费返还(万元),,,1186,,,,
收到的其他与经营活动有关的现金(万元),409456,132385,59517,272376,155837,207343,
经营活动现金流入小计(万元),1222954,585377,540869,549979,371805,277555,
购买商品、接受劳务支付的现金(万元),,415086,463234,,171633,33649,
客户贷款及垫款净增加额(万元),,2783,,,1767,338,
存放中央银行和同业款项净增加额(万元),,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,
支付利息、手续费及佣金的现金(万元),2284,1445,3594,3019,5427,7676,
支付保单红利的现金(万元),,,,,,,
支付给职工以及为职工支付的现金(万元),19059,12199,26667,20373,23371,17458,
支付的各项税费(万元),5937,5438,5190,4291,6791,5929,
支付的其他与经营活动有关的现金(万元),1125721,70260,172077,687889,417616,147634,
经营活动现金流出小计(万元),1153001,513567,694937,715572,641196,227190,
经营活动产生的现金流量净额(万元),69953,71810,-154067,-165593,-269392,50365,
收回投资所收到的现金(万元),68567,43790,59200,193669,265752,147438,
取得投资收益所收到的现金(万元),5305,2855,44552,16256,9140,2551,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,761,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,3309,
收到的其他与投资活动有关的现金(万元),562527,148335,1526224,1357583,1826442,575557,
减少质押和定期存款所收到的现金(万元),,,,,,,
投资活动现金流入小计(万元),636399,194979,1629975,1567508,2102096,728854,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2617,1894,3327,2171,3991,4773,
投资所支付的现金(万元),157606,72819,62774,169870,223342,205416,
质押贷款净增加额(万元),,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,32,13,151,,
支付的其他与投资活动有关的现金(万元),453454,77831,1402486,1245311,1740610,584092,
增加质押和定期存款所支付的现金(万元),,,,,,,
投资活动现金流出小计(万元),613676,152544,1468620,1417365,1968094,794280,
投资活动产生的现金流量净额(万元),22723,42435,161356,150143,134002,-65426,
吸收投资收到的现金(万元),30260,,26,26,9,78,
其中：子公司吸收少数股东投资收到的现金(万元),,,,26,,,
取得借款收到的现金(万元),48540,47676,38150,27000,11000,13000,
发行债券收到的现金(万元),,,,,,,
收到其他与筹资活动有关的现金(万元),12676,,,,,,
筹资活动现金流入小计(万元),91476,47676,38176,27026,11009,13078,
偿还债务支付的现金(万元),27000,7000,13000,11000,13000,,
分配股利、利润或偿付利息所支付的现金(万元),4494,1199,3538,3254,2940,3068,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,
支付其他与筹资活动有关的现金(万元),5253,,,13,,,
筹资活动现金流出小计(万元),36747,8199,16538,14267,15940,3068,
筹资活动产生的现金流量净额(万元),54728,39477,21638,12759,-4931,10011,
汇率变动对现金及现金等价物的影响(万元),3400,8094,4046,2061,-1236,-188,
现金及现金等价物净增加额(万元),150804,161815,32972,-630,-141557,-5239,
加:期初现金及现金等价物余额(万元),136121,136121,103149,103149,244705,249941,
期末现金及现金等价物余额(万元),286925,297936,136121,102519,103149,244702,
净利润(万元),,5239,12364,,,16003,
少数股东损益(万元),,,,,,,
未确认的投资损失(万元),,,,,,,
资产减值准备(万元),,241,-1001,,,21,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,415,844,,,592,
无形资产摊销(万元),,350,971,,,1337,
长期待摊费用摊销(万元),,232,600,,,334,
待摊费用的减少(万元),,,,,,,
预提费用的增加(万元),,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,-150,
固定资产报废损失(万元),,7,40,,,,
公允价值变动损失(万元),,-1048,13159,,,174,
递延收益增加(减：减少)(万元),,,,,,,
预计负债(万元),,,,,,,
财务费用(万元),,2520,3586,,,285,
投资损失(万元),,-10015,-21679,,,-2131,
递延所得税资产减少(万元),,-1014,1580,,,-857,
递延所得税负债增加(万元),,983,-3410,,,-47,
存货的减少(万元),,-21547,-1202,,,,
经营性应收项目的减少(万元),,-82890,43134,,,-121645,
经营性应付项目的增加(万元),,187228,-182460,,,168979,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,
其他(万元),,-9241,-21547,,,-12561,
经营活动产生现金流量净额(万元),,71810,-154067,,,50365,
债务转为资本(万元),,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,
融资租入固定资产(万元),,,,,,,
现金的期末余额(万元),286925,297936,136121,102519,103149,244702,
现金的期初余额(万元),136121,136121,103149,103149,244705,249941,
现金等价物的期末余额(万元),,,,,,,
现金等价物的期初余额(万元),,,,,,,
现金及现金等价物的净增加额(万元),150804,161815,32972,-630,-141557,-5239,

