报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,
销售商品、提供劳务收到的现金(万元),330858,233753,124179,372320,265217,176778,90448,304935,233832,176387,86392,237989,190719,128353,235892,132228,60137,210242,176710,106421,50709,166679,132729,90214,44528,140783,98246,64974,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,
收到的其他与经营活动有关的现金(万元),6172,4145,1026,13086,8349,6037,2879,8002,5859,4277,1856,7015,5758,4052,6925,33510,13755,4070,44886,34039,17817,6496,26136,23517,14172,11631,8889,5673,
经营活动现金流入小计(万元),337030,237898,125205,385407,273567,182815,93327,312937,239691,180664,88248,245004,196477,132405,242817,165738,73892,214312,221596,140460,68526,173175,158865,113731,58699,152414,107135,70647,
购买商品、接受劳务支付的现金(万元),225847,159028,97271,271510,198147,122475,72445,194045,153728,103931,56928,142748,124122,71843,194666,85330,46618,173142,153459,97249,45747,117200,109199,71054,40899,116090,74893,48279,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),38000,27672,18675,43278,33021,23418,14597,41517,30377,21190,12476,34316,24201,17345,28439,17757,8547,21799,16469,11271,6857,17430,14292,10344,7351,10931,8344,5645,
支付的各项税费(万元),11857,8053,3696,12491,10015,6556,3882,13261,10450,7116,6747,12858,9322,7006,9145,6517,2362,6134,4420,3181,1454,5607,4838,3441,1538,5470,4218,3378,
支付的其他与经营活动有关的现金(万元),12456,9192,4592,18149,16856,9784,6146,17795,10879,7978,4774,20251,11304,9201,13629,37443,18885,9699,43968,28878,8474,9827,25475,15476,11231,12618,9620,5341,
经营活动现金流出小计(万元),288160,203944,124234,345428,258038,162233,97070,266618,205434,140215,80926,210172,168948,105396,245878,147047,76412,210775,218316,140579,62531,150064,153804,100314,61018,145109,97075,62642,
经营活动产生的现金流量净额(万元),48870,33955,971,39978,15529,20582,-3743,46319,34258,40449,7322,34832,27529,27009,-3061,18690,-2520,3537,3280,-119,5994,23111,5061,13417,-2319,7305,10060,8006,
收回投资所收到的现金(万元),13600,7600,,,0,,,,,,,31700,25850,25850,450,37810,15750,26561,71009,52003,45100,,58019,6019,-0,131,,,
取得投资收益所收到的现金(万元),4915,2325,,3897,2352,463,,3014,2860,2860,,1134,533,380,1435,1808,768,2209,3027,2191,338,1182,2152,1937,1172,656,622,577,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),984,104,104,152,152,152,1,1,0,0,0,392,24,17,4232,72,2,150,48,47,47,0,,,,3,3,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,0,,,,,,,,,,,410,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,4,4,,1116,996,15,,243,240,,17,17,17,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),19499,10029,104,4050,2504,615,1,3015,2860,2860,0,33226,26407,26247,6117,40105,16525,28921,75200,55236,45500,1182,60414,8196,1172,806,642,594,
