报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),152525,76538,22410,147099,90244,55194,25901,114425,79621,50169,13446,90319,63739,49600,15362,62415,45401,32800,14291,57588,38935,30301,13446,52382,,48707,48336,53271,40565,41997,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
收到的税费返还(万元),4951,2233,728,2888,2090,1372,874,2323,1291,690,355,2400,1504,1074,785,2927,1840,1388,750,2004,1143,896,563,1640,,1484,1534,841,1116,726,
收到的其他与经营活动有关的现金(万元),7048,1112,746,1587,2043,697,397,1964,1550,998,378,568,2126,1220,1130,644,603,427,71,594,414,146,71,544,,411,840,2672,917,944,
经营活动现金流入小计(万元),164524,79883,23885,151574,94377,57263,27172,118711,82463,51856,14178,93287,67369,51894,17278,65986,47844,34616,15112,60186,40493,31344,14079,54565,,50602,50710,56784,42599,43667,
购买商品、接受劳务支付的现金(万元),110679,57790,24368,96146,62153,44743,23464,66299,51518,33185,16050,45173,36072,23388,11085,39606,34374,24351,12343,40901,27512,18301,9729,31221,,32489,33937,38974,27341,32212,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,
支付给职工以及为职工支付的现金(万元),18552,10077,5079,14715,10999,7861,4883,11884,7898,5135,2967,9490,6607,4744,2843,8406,6202,4271,2423,7083,5611,3949,1762,5771,,5646,5590,4430,3471,2667,
支付的各项税费(万元),2764,2123,692,3052,2554,2022,965,4799,7187,3318,2148,2275,2311,1828,890,1269,1445,1082,434,1055,835,585,233,1470,,1217,1498,3059,3011,1308,
支付的其他与经营活动有关的现金(万元),22966,9514,3611,14504,10198,6418,2377,28423,13281,7652,3901,10406,8434,4331,2574,7581,6502,6124,2759,4856,4457,3467,2631,5820,,5197,3883,2772,2682,2671,
经营活动现金流出小计(万元),154961,79504,33749,128417,85904,61044,31689,111405,79884,49291,25066,67343,53424,34290,17392,56862,48523,35828,17959,53895,38416,26302,14356,44283,,44549,44907,49236,36505,38858,
经营活动产生的现金流量净额(万元),9562,379,-9864,23157,8473,-3781,-4517,7306,2579,2566,-10888,25944,13945,17604,-114,9124,-679,-1212,-2846,6291,2077,5042,-277,10282,3307,6053,5802,7547,6094,4809,
