报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),61938,36535,17318,75540,52178,31812,13302,69772,51002,30836,14757,71175,64070,92987,89466,83051,
客户存款和同业存放款项净增加额(万元),,,,,,,,,0,,,,0,,,,
向中央银行借款净增加额(万元,,,,,,,,,0,,,,0,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,0,,,,0,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,0,,,,0,,,,
收到再保险业务现金净额(万元),,,,,,,,,0,,,,0,,,,
保户储金及投资款净增加额(万元),,,,,,,,,0,,,,0,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,0,,,,0,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,0,,,,0,,,,
拆入资金净增加额(万元),,,,,,,,,0,,,,0,,,,
回购业务资金净增加额(万元),,,,,,,,,0,,,,0,,,,
收到的税费返还(万元),246,189,75,749,461,334,115,249,190,104,39,111,0,151,221,158,
收到的其他与经营活动有关的现金(万元),5990,4027,1720,10571,9265,4657,4641,7617,1543,1510,1004,2144,1931,2337,2106,1360,
经营活动现金流入小计(万元),68174,40751,19113,86860,61904,36802,18058,77638,52736,32449,15800,73429,66001,95475,91793,84569,
购买商品、接受劳务支付的现金(万元),42660,26456,15212,52596,35589,22084,11837,42603,33930,20163,12602,42969,33604,59111,60920,53361,
客户贷款及垫款净增加额(万元),,,,,,,,,0,,,,0,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,0,,,,0,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,0,,,,0,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,0,,,,0,,,,
支付保单红利的现金(万元),,,,,,,,,0,,,,0,,,,
支付给职工以及为职工支付的现金(万元),3937,2702,1589,5596,3816,2661,1543,5311,3687,2940,1794,5388,4041,5069,5032,4458,
支付的各项税费(万元),2485,1618,940,2852,2866,1585,752,4698,3672,2207,865,7779,6570,7263,6991,4274,
支付的其他与经营活动有关的现金(万元),12648,8513,5487,19405,15948,11487,3681,15701,8390,6333,2146,12325,10112,11671,11147,11559,
经营活动现金流出小计(万元),61731,39289,23229,80449,58219,37817,17814,68313,49679,31643,17407,68461,54327,83114,84090,73651,
