报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),56757,37769,56893,43511,29694,57940,50034,59879,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),2772,1832,3207,2322,1674,2467,1418,2213,
收到的其他与经营活动有关的现金(万元),1439,979,1691,1366,277,1066,1255,2206,
经营活动现金流入小计(万元),60968,40580,61790,47199,31645,61473,52706,64298,
购买商品、接受劳务支付的现金(万元),23333,16983,25087,18183,13104,32256,26250,28277,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),8030,5864,9534,6290,4952,8697,6891,7060,
支付的各项税费(万元),2925,1659,3344,3807,2194,4276,4248,5320,
支付的其他与经营活动有关的现金(万元),6236,2950,5835,5972,2855,5268,3527,4811,
经营活动现金流出小计(万元),40524,27456,43800,34252,23105,50496,40916,45468,
经营活动产生的现金流量净额(万元),20444,13124,17990,12947,8540,10977,11791,18830,
收回投资所收到的现金(万元),,2000,20000,,5000,20970,16235,19808,
取得投资收益所收到的现金(万元),50,50,145,62,41,154,203,438,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),62,61,117,11,39,48,155,34,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,1686,319,12711,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),112,2111,20262,73,5080,22858,16911,32991,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9612,5203,7247,5654,3644,9414,10660,5368,
投资所支付的现金(万元),1200,3200,20000,7000,9000,20970,15880,14283,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,1224,,,,,10900,
支付的其他与投资活动有关的现金(万元),,,,,76,69,4969,7322,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),10812,8403,28472,12654,12719,30454,31509,37873,
投资活动产生的现金流量净额(万元),-10700,-6292,-8210,-12581,-7639,-7596,-14597,-4882,
吸收投资收到的现金(万元),31228,,,,,,14010,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),,,,,,,2100,5900,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,176,,,,751,2150,
筹资活动现金流入小计(万元),31228,0,176,0,0,0,16861,8050,
偿还债务支付的现金(万元),,,,,,2100,4800,5900,
分配股利、利润或偿付利息所支付的现金(万元),3600,3600,,,,3604,5844,7598,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),250,,100,,100,,751,7,
筹资活动现金流出小计(万元),3850,3600,100,0,100,5704,11395,13505,
筹资活动产生的现金流量净额(万元),27378,-3600,76,0,-100,-5704,5466,-5455,
汇率变动对现金及现金等价物的影响(万元),-158,69,-634,207,29,-505,-650,-21,
现金及现金等价物净增加额(万元),36964,3301,9222,574,830,-2827,2009,8472,
加:期初现金及现金等价物余额(万元),25929,25929,16708,16708,17166,19535,17526,9054,
期末现金及现金等价物余额(万元),62894,29230,25929,17281,17996,16708,19535,17526,
净利润(万元),,,18613,,,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,,204,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,2660,,,,,,
无形资产摊销(万元),,,130,,,,,,
长期待摊费用摊销(万元),,,,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,77,,,,,,
固定资产报废损失(万元),,,,,,,,,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,,551,,,,,,
投资损失(万元),,,-59,,,,,,
递延所得税资产减少(万元),,,-298,,,,,,
递延所得税负债增加(万元),,,-7,,,,,,
存货的减少(万元),,,-1146,,,,,,
经营性应收项目的减少(万元),,,-2120,,,,,,
经营性应付项目的增加(万元),,,2744,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,-3359,,,,,,
经营活动产生现金流量净额(万元),,,17990,,,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),62894,29230,25929,17281,17996,16708,19535,17526,
现金的期初余额(万元),25929,25929,16708,16708,17166,19535,17526,9054,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),36964,3301,9222,574,830,-2827,2009,8472,

