报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),53821,33318,74006,54433,34151,67243,63193,56649,54336,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),2489,1816,3332,2351,1525,2897,2867,2547,1954,
收到的其他与经营活动有关的现金(万元),2658,1047,3636,2152,1450,1739,1614,1912,2633,
经营活动现金流入小计(万元),58967,36182,80974,58937,37126,71879,67674,61107,58923,
购买商品、接受劳务支付的现金(万元),23788,16875,36345,28234,18166,31008,32673,30301,24839,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),13266,8404,16349,12150,8108,14554,12591,13426,14113,
支付的各项税费(万元),5081,3136,8795,5909,3289,7859,7505,6895,5776,
支付的其他与经营活动有关的现金(万元),4885,3180,5706,4409,2855,5341,4370,4531,4702,
经营活动现金流出小计(万元),47020,31596,67195,50701,32419,58762,57140,55153,49430,
经营活动产生的现金流量净额(万元),11947,4586,13778,8236,4707,13117,10534,5954,9493,
收回投资所收到的现金(万元),7405,34795,25674,26612,26401,23496,15978,15943,36500,
取得投资收益所收到的现金(万元),903,891,1378,726,706,856,398,477,841,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),375,339,257,143,107,56,462,1213,6,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,349,449,449,524,863,6356,6957,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),8684,36024,27657,27931,27662,24932,17701,23989,44303,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),5692,3812,5596,3676,2609,6031,3155,7446,9473,
投资所支付的现金(万元),49527,33040,28672,54752,26959,23844,15735,16771,21829,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,500,5056,6620,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),55219,36852,34268,58428,29568,29875,19390,29273,37921,
投资活动产生的现金流量净额(万元),-46536,-828,-6610,-30497,-1905,-4943,-1689,-5284,6382,
吸收投资收到的现金(万元),54183,,,,,200,400,5655,5400,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),2000,2000,1500,1500,500,2800,1155,243,-7568,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,30,80,200,500,,,,
筹资活动现金流入小计(万元),56183,2000,1530,1580,700,3500,1555,5898,-2168,
偿还债务支付的现金(万元),2000,2000,1500,1500,500,2800,1213,5366,5400,
分配股利、利润或偿付利息所支付的现金(万元),27,27,2441,2442,2438,2451,2467,2444,2263,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,
筹资活动现金流出小计(万元),2027,2027,3941,3942,2938,5251,3681,7811,7663,
筹资活动产生的现金流量净额(万元),54156,-27,-2411,-2362,-2238,-1751,-2126,-1912,-9831,
汇率变动对现金及现金等价物的影响(万元),59,16,18,31,-2,-47,47,160,6,
