报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),103565,66187,28279,91394,77520,53052,25280,102844,68021,45641,24547,69066,52139,35653,18476,57747,54563,22294,48393,39938,25319,16075,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),5133,3352,1424,7526,4672,2812,1918,4913,3616,3514,1362,2502,1991,1178,607,2850,2418,1357,1513,803,702,470,
收到的其他与经营活动有关的现金(万元),1164,971,390,1310,347,499,522,2916,2193,673,1051,1260,795,283,52,446,1253,430,629,262,51,12,
经营活动现金流入小计(万元),109863,70510,30093,100230,82539,56363,27720,110673,73831,49829,26961,72828,54925,37113,19135,61043,58234,24081,50535,41003,26072,16557,
购买商品、接受劳务支付的现金(万元),74968,45596,19977,81149,78643,51493,22924,70630,52562,31966,16053,44990,40241,23798,10801,35017,45164,13770,29566,21909,15050,11682,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),12972,8776,4423,21656,14941,6727,5918,19349,11314,8852,4787,15206,9842,6825,3377,12139,8552,5609,8865,7379,5039,3505,
支付的各项税费(万元),4873,3342,1917,3496,2975,1455,934,5675,4590,3704,2483,2772,1601,1199,330,2641,2326,1356,2309,3407,2410,410,
支付的其他与经营活动有关的现金(万元),3773,2107,940,3371,781,2789,1744,3115,2299,626,2554,3393,3507,2822,2738,2317,1355,848,3309,2510,1179,791,
经营活动现金流出小计(万元),96585,59821,27257,109672,97341,62464,31520,98769,70764,45148,25877,66360,55191,34643,17247,52113,57397,21584,44049,35205,23677,16388,
经营活动产生的现金流量净额(万元),13278,10689,2836,-9442,-14802,-6101,-3800,11904,3066,4680,1083,6467,-265,2470,1889,8930,836,2498,6486,5799,2394,169,
收回投资所收到的现金(万元),18740,12540,6240,37018,12530,12530,6730,67770,51100,37900,24000,14000,,,,,,,1502,,30,40,
取得投资收益所收到的现金(万元),152,141,72,595,237,235,75,435,320,271,135,23,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,1,,0,21,21,3,14,123,74,777,4,2,1,658,40,61,40,41,0,2,4,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,79,73,190,,240,,,9,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),18894,12682,6312,37613,12788,12786,6808,68219,51542,38323,24986,14217,2,241,658,40,70,40,1543,0,32,44,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1302,437,78,1411,261,214,325,3445,1414,1368,693,4933,4591,3384,606,6758,2881,3558,8614,2355,538,448,
投资所支付的现金(万元),26278,13300,6300,36028,14800,16300,6000,63500,47470,31900,21000,28000,,,,,,,500,,15,43,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,19,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
