报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),67087,42666,63690,45277,70040,55863,46840,
客户存款和同业存放款项净增加额(万元),,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,
拆入资金净增加额(万元),,,,,,,,
回购业务资金净增加额(万元),,,,,,,,
收到的税费返还(万元),38,22,279,279,173,6,209,
收到的其他与经营活动有关的现金(万元),994,928,3340,2941,1823,371,468,
经营活动现金流入小计(万元),68119,43616,67309,48497,72036,56239,47518,
购买商品、接受劳务支付的现金(万元),35969,19499,35055,26532,43304,42192,37214,
客户贷款及垫款净增加额(万元),,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,
支付保单红利的现金(万元),,,,,,,,
支付给职工以及为职工支付的现金(万元),5300,3474,6008,4471,5721,4697,3572,
支付的各项税费(万元),6941,4442,8600,6027,5259,5479,2954,
支付的其他与经营活动有关的现金(万元),2262,1150,3112,2188,2416,2154,1987,
经营活动现金流出小计(万元),50471,28565,52775,39218,56702,54523,45727,
经营活动产生的现金流量净额(万元),17648,15051,14533,9279,15334,1717,1791,
收回投资所收到的现金(万元),,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),24,24,82,67,8,9,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,58,1362,12071,
减少质押和定期存款所收到的现金(万元),,,,,,,,
投资活动现金流入小计(万元),24,24,82,67,67,1371,12071,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),17092,4293,9748,5627,4453,3459,1415,
投资所支付的现金(万元),,,,,,,,
质押贷款净增加额(万元),,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,
支付的其他与投资活动有关的现金(万元),68,40,45,,91,496,11482,
增加质押和定期存款所支付的现金(万元),,,,,,,,
投资活动现金流出小计(万元),17161,4333,9793,5627,4544,3955,12898,
投资活动产生的现金流量净额(万元),-17137,-4309,-9711,-5560,-4477,-2584,-826,
吸收投资收到的现金(万元),,,,,,,4000,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,
取得借款收到的现金(万元),10298,4727,19661,15943,36968,29355,25713,
发行债券收到的现金(万元),,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,1259,
筹资活动现金流入小计(万元),10298,4727,19661,15943,36968,29355,30973,
偿还债务支付的现金(万元),10543,9172,22731,18086,41723,32208,26667,
分配股利、利润或偿付利息所支付的现金(万元),142,114,353,253,4384,562,1016,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,
支付其他与筹资活动有关的现金(万元),99,67,322,303,,136,,
筹资活动现金流出小计(万元),10784,9354,23406,18642,46106,32906,27683,
筹资活动产生的现金流量净额(万元),-486,-4626,-3745,-2699,-9139,-3551,3290,
汇率变动对现金及现金等价物的影响(万元),35,-22,-55,-16,-48,167,29,
现金及现金等价物净增加额(万元),61,6094,1022,1004,1670,-4251,4283,
加:期初现金及现金等价物余额(万元),3200,3200,2177,2177,507,4758,475,
期末现金及现金等价物余额(万元),3260,9293,3200,3181,2177,507,4758,
净利润(万元),,9680,17932,,10811,9544,5536,
少数股东损益(万元),,,,,,,,
未确认的投资损失(万元),,,,,,,,
资产减值准备(万元),,1038,570,,232,238,719,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1212,2007,,1570,1105,868,
无形资产摊销(万元),,161,325,,317,200,139,
长期待摊费用摊销(万元),,9,7,,8,5,5,
待摊费用的减少(万元),,,,,,,,
预提费用的增加(万元),,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,25,41,,91,33,,
固定资产报废损失(万元),,,69,,4,,,
公允价值变动损失(万元),,,,,-77,77,,
递延收益增加(减：减少)(万元),,,,,,,,
预计负债(万元),,,,,,,,
财务费用(万元),,112,548,,862,89,1300,
投资损失(万元),,-2,,,91,227,,
递延所得税资产减少(万元),,-290,-765,,-209,-100,-30,
递延所得税负债增加(万元),,,,,,,,
存货的减少(万元),,-6014,-1142,,1281,-6974,-3775,
经营性应收项目的减少(万元),,4021,-15138,,3791,-7950,-5824,
经营性应付项目的增加(万元),,5098,10079,,-3437,5225,2854,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,
其他(万元),,,,,,,,
经营活动产生现金流量净额(万元),,15051,14533,,15334,1717,1791,
债务转为资本(万元),,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,
融资租入固定资产(万元),,,,,,,,
现金的期末余额(万元),3260,9293,3200,3181,2177,507,4758,
现金的期初余额(万元),3200,3200,2177,2177,507,4758,475,
现金等价物的期末余额(万元),,,,,,,,
现金等价物的期初余额(万元),,,,,,,,
现金及现金等价物的净增加额(万元),61,6094,1022,1004,1670,-4251,4283,

