报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),67794,41639,16315,66452,43583,18733,10640,62385,45875,29822,13153,44348,31916,34405,7002,29730,19199,7311,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),294,105,99,435,326,290,151,648,583,381,249,615,434,31,,,,,
收到的其他与经营活动有关的现金(万元),30885,26297,15162,57426,34541,214,289,589,239,109,111,1413,380,727,173,2101,2355,657,
经营活动现金流入小计(万元),98973,68041,31577,124313,78450,19238,11080,63622,46696,30313,13513,46377,32731,35163,7175,31830,21554,7968,
购买商品、接受劳务支付的现金(万元),49461,27647,12291,69763,38752,20035,6601,39165,27346,16337,6879,26482,21500,25995,4946,18535,13345,6626,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8333,5612,2863,10190,5404,3797,1540,6817,4576,3120,1170,4905,3405,4615,1208,3602,2336,2223,
支付的各项税费(万元),3564,3340,1105,4425,4489,776,200,2245,1491,1012,590,825,688,748,424,457,135,103,
支付的其他与经营活动有关的现金(万元),4007,3030,1518,4472,5529,2359,1569,2512,1818,1038,1022,1608,1938,2039,409,1815,2320,1152,
经营活动现金流出小计(万元),65366,39630,17778,88850,54174,26968,9910,50739,35230,21507,9661,33820,27532,33397,6987,24409,18136,10105,
经营活动产生的现金流量净额(万元),33607,28412,13799,35463,24276,-7730,1170,12883,11465,8805,3853,12557,5198,1766,188,7421,3418,-2136,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5141,5141,,15422,,,,26,28,,26,87,87,,,75,,1378,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),262,208,78,483,5187,145,60,124,55,39,21,76,33,1255,8,4074,5049,3075,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),5403,5348,78,15905,5187,145,60,150,83,39,48,163,121,1255,8,4149,5049,4453,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),45741,42834,16186,127297,96639,41642,22041,12629,5240,3319,1163,4917,2196,14063,4731,12288,11506,6267,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,5001,5001,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),45741,42834,16186,127297,101640,46643,22041,12629,5240,3319,1163,4917,2196,14063,4731,12288,11506,6267,
投资活动产生的现金流量净额(万元),-40338,-37486,-16108,-111393,-96453,-46498,-21981,-12479,-5157,-3280,-1115,-4754,-2075,-12807,-4723,-8138,-6458,-1814,
吸收投资收到的现金(万元),,,,1178,,,,18141,,,,,,6990,6990,,,3350,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),47390,35971,21121,113573,59320,47066,27502,34083,22086,18101,3501,14798,10984,17213,2569,11791,10773,3105,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,3628,33800,25000,,,,,,,,,,,,,
筹资活动现金流入小计(万元),47390,35971,21121,118379,93120,72066,27502,52224,22086,18101,3501,14798,10984,24204,9559,11791,10773,6455,
偿还债务支付的现金(万元),45203,28294,18094,44494,24335,20238,15032,25816,23726,16188,4613,20058,13014,13694,442,9142,10478,2142,
分配股利、利润或偿付利息所支付的现金(万元),3887,2639,1322,5012,3768,2399,289,1825,1660,1496,1337,1617,1484,1206,457,1553,742,716,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,7293,,,,,,,,,,,
筹资活动现金流出小计(万元),49090,30933,19416,49506,28103,22636,15320,34933,25386,17684,5950,21675,14498,14899,899,10694,11221,2857,
筹资活动产生的现金流量净额(万元),-1699,5039,1705,68873,65016,49429,12181,17291,-3300,417,-2449,-6877,-3514,9304,8660,1097,-448,3597,
汇率变动对现金及现金等价物的影响(万元),169,110,-40,-1205,-1049,-567,414,-142,-68,-25,1,-64,91,-434,-26,-28,-2,-5,
现金及现金等价物净增加额(万元),-8261,-3926,-644,-8261,-8209,-5366,-8216,17553,2941,5917,290,862,-300,-2171,4098,352,-3489,-358,
加:期初现金及现金等价物余额(万元),11605,11605,11605,19866,19866,19866,19866,2314,2314,2314,2314,1452,1452,3623,3623,3271,6760,7118,
期末现金及现金等价物余额(万元),3345,7680,10961,11605,11657,14501,11651,19866,5255,8231,2604,2314,1152,1452,7721,3623,3271,6760,
净利润(万元),,777,,2037,,-1241,,11003,,5577,,6061,,2342,,5705,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,449,,2164,,870,,340,,280,,302,,903,,370,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,4808,,4810,,3362,,6456,,3139,,6215,,5306,,3721,,,
无形资产摊销(万元),,46,,167,,79,,156,,73,,137,,111,,81,,,
长期待摊费用摊销(万元),,,,,,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-13590,,,,-28,,,,-64,,,,-52,,,
固定资产报废损失(万元),,,,49,,41,,3,,3,,,,6,,,,,
公允价值变动损失(万元),,20,,-11,,,,23,,23,,-11,,-12,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,
财务费用(万元),,1683,,4638,,1306,,696,,312,,889,,1400,,685,,,
投资损失(万元),,31,,-220,,-18,,-17,,-17,,-37,,,,,,,
递延所得税资产减少(万元),,85,,-4058,,-360,,-96,,-40,,-24,,-211,,97,,,
递延所得税负债增加(万元),,-2,,2,,,,-3,,-3,,2,,2,,,,,
存货的减少(万元),,-6565,,-11495,,-6536,,-2561,,1145,,1054,,-2513,,-3583,,,
经营性应收项目的减少(万元),,-20053,,-29505,,-9569,,-10176,,-6704,,-13071,,-8493,,-3442,,,
经营性应付项目的增加(万元),,21373,,23999,,4336,,7086,,5019,,11103,,1973,,3840,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,
其他(万元),,25760,,56478,,,,,,,,,,954,,,,,
经营活动产生现金流量净额(万元),,28412,,35463,,-7730,,12883,,8805,,12557,,1766,,7421,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),3345,7680,10961,11605,11657,14501,11651,19866,5255,8231,2604,2314,1152,1452,7721,3623,3271,6760,
现金的期初余额(万元),11605,11605,11605,19866,19866,19866,19866,2314,2314,2314,2314,1452,1452,3623,3623,3271,6760,7118,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-8261,-3926,-644,-8261,-8209,-5366,-8216,17553,2941,5917,290,862,-300,-2171,4098,352,-3489,-358,

