报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),236906,161544,72466,230626,149858,97029,50803,183123,128413,87768,44067,153737,109227,75457,35415,130619,112845,103195,96514,70742,48902,63539,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),7493,5135,2806,12231,9712,6661,3645,9370,6821,4844,1219,9710,6838,4762,1959,8595,7576,7125,6959,5970,4235,6114,
收到的其他与经营活动有关的现金(万元),3136,2428,2947,6424,3725,2469,609,4168,2620,1337,645,3277,3896,2326,764,3496,2792,2332,1600,2631,2296,3747,
经营活动现金流入小计(万元),247535,169107,78218,249281,163294,106158,55057,196661,137854,93949,45931,166723,119962,82546,38137,142710,123214,112652,105073,79344,55433,73401,
购买商品、接受劳务支付的现金(万元),147285,99301,46758,130337,82282,54400,26753,95116,74737,46105,25711,88102,64251,42066,20832,76869,71986,64848,64953,41937,30174,49193,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),49529,33638,16067,43918,31750,21628,10539,38037,27864,19169,8996,30445,21762,15065,7050,26780,23783,24274,19813,12992,8996,10378,
支付的各项税费(万元),10572,7240,2910,18992,14904,10345,4357,21327,16507,11473,4383,13222,9534,6989,1611,13362,10231,7806,7157,7073,3290,4908,
