报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),139709,73288,24536,220297,109024,57619,18512,162251,80668,39376,167395,46325,146954,133743,179949,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),207,183,90,126,93,67,41,148,45,21,152,118,100,23,24,
收到的其他与经营活动有关的现金(万元),4271,1997,887,7018,5682,2944,1030,7242,5569,2375,17475,4218,18021,4306,3273,
经营活动现金流入小计(万元),144187,75469,25513,227441,114799,60630,19582,169641,86283,41773,185022,50661,165075,138072,183246,
购买商品、接受劳务支付的现金(万元),51406,40720,17396,54573,27688,13948,7600,28345,18002,11626,38049,22494,43701,62107,99515,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),115716,75702,33803,125620,92724,62693,28752,109435,80661,55808,93874,47111,76899,60872,46816,
支付的各项税费(万元),8649,6341,3253,11224,7484,5235,2530,10134,7239,5178,8316,2807,7636,6451,3759,
支付的其他与经营活动有关的现金(万元),12168,7559,3091,18932,13361,8745,3681,16536,12721,7893,22807,8949,20663,14725,10703,
经营活动现金流出小计(万元),187940,130322,57544,210350,141258,90621,42563,164451,118623,80506,163045,81362,148899,144156,160793,
经营活动产生的现金流量净额(万元),-43753,-54853,-32030,17091,-26458,-29991,-22981,5190,-32340,-38733,21977,-30701,16176,-6084,22453,
收回投资所收到的现金(万元),10981,,,355,310,310,,1237,984,667,2523,2523,,1000,,
取得投资收益所收到的现金(万元),1385,470,213,292,243,222,90,784,762,302,201,156,76,222,22,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,1,1,21,13,12,1,1392,691,205,28,14,30,38,17,
处置子公司及其他营业单位收到的现金净额(万元),,,,491,491,491,,-15,-15,-215,-5,,,,,
收到的其他与投资活动有关的现金(万元),69087,64362,40905,28460,27000,26000,10500,57208,54690,50704,42585,33000,19500,26000,6000,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),81458,64832,41119,29618,28057,27034,10591,60606,57112,51663,45332,35692,19605,27260,6039,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),17472,10120,4509,18737,11513,5846,3462,11958,9632,6231,7171,2829,25460,1033,349,
投资所支付的现金(万元),26355,3103,,,,,,773,773,740,29992,13531,1280,1000,225,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,484,84,84,,,,,760,-10,3920,2709,4063,
支付的其他与投资活动有关的现金(万元),64660,64180,64100,30505,25544,25500,23000,49800,47300,41800,29485,15040,34840,31000,16000,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),108487,77402,68609,49726,37141,31430,26462,62531,57705,48771,67408,31390,65500,35742,20637,
投资活动产生的现金流量净额(万元),-27030,-12570,-27490,-20108,-9084,-4396,-15871,-1925,-593,2893,-22075,4302,-45895,-8481,-14598,
吸收投资收到的现金(万元),500,373,,30599,250,250,250,132,132,132,3736,,15770,1563,,
其中：子公司吸收少数股东投资收到的现金(万元),500,373,,250,,250,250,132,,132,,,,300,,
取得借款收到的现金(万元),71022,42330,9717,56300,36708,18904,4804,71735,50868,19190,78460,28110,38020,22000,18000,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,3000,3000,6131,3000,,
筹资活动现金流入小计(万元),71522,42704,9717,86899,36959,19154,5054,71867,51000,19322,85196,31110,59921,26563,18000,
偿还债务支付的现金(万元),37000,25097,4899,59780,44006,24282,5090,57201,37600,20600,49650,19500,18100,19000,15000,
分配股利、利润或偿付利息所支付的现金(万元),11065,1918,1023,3926,3133,1877,819,3370,2573,1720,2207,981,1211,800,725,
其中：子公司支付给少数股东的股利、利润(万元),,,,410,,276,,129,,,,,,,,
支付其他与筹资活动有关的现金(万元),154,70,,970,37,,,,,,3000,3000,4867,4990,,
筹资活动现金流出小计(万元),48219,27085,5923,64676,47176,26159,5909,60571,40173,22320,54857,23481,24178,24790,15725,
