报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),61318,37509,16432,74580,51007,29853,13418,69196,47466,28087,12056,59094,50639,25672,11253,52537,37280,49254,33604,44812,43140,39685,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,29,29,29,29,,,,,353,261,256,196,46,,,,70,95,563,
收到的其他与经营活动有关的现金(万元),790,582,116,958,701,179,87,912,820,665,459,637,576,569,230,295,121,371,269,535,475,791,
经营活动现金流入小计(万元),62108,38091,16547,75567,51737,30060,13534,70108,48287,28751,12516,60084,51475,26497,11680,52878,37401,49626,33873,45417,43710,41039,
购买商品、接受劳务支付的现金(万元),43857,28607,14808,45631,33178,19009,9523,45889,34283,19851,8940,35184,35650,16374,8581,25061,22094,30615,22986,29692,28229,27909,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7538,5471,3051,10701,7986,5177,2722,9761,7350,5045,2902,7841,5630,3775,1781,7579,4776,6257,4781,5136,3972,3251,
支付的各项税费(万元),2737,1773,1101,4173,2577,1399,678,3650,3015,2096,1478,4146,2775,1596,767,3325,2340,4111,3106,2975,2644,1490,
支付的其他与经营活动有关的现金(万元),3763,2345,1139,4126,3378,2227,1337,4292,4032,2227,1482,4106,2927,2191,1198,3928,2844,3693,2552,2963,2091,1920,
经营活动现金流出小计(万元),57895,38196,20099,64631,47119,27813,14259,63592,48679,29219,14801,51277,46982,23936,12327,39893,32054,44676,33426,40765,36936,34570,
经营活动产生的现金流量净额(万元),4213,-104,-3552,10936,4618,2247,-725,6516,-393,-467,-2286,8807,4493,2561,-647,12985,5347,4950,447,4652,6774,6469,
收回投资所收到的现金(万元),62186,42652,19103,111557,84480,55874,14827,71813,31452,5500,3500,38181,27810,20291,12450,50269,36680,11306,8100,7000,14100,5100,
取得投资收益所收到的现金(万元),222,222,91,702,689,425,129,2822,2444,21,5,1319,538,332,99,152,57,36,36,8,22,2,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,3,-2,1,4,6,6,6,,2,1,0,,246,267,3,1,14,10,11,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,1158,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,5621,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),62408,42874,19195,112261,85168,56301,14960,74640,33901,5527,3505,39502,28349,20622,12549,50668,37003,11345,8137,13801,14132,5113,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7625,2795,1382,12065,4929,2218,801,16814,10044,5073,1827,5456,4316,2235,605,4793,5113,6057,5609,6775,6090,2503,
投资所支付的现金(万元),56949,36147,15845,121650,96550,67750,31950,84100,49550,27250,3150,40103,30190,22300,17463,50270,42380,11720,8100,7000,14100,5100,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,2161,1977,1977,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,2018,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
