报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),112290,78116,43524,111641,71525,42252,22582,64518,46154,31419,20666,54312,41168,27510,15052,37042,10097,28587,23884,18066,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),5763,3475,2108,5885,3967,2128,1083,3668,3651,1629,710,2772,1992,1265,611,2793,770,1405,723,321,
收到的其他与经营活动有关的现金(万元),1184,821,4853,1240,643,257,543,873,390,342,158,463,87,85,6,1578,1514,6015,2887,3841,
经营活动现金流入小计(万元),119236,82411,50485,118767,76135,44637,24208,69058,50195,33389,21534,57547,43246,28859,15668,41413,12380,36007,27493,22229,
购买商品、接受劳务支付的现金(万元),75917,52174,32134,84210,57141,31971,15894,43247,29716,19579,9291,38186,29719,18633,10189,25721,5375,17208,13628,11122,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),21728,14308,7819,20967,12326,7481,3124,11374,7731,5133,3447,9497,5922,4587,3245,7343,1704,7241,5912,5545,
支付的各项税费(万元),2783,2256,1722,3138,2003,1300,619,1903,2127,1735,1260,2823,1814,1278,583,1942,282,1523,653,947,
支付的其他与经营活动有关的现金(万元),9212,5519,8383,7897,7637,2928,1428,4852,4537,2555,1269,3484,2192,1246,781,1866,473,7746,3747,4631,
经营活动现金流出小计(万元),109640,74257,50058,116213,79106,43680,21066,61376,44111,29004,15266,53990,39648,25744,14797,36872,7834,33718,23940,22244,
经营活动产生的现金流量净额(万元),9596,8154,428,2554,-2972,957,3142,7682,6084,4386,6268,3556,3598,3116,871,4541,4546,2288,3553,-15,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),104,31,8,334,425,425,148,13,6,0,0,27,20,20,14,19,2,3,78,149,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),38,28,2,30,104,104,104,,,,,10,,,,,,7,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),28360,11485,4330,28685,25295,27105,24020,2312,1425,,580,3800,2725,2515,1600,5630,271,,250,2000,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),28501,11544,4339,29049,25824,27634,24272,2325,1431,0,580,3837,2745,2535,1614,5649,273,10,328,2149,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6500,3047,1718,24317,20829,17417,8271,8260,5063,1674,70,2083,1488,1186,241,5481,3044,4224,352,1179,
投资所支付的现金(万元),,,,2500,,,,,300,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,21516,20450,2385,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),33260,18850,5380,5095,1495,3355,17295,26015,1680,,710,2760,1795,1545,590,6399,,271,,2000,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),39760,21897,7098,53427,42774,23158,25566,34275,7043,1674,780,4843,3283,2731,831,11880,3044,4495,352,3179,
投资活动产生的现金流量净额(万元),-11259,-10354,-2759,-24379,-16950,4476,-1294,-31949,-5612,-1674,-200,-1007,-538,-196,783,-6231,-2771,-4485,-24,-1031,
吸收投资收到的现金(万元),2029,2029,2340,,,,,44478,44049,43749,,,,,,5000,5000,600,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),25210,20210,3000,27290,27290,,,,,,,1000,1000,1000,1000,1984,984,7512,10249,15187,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),27239,22239,5340,27290,27290,0,0,44478,44049,43749,0,1000,1000,1000,1000,6983,5983,8112,10249,15187,
偿还债务支付的现金(万元),26500,13500,1000,,,,,,,,,2000,2000,1000,,4470,2971,7243,10938,15213,
分配股利、利润或偿付利息所支付的现金(万元),2977,2691,302,2185,1863,0,0,790,790,,,398,398,43,21,61,49,201,438,1360,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),87,,,,,,,815,,,,,,,,,,,,,
筹资活动现金流出小计(万元),29564,16191,1302,2185,1863,0,0,1605,790,0,0,2398,2398,1043,21,4531,3020,7444,11376,16573,
筹资活动产生的现金流量净额(万元),-2326,6048,4038,25105,25427,-0,-0,42873,43259,43749,0,-1398,-1398,-43,979,2452,2964,668,-1126,-1386,
汇率变动对现金及现金等价物的影响(万元),465,167,4,192,79,-147,-402,-418,-304,-142,-122,294,163,100,-30,382,126,33,-380,-40,
现金及现金等价物净增加额(万元),-3523,4016,1711,3472,5585,5286,1446,18188,43428,46320,5946,1445,1825,2976,2602,1144,4864,-1496,2023,-2472,
加:期初现金及现金等价物余额(万元),26540,26040,26040,22567,22567,22567,22567,4379,4379,4379,4379,2934,3023,2934,2934,1789,1789,3285,1262,3734,
期末现金及现金等价物余额(万元),23017,30056,27751,26040,28152,27854,24014,22567,47807,50699,10325,4379,4848,5910,5536,2934,6654,1789,3285,1262,
净利润(万元),,4265,,9630,,4955,,7777,,4002,,9001,,3385,,6066,,4252,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-150,,2028,,255,,913,,-71,,565,,-304,,338,,431,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1633,,2046,,833,,1414,,693,,1261,,609,,1039,,592,,,
无形资产摊销(万元),,75,,137,,57,,64,,27,,49,,24,,40,,10,,,
长期待摊费用摊销(万元),,195,,153,,52,,57,,27,,49,,25,,22,,113,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,3,,-14,,0,,,,,,-1,,,,,,1,,,
固定资产报废损失(万元),,77,,1,,,,,,,,,,,,2,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,478,,316,,147,,418,,142,,-242,,-57,,-326,,81,,,
