报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),19970,13741,34985,27112,36605,47232,22265,50681,24840,25418,24004,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),189818,95472,97721,69707,19704,463183,195399,547708,207073,112478,85152,
经营活动现金流入小计(万元),209788,109212,132706,96819,56309,510415,217664,598389,231913,137896,109156,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4272,3030,5879,4602,6727,6643,3636,6236,5286,5708,5552,
支付的各项税费(万元),2920,1693,6060,3999,7547,11563,5749,8863,4829,4011,3120,
支付的其他与经营活动有关的现金(万元),232711,132289,125877,119466,178122,275004,153274,645053,128314,174484,95585,
经营活动现金流出小计(万元),239903,140064,149143,128067,198819,299267,165531,668094,145002,190806,109858,
经营活动产生的现金流量净额(万元),-30115,-30851,-16437,-31248,-142510,211148,52133,-69705,86911,-52910,-701,
收回投资所收到的现金(万元),54648,43872,54507,27083,3162,3978,1410,6768,3217,964,,
取得投资收益所收到的现金(万元),161,77,107,93,71,84,60,37,93,59,15,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,0,871,,0,4,3,29,7,1,2,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),170,51,26,37,43,5247,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),54980,44000,55511,27213,3277,9313,1473,6834,3317,1024,17,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6699,4259,15320,13554,9180,5962,1079,20312,580,1031,3046,
投资所支付的现金(万元),74100,53702,63974,32404,2850,2249,1634,9465,976,2603,503,
质押贷款净增加额(万元),,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),65,60,40,40,1500,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),80863,58020,79334,45998,13530,8210,2713,29778,1557,3633,3549,
投资活动产生的现金流量净额(万元),-25883,-14020,-23823,-18785,-10253,1103,-1240,-22944,1760,-2609,-3532,
吸收投资收到的现金(万元),23065,,,,,,,,,,12500,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,
取得借款收到的现金(万元),10500,3500,16500,14000,9000,4000,,11908,,,,
发行债券收到的现金(万元),,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),15501,5501,1050,,,,,9828,,,,
筹资活动现金流入小计(万元),49066,9001,17550,14000,9000,4000,0,21736,0,0,12500,
偿还债务支付的现金(万元),,,,,10000,,,1908,,,,
分配股利、利润或偿付利息所支付的现金(万元),1209,763,5781,5453,1047,750,385,39,3999,,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1983,1110,40,14,94,38,13,10097,32,,,
筹资活动现金流出小计(万元),3193,1873,5821,5467,11141,788,398,12044,4031,0,0,
筹资活动产生的现金流量净额(万元),45873,7128,11729,8533,-2141,3212,-398,9692,-4031,0,12500,
汇率变动对现金及现金等价物的影响(万元),0,-33,770,-66,-983,57,,,,,,
现金及现金等价物净增加额(万元),-10126,-37777,-27761,-41566,-155887,215520,50495,-82956,84640,-55519,8267,
加:期初现金及现金等价物余额(万元),91513,84537,112297,116804,268184,52664,52664,135620,50980,106499,98232,
期末现金及现金等价物余额(万元),81388,46760,84537,75238,112297,268184,103159,52664,135620,50980,106499,
净利润(万元),,6855,11473,,15888,21246,,,,,,
少数股东损益(万元),,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,
资产减值准备(万元),,-96,56,,12,64,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,328,737,,752,621,,,,,,
无形资产摊销(万元),,69,69,,70,101,,,,,,
长期待摊费用摊销(万元),,19,136,,241,220,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,0,-761,,2,-1,,,,,,
固定资产报废损失(万元),,,0,,,,,,,,,
公允价值变动损失(万元),,-1581,1102,,-1447,178,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,
财务费用(万元),,,,,629,693,,,,,,
