报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),135789,86786,169315,113636,78498,135168,64595,102433,41851,80753,68234,56850,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),1754,1743,3034,1443,1412,268,177,1532,3,1224,2241,,
收到的其他与经营活动有关的现金(万元),2041,1141,4854,4371,2426,4337,3079,4577,2655,979,2869,656,
经营活动现金流入小计(万元),139584,89670,177203,119451,82336,139773,67851,108543,44510,82956,73344,57505,
购买商品、接受劳务支付的现金(万元),76580,48945,97443,70719,48578,81142,38678,61519,25875,44212,34828,28530,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),25107,18181,29024,21388,15553,21596,11824,16009,8502,10444,9365,9573,
支付的各项税费(万元),5539,3711,5732,4373,2769,5377,3113,4886,2565,5348,4214,4036,
支付的其他与经营活动有关的现金(万元),19104,10471,21675,19204,11377,18083,8194,14753,6069,11879,9505,12845,
经营活动现金流出小计(万元),126330,81308,153874,115683,78277,126199,61809,97167,43012,71883,57913,54984,
经营活动产生的现金流量净额(万元),13254,8362,23329,3768,4059,13574,6041,11376,1498,11072,15431,2522,
收回投资所收到的现金(万元),62140,51835,132465,93217,80200,176075,86575,13525,100,6002,19258,15600,
取得投资收益所收到的现金(万元),572,484,1279,780,727,1407,671,182,1,192,219,92,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,4,,,,4,4,63,5,0,78,7,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,4172,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),62717,52323,133744,93998,80927,177486,87250,13770,106,10366,19555,15699,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4686,3547,5182,2753,2408,2498,999,2466,787,1142,689,2683,
投资所支付的现金(万元),163530,89020,139465,125945,80200,174506,80751,21824,1205,6357,15400,15100,
