报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),533071,290627,93297,720889,480306,319095,120446,594242,396533,274821,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),918,290,43,507,483,213,173,250,6,643,
收到的其他与经营活动有关的现金(万元),9850,6723,1827,8870,6916,4974,3610,6942,3260,3322,
经营活动现金流入小计(万元),543839,297640,95166,730267,487704,324282,124229,601434,399799,278786,
购买商品、接受劳务支付的现金(万元),658726,323951,140188,642158,465156,285762,129211,527841,353224,243202,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),24538,17261,11151,28874,18701,11724,5929,22825,16848,12010,
支付的各项税费(万元),13753,10087,4042,21563,15334,8867,2375,29985,16850,4244,
支付的其他与经营活动有关的现金(万元),35982,17973,6274,24566,24520,11292,20999,19948,15713,10512,
经营活动现金流出小计(万元),732999,369272,161655,717162,523711,317645,158514,600600,402635,269968,
经营活动产生的现金流量净额(万元),-189159,-71632,-66489,13105,-36007,6637,-34286,835,-2836,8818,
收回投资所收到的现金(万元),,,,,,,,,0,,
取得投资收益所收到的现金(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),44,33,22,108,62,32,15,16,7,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),16,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),60,33,22,108,62,32,15,16,7,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2888,1752,714,11229,3431,8058,1417,12467,610,10458,
投资所支付的现金(万元),,,,,,,,,,1482,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),153,153,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),3040,1904,714,11229,3431,8058,1417,12467,610,11940,
投资活动产生的现金流量净额(万元),-2980,-1871,-692,-11121,-3369,-8026,-1402,-12451,-603,-11940,
吸收投资收到的现金(万元),86499,,,,,,,25002,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),153670,114070,37570,78900,58100,43100,9600,56355,20300,16173,
发行债券收到的现金(万元),,,,,,,,,,,
