报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),34780,27038,11608,32900,20336,13015,7438,28247,20946,11739,5690,29265,18030,14219,7109,21034,23208,31169,27395,24951,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,42,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),490,156,247,687,227,140,137,550,722,433,35,112,118,17,64,240,6,139,20,88,
经营活动现金流入小计(万元),35270,27193,11855,33586,20605,13155,7575,28797,21668,12172,5725,29378,18148,14236,7173,21274,23214,31308,27415,25039,
购买商品、接受劳务支付的现金(万元),18853,12923,7345,16369,9719,6672,3412,17415,12841,7269,4886,11208,7822,4247,3791,8513,9704,13917,12453,17081,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5564,4052,2489,3167,2313,1543,896,2677,1894,1292,692,2401,1787,1183,610,2455,2623,2578,1964,1206,
支付的各项税费(万元),2382,1949,1273,3104,2074,1330,732,4111,3102,2359,1574,3434,2483,1844,911,3575,4238,3198,4190,2356,
支付的其他与经营活动有关的现金(万元),2325,1167,930,1442,950,668,433,1734,1262,811,522,1305,944,540,229,1446,2500,1774,2649,1767,
经营活动现金流出小计(万元),29123,20091,12037,24081,15057,10212,5473,25937,19099,11731,7674,18349,13036,7814,5541,15989,19065,21468,21255,22410,
经营活动产生的现金流量净额(万元),6147,7103,-182,9505,5548,2943,2102,2860,2569,441,-1948,11029,5112,6422,1631,5285,4149,9840,6160,2629,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),24,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),200,189,145,,,,,227,227,187,7,1,1,1,,10,,88,76,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,11169,11332,11332,6040,41291,25123,10058,,166,136,,,,,20,1384,15781,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),225,189,145,11169,11332,11332,6040,41518,25350,10244,7,167,137,1,0,10,0,108,1460,15781,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1285,1104,775,1799,1558,1325,997,8256,4696,2057,1210,6136,5684,5347,10,423,335,1005,9985,10064,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),10149,10149,10149,,,,,,,,,,,,,,,,4244,500,
支付的其他与投资活动有关的现金(万元),,,,11240,18000,11000,6000,41000,34000,19000,6000,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
