报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,
客户存款和同业存放款项净增加额(万元),5289844,,6003746,,,,,
向中央银行借款净增加额(万元,,,,,180450,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,
处置交易性金融资产净增加额(万元),,,,,22105,,,
收取利息、手续费及佣金的现金(万元),2643214,,814573,,2343504,,,
拆入资金净增加额(万元),,,,,73771,,,
回购业务资金净增加额(万元),476881,,,,,,,
收到的税费返还(万元),,,,,,,,
收到的其他与经营活动有关的现金(万元),115250,,54322,,330378,,,
经营活动现金流入小计(万元),9934507,,6876331,,3934920,,,
购买商品、接受劳务支付的现金(万元),,,,,,,,
客户贷款及垫款净增加额(万元),4311852,,1901513,,3458428,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,
支付利息、手续费及佣金的现金(万元),708591,,485298,,1173647,,,
支付保单红利的现金(万元),,,,,,,,
支付给职工以及为职工支付的现金(万元),413907,,180139,,381181,,,
支付的各项税费(万元),389114,,115401,,399030,,,
支付的其他与经营活动有关的现金(万元),351692,,234650,,245486,,,
经营活动现金流出小计(万元),6596814,,4210687,,12890975,,,
经营活动产生的现金流量净额(万元),3337694,3103629,2665644,-8122328,-8956055,-1936697,608565,
收回投资所收到的现金(万元),10002024,,3703061,,21591447,,,
取得投资收益所收到的现金(万元),983728,,294752,,747222,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1110,,60,,1931,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,
投资活动现金流入小计(万元),10986863,,3997873,,22340600,,,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),28701,,11585,,25069,,,
投资所支付的现金(万元),15838345,,5662340,,19038829,,,
质押贷款净增加额(万元),,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,
投资活动现金流出小计(万元),15867046,,5673925,,19063899,,,
投资活动产生的现金流量净额(万元),-4880183,-2338735,-1676052,1882312,3276701,-4494816,-4027838,
吸收投资收到的现金(万元),,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,
取得借款收到的现金(万元),,,,,,,,
发行债券收到的现金(万元),18133387,,4083048,,11419085,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,
筹资活动现金流入小计(万元),18133387,,4083048,,11419085,,,
偿还债务支付的现金(万元),16341000,,5380000,,9432000,,,
分配股利、利润或偿付利息所支付的现金(万元),613516,,0,,232821,,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,
支付其他与筹资活动有关的现金(万元),5264,,1520,,,,,
筹资活动现金流出小计(万元),16963780,,5381520,,9693686,,,
筹资活动产生的现金流量净额(万元),1169607,-459805,-1298473,4835741,1725399,4334358,2044617,
汇率变动对现金及现金等价物的影响(万元),1431,,-3661,,3537,-8431,20133,
现金及现金等价物净增加额(万元),-371451,305089,-312541,-1404274,-3950418,-2097155,-1374656,
加:期初现金及现金等价物余额(万元),3463744,3463744,3463744,4860861,4860861,6966447,8320971,
期末现金及现金等价物余额(万元),3092293,3768993,3151203,3463744,910443,4860861,6966447,
净利润(万元),,,334761,,,,,
少数股东损益(万元),,,,,,,,
未确认的投资损失(万元),,,,,,,,
资产减值准备(万元),,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,18112,,,,,
无形资产摊销(万元),,,842,,,,,
长期待摊费用摊销(万元),,,484,,,,,
待摊费用的减少(万元),,,,,,,,
预提费用的增加(万元),,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,-14,,,,,
固定资产报废损失(万元),,,,,,,,
公允价值变动损失(万元),,,16559,,,,,
递延收益增加(减：减少)(万元),,,,,,,,
预计负债(万元),,,,,,,,
财务费用(万元),,,-193832,,,,,
投资损失(万元),,,-7051,,,,,
递延所得税资产减少(万元),,,-34127,,,,,
递延所得税负债增加(万元),,,,,,,,
存货的减少(万元),,,,,,,,
经营性应收项目的减少(万元),,,-2277892,,,,,
经营性应付项目的增加(万元),,,4664345,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,
其他(万元),,,,,,,,
经营活动产生现金流量净额(万元),,,2665644,,,,,
债务转为资本(万元),,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,
融资租入固定资产(万元),,,,,,,,
现金的期末余额(万元),3092293,3768993,3151203,3463744,910443,4860861,6966447,
现金的期初余额(万元),3463744,3463744,3463744,4860861,4860861,6966447,8320971,
现金等价物的期末余额(万元),,,,,,,,
现金等价物的期初余额(万元),,,,,,,,
现金及现金等价物的净增加额(万元),-371451,305089,-312541,-1404274,-3950418,-2097155,-1374656,

