报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),1062412,728572,406541,1276508,970469,648748,348952,1193298,900151,627364,339170,1159497,879325,620541,339643,1217164,1226650,1247119,1119749,1036481,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),93382,29174,22409,51154,60210,14966,6282,32290,41416,10416,5244,25962,22214,12395,4503,24152,27361,30946,32333,33814,
经营活动现金流入小计(万元),1155794,757746,428950,1327662,1030679,663714,355234,1225588,941567,637780,344414,1185460,901539,632936,344146,1241316,1254011,1278065,1152082,1070295,
购买商品、接受劳务支付的现金(万元),917966,626669,362777,1076523,789986,531387,286570,958804,725300,501216,278921,936385,707695,496631,264338,1006079,1019287,1017594,941196,887544,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),70324,50597,28747,87839,57302,37198,21279,64203,48300,34056,19202,56282,42299,29799,16251,55949,54584,53597,47831,43933,
支付的各项税费(万元),49296,32292,16523,51857,38937,27375,13811,47933,37027,26130,16965,45648,34752,23689,17276,46018,47341,43233,52359,24459,
支付的其他与经营活动有关的现金(万元),83951,49808,22850,109310,85026,34343,11979,60909,47240,30049,16264,54543,38283,29836,15785,59231,80134,61483,79546,131230,
经营活动现金流出小计(万元),1121537,759366,430896,1325529,971251,630303,333638,1131849,857868,591451,331352,1092858,823029,579954,313649,1167277,1201345,1175907,1120931,1087166,
经营活动产生的现金流量净额(万元),34257,-1621,-1946,2132,59428,33412,21597,93739,83699,46328,13062,92602,78510,52982,30497,74039,52666,102158,31151,-16871,
收回投资所收到的现金(万元),,,,57437,56000,56000,56000,,61502,,,,,,,,6644,,,38853,
取得投资收益所收到的现金(万元),,,,,1322,1191,875,1351,,,,,,,,,,240,210,11864,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),19,1,1,104,33,33,29,150,6,0,,451,45,41,16,25,65,2612,5,1864,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,65948,,,,3000,3000,3000,3000,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),19,1,1,123489,57354,57224,56904,4501,64508,3000,3000,451,45,41,16,25,6710,2852,215,52581,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),49673,28588,14744,60416,42689,12699,3952,76056,30190,28081,22091,20827,10980,7658,1682,17192,99017,77290,118654,30286,
投资所支付的现金(万元),,,123943,6436,90026,47000,39000,56000,146000,61000,,,,,,,,,8305,37680,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),2741,2578,,,3140,3140,,,,,,,,,,800,11400,14000,958,15869,
支付的其他与投资活动有关的现金(万元),141015,140864,,,3000,,,,,,,8000,,,,,,,,1301,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),193430,172030,138687,66852,138855,62839,42952,132056,176190,89081,22091,28827,10980,7658,1682,17992,110417,91290,127917,85135,
投资活动产生的现金流量净额(万元),-193410,-172029,-138686,56637,-81501,-5615,13952,-127556,-111682,-86081,-19091,-28376,-10935,-7618,-1666,-17967,-103707,-88437,-127702,-32554,
吸收投资收到的现金(万元),,,,,172,172,,150871,150699,150699,,,,,,,,5000,,84216,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,2857,
取得借款收到的现金(万元),169000,136000,64000,185000,155000,61000,41000,81000,66000,56000,56000,194218,157216,125800,69000,217579,250169,181100,182300,98800,
