报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),33218,17869,7305,34168,25604,14308,6318,18234,11367,6613,3030,20717,14794,9066,15323,3671,17006,16818,13627,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),181,174,162,50,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),247,153,103,276,424,150,93,190,154,80,39,225,146,77,378,58,513,532,657,
经营活动现金流入小计(万元),33646,18197,7569,34494,26028,14458,6410,18425,11522,6693,3069,20942,14939,9143,15701,3728,17519,17350,14284,
购买商品、接受劳务支付的现金(万元),22554,13562,6218,17952,16209,10166,4384,11557,7451,4491,1254,6848,4991,2937,5155,1210,4514,8418,6650,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5419,3983,2093,6515,4687,3182,1759,4797,3641,2479,1269,3947,2840,2107,4361,1297,3408,2920,2705,
支付的各项税费(万元),1974,1182,438,2360,2099,1088,408,2955,2386,1641,1015,3863,3484,1931,2966,862,4119,4274,2644,
支付的其他与经营活动有关的现金(万元),3125,2165,1458,3306,2659,1534,908,2704,2182,1223,689,2478,1418,1070,2502,812,2449,2436,1948,
经营活动现金流出小计(万元),33071,20892,10208,30133,25652,15970,7459,22013,15660,9833,4226,17136,12732,8045,14984,4181,14490,18048,13946,
经营活动产生的现金流量净额(万元),575,-2695,-2639,4362,376,-1512,-1049,-3588,-4139,-3141,-1157,3806,2207,1099,716,-452,3029,-698,339,
收回投资所收到的现金(万元),2200,,,33340,26940,10240,7600,2800,,,,,,,,,,,,
取得投资收益所收到的现金(万元),6,,,583,557,,114,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,1,,2276,1510,2,,3,,,,1,1,2,0,,1,2,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,134,,32,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),2208,1,0,36199,29007,10375,7714,2835,0,0,0,1,1,2,0,0,1,2,1,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9819,5884,3660,16918,10478,4394,2493,1917,789,433,416,847,548,425,96,66,634,1845,1370,
投资所支付的现金(万元),16200,,,17940,16040,8240,7300,18200,18200,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),26019,5884,3660,34858,26518,12634,9793,20117,18989,433,416,847,548,425,96,66,634,1845,1370,
投资活动产生的现金流量净额(万元),-23810,-5883,-3660,1341,2489,-2259,-2078,-17282,-18989,-433,-416,-846,-546,-424,-96,-66,-632,-1843,-1368,
吸收投资收到的现金(万元),22340,,,,0,,,23170,23170,23170,,,,,,,,,935,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),13500,13500,9500,11300,11300,4000,1000,15500,11700,7100,,8700,7700,5600,7100,,6600,8700,8900,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,55,454,30,
筹资活动现金流入小计(万元),35840,13500,9500,11300,11300,4000,1000,38670,34870,30270,0,8700,7700,5600,7100,0,6655,9154,9865,
偿还债务支付的现金(万元),11310,6810,6800,11020,11010,2210,,13810,8900,5400,,9000,9000,6300,5800,,7700,7700,5100,
分配股利、利润或偿付利息所支付的现金(万元),1552,1400,106,1460,1283,1142,103,1322,958,913,815,1070,870,773,1311,95,1891,1391,1498,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),175,,,70,70,70,,687,754,62,1,106,100,30,145,,,25,286,
