报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),894592,579666,289883,1018215,729747,471225,235327,859051,610681,404352,201533,722023,521642,339328,166781,610822,295440,531221,431271,377597,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),65263,64597,62786,55282,51313,50474,49537,36632,36477,35657,35223,30224,29629,28936,29151,38839,37777,9118,2629,1481,
经营活动现金流入小计(万元),959855,644263,352669,1073497,781060,521699,284864,895683,647157,440009,236756,752247,551271,368265,195932,649662,333217,540339,433900,379077,
购买商品、接受劳务支付的现金(万元),522137,342541,169458,579060,429283,295461,159001,503670,362804,247214,119230,434211,320514,204025,97638,378378,181958,287699,263579,230876,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),140176,94476,46192,164604,116245,76958,32235,128227,88749,63256,34432,102937,74518,49982,24988,84359,42788,71007,56460,47666,
支付的各项税费(万元),50012,40194,13510,67933,49862,34084,13255,62200,41998,30186,16510,53877,42035,26023,13896,47467,22616,41604,32861,30009,
支付的其他与经营活动有关的现金(万元),139004,109594,98491,174536,135945,98923,79854,137547,105366,73631,52394,111661,70879,62679,45876,92599,54048,95171,52177,41595,
经营活动现金流出小计(万元),851330,586806,327651,986133,731334,505425,284345,831644,598916,414287,222566,702687,507946,342708,182398,602803,301409,495482,405078,350146,
经营活动产生的现金流量净额(万元),108526,57457,25018,87364,49726,16274,519,64039,48241,25722,14190,49560,43326,25556,13534,46859,31808,44858,28822,28931,
收回投资所收到的现金(万元),85000,30000,20000,248500,248500,226500,103500,23000,,,,,,,,,3625,,42390,65601,
取得投资收益所收到的现金(万元),594,177,140,1969,1979,1791,865,107,,,,,,,,2,1,14,59,85,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),591,400,164,552,1487,620,245,454,750,576,273,1808,1311,1074,252,234,108,252,389,251,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,379,700,700,700,741,741,,,,,,,4600,4600,1500,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),86185,30577,20304,251399,252665,229611,105310,24302,1491,576,273,1808,1311,1074,252,4835,8334,1765,42838,65936,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),19435,17076,7520,55439,45890,29121,12383,66853,34662,22040,7428,30735,22738,13381,5514,24784,9774,26182,36399,5985,
投资所支付的现金(万元),155200,75200,10599,196350,194227,178928,86026,96150,6080,2807,2386,5147,5147,7139,3992,542,3625,,42190,65701,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),27074,24305,7623,31232,8998,3924,2937,3489,917,,,8466,8466,,,56,,165,,,
支付的其他与投资活动有关的现金(万元),,,,117,,,,773,49500,,,,,1,,1,1,4602,373,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),201709,116581,25742,283139,249115,211972,101346,167265,91159,24848,9814,44349,36351,20521,9506,25382,13400,30948,78963,71686,
投资活动产生的现金流量净额(万元),-115524,-86004,-5439,-31740,3551,17639,3964,-142963,-89668,-24272,-9541,-42541,-35040,-19447,-9254,-20547,-5066,-29183,-36125,-5750,
吸收投资收到的现金(万元),1530,1530,1530,1226,1128,1064,1064,99151,98507,1886,830,2315,2315,,,9000,9000,,,4490,
