报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),184666,119154,57643,223777,155893,102736,41794,125207,85520,53955,21425,80317,55518,35121,16813,52487,33167,44238,29695,30962,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),3576,2635,1578,5896,4840,3118,2134,4314,3442,2240,948,2915,2038,949,181,2289,2091,2167,1283,1408,
收到的其他与经营活动有关的现金(万元),2076,682,198,2346,1277,785,21,2257,1125,796,607,1483,1268,683,16,1378,992,930,1692,740,
经营活动现金流入小计(万元),190318,122472,59419,232020,162010,106639,43950,131778,90086,56992,22979,84715,58823,36753,17010,56153,36250,47335,32669,33110,
购买商品、接受劳务支付的现金(万元),137395,90636,47600,172137,117021,79566,40893,86882,63657,36808,14827,55316,40494,25172,13830,36815,24673,32545,21087,23286,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),22601,13972,6332,18497,11608,9345,4716,12789,9031,6177,2376,9563,6721,4679,2474,6482,4299,5183,5402,4438,
支付的各项税费(万元),11522,8653,3841,8368,7654,4317,3386,5697,3626,3347,1325,4491,2887,2282,1295,3608,3007,3445,2519,2814,
支付的其他与经营活动有关的现金(万元),17879,11779,3317,18423,14351,6992,3139,11008,8024,4527,1963,6545,3876,2388,1433,3222,2244,2908,2262,1537,
经营活动现金流出小计(万元),189397,125040,61091,217425,150634,100219,52134,116376,84337,50860,20491,75915,53978,34520,19032,50127,34223,44081,31270,32075,
经营活动产生的现金流量净额(万元),921,-2569,-1671,14595,11375,6420,-8185,15401,5749,6132,2489,8800,4846,2233,-2023,6026,2027,3254,1399,1034,
收回投资所收到的现金(万元),18700,16200,14350,107,41,41,,21,21,21,21,,,,45,,,,,,
取得投资收益所收到的现金(万元),414,87,48,701,498,316,143,519,333,33,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,11,5,5,,91,1,0,,22,22,21,,,,,,26,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),2951,2951,2938,,151,41,3,183,155,130,70,59,38,23,,37,31,76,14,16,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),22065,19238,17335,818,695,403,146,814,510,185,92,81,60,44,45,37,31,76,14,42,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6415,5521,1973,9361,1731,1549,1198,2569,1209,796,782,554,347,248,65,1952,1418,1386,2538,3006,
投资所支付的现金(万元),916,450,451,6140,9449,2318,2624,14090,34369,13908,16000,1200,898,30,75,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),11685,11605,11541,,,,,,,,,,,,,,,143,,,
支付的其他与投资活动有关的现金(万元),,,,2951,,,,15760,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),19016,17576,13965,18452,11180,3867,3822,32418,35579,14703,16782,1754,1245,278,140,1952,1418,1529,2538,3006,
投资活动产生的现金流量净额(万元),3048,1662,3370,-17634,-10485,-3464,-3676,-31604,-35069,-14519,-16690,-1673,-1185,-234,-95,-1915,-1387,-1454,-2523,-2964,
吸收投资收到的现金(万元),1361,1361,,2508,2571,596,549,2316,2316,,,31299,607,90,,700,700,,80,504,
其中：子公司吸收少数股东投资收到的现金(万元),1361,1361,,2080,,,,,,,,409,607,90,,700,700,,,,
取得借款收到的现金(万元),362,1241,,6000,3000,4265,4265,,,,,4400,4400,2900,1550,4600,4600,3100,4950,3800,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,2980,,,,,,,,,,,,,,50,201,
筹资活动现金流入小计(万元),1724,2602,0,8508,8551,4861,4813,2316,2316,0,0,35699,5007,2990,1550,5300,5300,3100,5080,4505,
偿还债务支付的现金(万元),,,1500,,,,,1950,1950,1950,1950,5350,3100,2000,,4600,4500,4100,3247,3519,
分配股利、利润或偿付利息所支付的现金(万元),4643,4543,105,4293,4207,4062,14,3364,3378,3372,15,5180,4730,2085,38,1402,1364,184,234,163,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),228,163,165,,,,,,,,5,825,,,27,304,304,101,,0,
筹资活动现金流出小计(万元),4871,4706,1770,4293,4207,4062,14,5314,5328,5322,1970,11355,7830,4085,65,6305,6168,4385,3480,3682,
筹资活动产生的现金流量净额(万元),-3147,-2104,-1770,4216,4345,799,4799,-2998,-3013,-5322,-1970,24345,-2823,-1095,1485,-1005,-868,-1285,1600,822,
