报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),47765,31448,63891,44173,32012,52471,22905,19552,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),,,,,,,,,
收到的其他与经营活动有关的现金(万元),2525,1660,5624,950,1233,541,78,443,
经营活动现金流入小计(万元),50290,33108,69515,45123,33245,53013,22983,19996,
购买商品、接受劳务支付的现金(万元),25721,17112,29480,20851,15133,17106,8805,10962,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),7853,5039,9621,7111,4716,8624,5746,5018,
支付的各项税费(万元),4953,4071,6389,5347,4001,6898,3249,2347,
支付的其他与经营活动有关的现金(万元),2384,1128,2426,2155,1238,5732,1542,3615,
经营活动现金流出小计(万元),40912,27351,47916,35465,25087,38360,19343,21942,
经营活动产生的现金流量净额(万元),9378,5758,21600,9659,8158,14652,3640,-1947,
收回投资所收到的现金(万元),,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),115,106,179,,,25,230,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,555,422,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),115,106,179,0,0,25,784,422,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),5601,4035,14631,13113,10200,17108,5015,4029,
投资所支付的现金(万元),,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),5601,4035,14631,13113,10200,17108,5015,4029,
投资活动产生的现金流量净额(万元),-5487,-3929,-14452,-13113,-10200,-17083,-4230,-3607,
吸收投资收到的现金(万元),72526,,,,,41983,3600,3100,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),1000,,2000,1000,1000,8500,4700,3620,
发行债券收到的现金(万元),,,355,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,400,6166,
筹资活动现金流入小计(万元),73526,0,2355,1000,1000,50483,8700,12886,
偿还债务支付的现金(万元),2000,1000,,,,14650,3200,3620,
分配股利、利润或偿付利息所支付的现金(万元),3059,3053,,,,14290,73,696,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),7231,64,938,940,691,919,4553,2986,
筹资活动现金流出小计(万元),12290,4117,938,940,691,29859,7826,7301,
筹资活动产生的现金流量净额(万元),61235,-4117,1417,60,309,20624,874,5585,
汇率变动对现金及现金等价物的影响(万元),12,-51,15,68,22,102,-7,-6,
