报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),63079,34585,17497,75707,56353,30751,13066,69684,52676,34911,17611,61029,42304,52873,23270,47765,39387,34824,
客户存款和同业存放款项净增加额(万元),,,,0,,,,0,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,0,,,,0,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,0,,,,0,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,0,,,,0,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,0,,,,0,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,0,,,,0,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,0,,,,0,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,0,,,,0,,,,,,,,,,,
拆入资金净增加额(万元),,,,0,,,,0,,,,,,,,,,,
回购业务资金净增加额(万元),,,,0,,,,0,,,,,,,,,,,
收到的税费返还(万元),5959,3633,1549,5989,4757,2681,1005,5035,3660,2019,549,5322,3708,3963,1668,3090,3223,2378,
收到的其他与经营活动有关的现金(万元),3340,1867,896,3823,2427,1854,992,5908,3575,2181,1230,3754,735,2735,1472,9263,7930,4642,
经营活动现金流入小计(万元),72378,40086,19942,85519,63537,35286,15063,80627,59911,39111,19390,70105,46747,59572,26410,60118,50539,41844,
购买商品、接受劳务支付的现金(万元),39224,21174,9848,49844,38997,25347,12148,44506,34643,21387,9603,37162,25568,34398,15284,34493,27248,23689,
客户贷款及垫款净增加额(万元),,,,0,,,,0,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,0,,,,0,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,0,,,,0,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,0,,,,0,,,,,,,,,,,
支付保单红利的现金(万元),,,,0,,,,0,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),14919,10165,5786,16372,12202,7852,4336,13655,10183,7142,4476,12202,8553,9768,4986,8540,7386,6469,
支付的各项税费(万元),1443,400,1279,5763,3991,2337,1667,4100,3267,2368,1372,3487,2503,2182,1160,1352,1596,1352,
支付的其他与经营活动有关的现金(万元),8368,5648,2803,8434,6505,3866,1767,8512,6654,4017,2062,8389,2928,7335,2973,11132,12087,8024,
经营活动现金流出小计(万元),63953,37387,19715,80412,61696,39402,19919,70773,54747,34913,17513,61239,39552,53681,24402,55517,48317,39534,
经营活动产生的现金流量净额(万元),8425,2699,227,5107,1842,-4116,-4855,9854,5164,4198,1877,8866,7195,5890,2007,4601,2222,2310,
收回投资所收到的现金(万元),140,140,140,0,,,,0,,,,,1000,902,102,,101,100,
取得投资收益所收到的现金(万元),548,382,170,1112,712,422,144,0,,,,16,8,6,,,,14,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),467,312,33,84,4,4,,1,1,1,1,7,0,2,,54,0,1881,
处置子公司及其他营业单位收到的现金净额(万元),120,120,,0,,,,0,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),69400,46300,22811,84700,59000,38000,1000,0,,,,1300,,0,,600,200,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),70675,47253,23154,85896,59716,38426,1144,1,1,1,1,1323,1009,911,102,654,301,1995,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9185,6933,3420,9098,6356,2658,1419,2823,1572,1261,686,2528,1676,5235,4552,4659,3259,1756,
投资所支付的现金(万元),3510,3779,3193,425,325,,,0,,,,140,,750,50,100,80,1,
质押贷款净增加额(万元),,,,0,,,,0,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,0,,,,0,,,,,,33,33,,61,,
支付的其他与投资活动有关的现金(万元),62723,41723,19523,80500,55700,37000,,29000,,,,1300,1000,,,49,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),75418,52436,26136,90023,62381,39658,1419,31823,1572,1261,686,3968,2676,6017,4635,4808,3401,1757,
投资活动产生的现金流量净额(万元),-4743,-5182,-2982,-4127,-2664,-1233,-275,-31822,-1571,-1260,-685,-2645,-1668,-5106,-4533,-4155,-3100,238,
吸收投资收到的现金(万元),1334,371,34,320,270,113,,37360,37348,,,,,100,100,15,4138,,
其中：子公司吸收少数股东投资收到的现金(万元),,120,,0,,,,0,,,,,,100,,15,,,
取得借款收到的现金(万元),15250,15195,6585,16209,15209,12091,3890,7321,7274,4376,4284,7605,7393,13671,6600,12028,12170,9400,
发行债券收到的现金(万元),,,,0,,,,0,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,0,,,,0,-29,,,,,870,870,1130,1565,,
筹资活动现金流入小计(万元),16584,15566,6619,16528,15478,12204,3890,44681,44593,4376,4284,7605,7393,14641,7570,13173,17873,9400,
偿还债务支付的现金(万元),15498,13668,6518,9201,7512,4592,3779,9444,7515,4289,2605,11435,8833,8036,1000,11532,10300,10000,
分配股利、利润或偿付利息所支付的现金(万元),4214,3936,173,3269,3086,2909,88,3263,3151,3019,2890,2261,2118,2180,1748,2018,6762,1009,
其中：子公司支付给少数股东的股利、利润(万元),22,22,,0,,,,0,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),0,0,0,45,46,46,46,1980,751,479,239,960,1060,1060,627,1157,258,434,
筹资活动现金流出小计(万元),19712,17604,6691,12515,10644,7547,3912,14687,11418,7787,5734,14656,12011,11277,3375,14707,17320,11443,
筹资活动产生的现金流量净额(万元),-3129,-2038,-72,4013,4834,4657,-22,29994,33175,-3412,-1450,-7051,-4618,3365,4195,-1534,553,-2043,
汇率变动对现金及现金等价物的影响(万元),660,90,-292,150,317,-39,-344,-388,-257,-118,-23,117,-1066,428,263,90,-51,-2,
现金及现金等价物净增加额(万元),1214,-4431,-3118,5143,4329,-729,-5496,7637,36511,-592,-281,-713,-158,4576,1932,-996,-375,502,
加:期初现金及现金等价物余额(万元),18214,18214,18195,13071,13071,13071,13071,5434,5434,5434,5434,6147,7117,1571,1571,2567,2942,2440,
期末现金及现金等价物余额(万元),19428,13783,15077,18214,17400,12342,7575,13071,41945,4842,5152,5434,6959,6147,3503,1571,2567,2942,
净利润(万元),,4867,,8186,,2976,,6008,,2393,,7459,,3634,,2784,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,287,,563,,263,,1060,,776,,238,,355,,97,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1004,,1697,,812,,1526,,779,,1458,,1419,,1135,,,
无形资产摊销(万元),,53,,104,,42,,66,,32,,71,,54,,58,,,
长期待摊费用摊销(万元),,199,,362,,162,,256,,122,,413,,216,,63,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-195,,6,,1,,-3,,5,,48,,56,,-32,,,
固定资产报废损失(万元),,8,,28,,14,,9,,,,,,,,,,,
公允价值变动损失(万元),,,,,,-9,,,,,,,,9,,604,,,
