报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),36553,25802,6146,74765,47302,33198,11726,66386,26153,44941,30747,24348,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),749,358,241,690,160,111,107,963,315,256,473,202,
收到的其他与经营活动有关的现金(万元),1464,641,413,2118,1703,693,247,1914,1206,310,230,239,
经营活动现金流入小计(万元),38765,26801,6800,77573,49166,34003,12080,69263,27674,45508,31451,24789,
购买商品、接受劳务支付的现金(万元),41267,24500,9407,54310,42064,24071,13090,46756,22680,35420,21763,19615,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6352,4166,2329,7575,5754,3923,2154,6337,3134,4654,3687,3104,
支付的各项税费(万元),2691,2150,760,4717,4359,2829,2063,1959,1441,1447,2284,891,
支付的其他与经营活动有关的现金(万元),2081,1355,838,2138,1402,1127,618,2211,1043,1554,1931,2260,
经营活动现金流出小计(万元),52392,32170,13335,68741,53578,31950,17925,57263,28298,43075,29666,25870,
经营活动产生的现金流量净额(万元),-13626,-5369,-6535,8833,-4413,2053,-5845,12000,-624,2433,1785,-1081,
收回投资所收到的现金(万元),107580,59580,8200,33240,22990,11750,7450,21694,3764,27924,26270,35660,
取得投资收益所收到的现金(万元),484,303,11,36,22,13,9,28,3,19,14,22,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,8,,4,4,,,1,,14,1524,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,519,,
收到的其他与投资活动有关的现金(万元),0,0,,,,,,,,,7330,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),108072,59891,8211,33280,23016,11763,7459,21723,3767,27957,35657,35682,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7536,4157,781,4947,4761,3577,2084,5181,2004,4802,4299,1877,
投资所支付的现金(万元),125580,73380,34650,33240,22990,17540,8350,21030,3100,27285,26570,35543,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),133116,77537,35431,38187,27751,21117,10434,26211,5104,32087,30869,37420,
投资活动产生的现金流量净额(万元),-25043,-17646,-27220,-4907,-4735,-9354,-2975,-4489,-1337,-4131,4787,-1737,
吸收投资收到的现金(万元),47540,47540,47460,,,,,,,,,25,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),1590,1258,361,18421,14958,9801,3400,35084,20608,27648,24356,52948,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,105,71,1136,4855,3210,
筹资活动现金流入小计(万元),49130,48798,47821,18421,14958,9801,3400,35189,20679,28784,29211,56183,
偿还债务支付的现金(万元),8745,8500,8500,19164,10060,7261,860,35733,16014,28440,31560,50224,
分配股利、利润或偿付利息所支付的现金(万元),4150,4148,54,1870,1586,394,141,1398,885,908,1032,929,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1561,1561,1354,1,1,1,1,,15,84,476,380,
筹资活动现金流出小计(万元),14456,14209,9908,21035,11646,7655,1001,37131,16914,29432,33068,51532,
