报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),97976,68308,31728,162751,126901,78891,29824,129141,92841,63820,21650,106313,76381,44468,16024,99682,76142,54245,109958,88636,87739,123995,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),478,179,33,310,255,255,171,516,426,421,234,745,702,608,41,68,42,0,,,,60,
收到的其他与经营活动有关的现金(万元),3715,2824,856,3484,3527,1492,329,2068,1467,1335,254,2032,2375,2094,215,2779,2476,2198,3388,2862,1997,2010,
经营活动现金流入小计(万元),102170,71311,32616,166544,130683,80638,30324,131725,94734,65576,22138,109091,79458,47170,16280,102529,78660,56443,113346,91498,89736,126065,
购买商品、接受劳务支付的现金(万元),54814,39732,23556,88239,71071,43818,19181,73765,51744,39235,15984,58215,41596,21738,7411,55221,43093,28493,65839,51824,45032,74570,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),14808,10043,5592,21072,16277,11240,6179,19367,14415,9898,5423,17321,13431,9406,5161,17692,13905,9828,17631,15843,14412,12124,
支付的各项税费(万元),5584,1863,559,11760,8850,6128,2911,5490,3709,1391,664,8221,6308,3082,1231,10503,8799,5461,9810,6397,10624,7623,
支付的其他与经营活动有关的现金(万元),8240,6029,2759,9526,7328,5087,2339,8728,5948,3847,2013,7063,5461,3944,1692,9983,7041,4899,9517,9837,11174,12285,
经营活动现金流出小计(万元),83447,57667,32466,130598,103526,66273,30611,107350,75816,54372,24084,90820,66797,38170,15495,93400,72837,48682,102797,83901,81242,106603,
经营活动产生的现金流量净额(万元),18723,13644,150,35945,27158,14365,-287,24376,18918,11204,-1946,18271,12662,9000,784,9129,5823,7761,10550,7597,8493,19462,
