报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),23552,17008,10994,32477,21848,11377,6929,29232,23841,16756,7429,35816,22854,16556,9330,33752,24886,20070,13549,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),44,41,,,,,,,,,,827,,,,506,47,,,
收到的其他与经营活动有关的现金(万元),1237,388,950,1744,2552,1578,1505,1212,2072,232,428,,1074,480,305,,,128,319,
经营活动现金流入小计(万元),24834,17436,11944,34220,24400,12954,8434,30444,25914,16988,7857,36642,23928,17036,9635,34258,24933,20198,13868,
购买商品、接受劳务支付的现金(万元),9743,6901,4358,12819,11375,7613,4456,19296,17317,9068,3078,17565,11101,7558,4927,14768,7461,7870,4908,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5129,3612,2258,5845,4413,3118,1968,5001,3773,2686,1812,4782,3504,2604,1383,3876,2846,2070,1335,
支付的各项税费(万元),2502,2084,1607,5516,4695,3899,2079,4114,2850,1847,962,3203,2972,1868,1297,4823,3275,4382,3333,
支付的其他与经营活动有关的现金(万元),4170,2230,1466,4208,2856,1452,1174,4134,4541,2635,645,2291,2434,1374,1214,2871,3325,2273,1699,
经营活动现金流出小计(万元),21543,14828,9689,28388,23339,16082,9677,32545,28481,16236,6497,27841,20010,13405,8821,26337,16908,16595,11275,
经营活动产生的现金流量净额(万元),3291,2609,2255,5832,1061,-3128,-1243,-2101,-2568,752,1360,8801,3918,3631,814,7921,8025,3603,2593,
收回投资所收到的现金(万元),,,,,,,,,,200,,,,,,,,,,
取得投资收益所收到的现金(万元),1495,1390,,889,662,662,153,518,145,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,,,,,,8,8,8,,,,,,2,,,45,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),45001,35000,,47000,30011,30011,10,866,7733,733,400,300,300,300,300,376,350,7,960,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),46496,36390,0,47889,30673,30673,163,1393,7887,942,400,300,300,300,300,378,350,7,1005,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1453,942,318,1162,1671,742,612,3787,3258,2646,3518,7143,5844,4740,921,4480,1256,1660,3625,
投资所支付的现金(万元),,,,,,,,10,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,17,217,1140,,
支付的其他与投资活动有关的现金(万元),46301,35001,,52000,35000,35000,,30000,37000,30000,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),47753,35943,318,53162,36671,35742,612,33797,40258,32646,3518,7143,5844,4740,921,4497,1473,2801,3625,
投资活动产生的现金流量净额(万元),-1258,447,-318,-5274,-5998,-5069,-449,-32404,-32371,-31704,-3118,-6843,-5544,-4440,-621,-4118,-1123,-2794,-2620,
吸收投资收到的现金(万元),,,,,,,,35752,40641,40641,40641,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),11500,7500,7480,13500,8000,8000,,1000,,,,4000,3000,2000,,5000,9800,7500,10700,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),11500,7500,7480,13500,8000,8000,0,36752,40641,40641,40641,4000,3000,2000,0,5000,9800,7500,10700,
偿还债务支付的现金(万元),6000,1000,1000,10000,,,,2000,2000,2200,,5000,3000,3000,3000,7870,11430,9700,6850,
分配股利、利润或偿付利息所支付的现金(万元),5215,5125,100,3582,3468,2870,11,1364,1454,1363,22,85,47,25,23,270,2324,590,2529,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),5050,5050,5050,,,,,,4892,4891,3854,130,59,20,,210,49,66,57,
筹资活动现金流出小计(万元),16265,11175,6150,13582,3468,2870,11,3364,8345,8453,3876,5215,3106,3045,3023,8350,13804,10356,9436,
筹资活动产生的现金流量净额(万元),-4765,-3675,1331,-82,4532,5130,-11,33389,32296,32188,36765,-1215,-106,-1045,-3023,-3350,-4004,-2856,1264,
汇率变动对现金及现金等价物的影响(万元),13,6,0,3,3,3,,,,,,,,,,0,,,,
