报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),48945,33708,57088,36642,20336,21629,20164,10688,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),601,331,137,46,,359,,41,
收到的其他与经营活动有关的现金(万元),1282,719,5254,2096,1741,985,1376,2800,
经营活动现金流入小计(万元),50828,34758,62478,38784,22077,22973,21540,13529,
购买商品、接受劳务支付的现金(万元),30674,20272,30551,20729,12047,8444,9637,3750,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),5129,3505,5784,4187,3152,4696,3274,2627,
支付的各项税费(万元),2479,1722,5120,4285,2233,4611,1599,1552,
支付的其他与经营活动有关的现金(万元),6734,3714,5888,4505,2394,4627,3789,3405,
经营活动现金流出小计(万元),45016,29213,47342,33706,19825,22379,18299,11334,
经营活动产生的现金流量净额(万元),5812,5545,15136,5078,2252,594,3241,2196,
收回投资所收到的现金(万元),1,1,,0,,511,,,
取得投资收益所收到的现金(万元),1,1,2,1,1,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,2,31,31,30,152,53,510,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,1076,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),4,4,33,32,31,663,53,1586,
