报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),32141,20606,35923,27077,16163,23210,17847,17702,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),,,207,65,65,,513,143,
收到的其他与经营活动有关的现金(万元),743,570,2041,508,460,1158,398,424,
经营活动现金流入小计(万元),32884,21176,38171,27649,16688,24369,18758,18269,
购买商品、接受劳务支付的现金(万元),13678,8965,19191,15874,9336,7018,9016,5792,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),3919,2766,5120,3745,2593,4785,3657,3281,
支付的各项税费(万元),4209,3494,3962,2814,2195,4647,3087,4432,
支付的其他与经营活动有关的现金(万元),1540,932,1838,1201,704,1742,1628,1406,
经营活动现金流出小计(万元),23347,16158,30111,23635,14828,18191,17387,14911,
经营活动产生的现金流量净额(万元),9537,5018,8060,4015,1860,6177,1371,3358,
收回投资所收到的现金(万元),,,,,,,9779,1796,
取得投资收益所收到的现金(万元),60,60,60,60,60,74,396,2758,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,12112,4,5,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,383,100,,
收到的其他与投资活动有关的现金(万元),,,,,105,50,3198,8292,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),60,60,60,60,165,12619,13476,12850,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1963,1333,3983,3218,1254,1993,1916,1142,
投资所支付的现金(万元),,,,,,,2757,8600,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,190,5801,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),1963,1333,3983,3218,1254,1993,4863,15543,
投资活动产生的现金流量净额(万元),-1903,-1273,-3923,-3158,-1089,10625,8613,-2693,
吸收投资收到的现金(万元),,,,,,10395,15,5,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,285,15,,
取得借款收到的现金(万元),,,100,100,100,,,,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流入小计(万元),0,0,100,100,100,10395,15,5,
偿还债务支付的现金(万元),,,100,100,100,,,,
分配股利、利润或偿付利息所支付的现金(万元),,,1,,,20100,11942,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),30,30,30,30,30,40,9050,,
筹资活动现金流出小计(万元),30,30,131,130,130,20140,20992,0,
筹资活动产生的现金流量净额(万元),-30,-30,-31,-30,-30,-9745,-20977,5,
汇率变动对现金及现金等价物的影响(万元),124,12,25,139,35,-118,54,6,
现金及现金等价物净增加额(万元),7728,3726,4131,966,777,6939,-10938,676,
加:期初现金及现金等价物余额(万元),13740,13740,9608,9608,9608,2669,13607,12932,
期末现金及现金等价物余额(万元),21468,17466,13740,10574,10385,9608,2669,13607,
净利润(万元),11692,6018,,9264,,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),-2,-14,,-293,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),1489,996,,1334,,,,,
无形资产摊销(万元),67,45,,58,,,,,
长期待摊费用摊销(万元),,,,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,
固定资产报废损失(万元),,,,0,,,,,
公允价值变动损失(万元),-1340,-16,,27,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),-124,-12,,-139,,,,,
投资损失(万元),-60,-60,,-60,,,,,
递延所得税资产减少(万元),-76,-34,,-18,,,,,
递延所得税负债增加(万元),201,2,,,,,,,
存货的减少(万元),2890,836,,-1634,,,,,
经营性应收项目的减少(万元),-613,-1071,,-5434,,,,,
经营性应付项目的增加(万元),-4738,-1611,,912,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),9537,5018,,4015,,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),21468,17466,13740,10574,10385,9608,2669,13607,
现金的期初余额(万元),13740,13740,9608,9608,9608,2669,13607,12932,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),7728,3726,4131,966,777,6939,-10938,676,

