报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),83611,52645,30993,121981,79771,42482,15817,82244,42680,26300,13643,63390,35609,24143,10298,55271,33994,21164,10469,52441,8210,35205,29701,20049,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),194,166,51,89,59,53,44,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),6471,3704,2086,12712,8700,5064,2607,5935,4496,3161,1432,12487,10025,6745,3033,13609,10337,6795,2917,14946,2701,13467,12791,10066,
经营活动现金流入小计(万元),90275,56515,33130,134782,88531,47599,18469,88179,47176,29461,15075,75878,45634,30888,13331,68880,44331,27959,13387,67388,10911,48672,42491,30115,
购买商品、接受劳务支付的现金(万元),75737,57535,38308,82048,66290,42193,22002,48724,35724,25833,17151,38254,29835,18836,11064,29448,22816,15668,10261,23810,6930,15915,15935,8223,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),18569,13287,7335,25640,18876,12367,6204,20854,15480,10318,5261,19911,14437,8893,4727,16808,12427,8427,4581,15904,3846,14343,9388,5246,
支付的各项税费(万元),4709,3691,1713,7770,5719,3814,2263,5695,2957,1865,1241,5173,4226,2605,1066,3275,2152,1454,837,2645,549,2149,2356,2352,
支付的其他与经营活动有关的现金(万元),12215,8266,4787,14449,10702,6422,2658,9091,7401,5058,3216,17075,13380,9015,4549,15798,12712,7723,3533,18876,3635,19111,13223,12682,
经营活动现金流出小计(万元),111231,82779,52143,129907,101588,64795,33128,84364,61562,43074,26869,80412,61877,39350,21406,65329,50107,33272,19212,61235,14960,51518,40902,28503,
经营活动产生的现金流量净额(万元),-20956,-26264,-19013,4876,-13058,-17197,-14659,3815,-14386,-13613,-11794,-4534,-16243,-8461,-8075,3551,-5776,-5313,-5825,6153,-4049,-2846,1590,1612,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,30,,,,0,,,,10,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),43,42,1,17,7,0,1,7,0,0,0,0,0,0,0,3,0,0,,16,2,,0,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,126,
收到的其他与投资活动有关的现金(万元),,,,4800,,,,0,,,,4000,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),43,42,1,4847,7,0,1,7,0,0,0,4011,0,0,0,3,0,0,0,16,2,0,0,126,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1690,1531,1093,1205,1016,843,306,1280,1008,814,231,1736,1345,911,135,307,221,166,51,658,121,1471,1208,756,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),2169,2169,2169,28723,27723,23579,23405,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),0,,,5300,2500,,,0,,,,4000,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),3859,3700,3262,35228,31239,24422,23711,1280,1008,814,231,5736,1345,911,135,307,221,166,51,658,121,1471,1208,756,
投资活动产生的现金流量净额(万元),-3816,-3658,-3261,-30381,-31232,-24422,-23709,-1273,-1007,-814,-231,-1725,-1345,-911,-134,-303,-221,-166,-51,-643,-120,-1471,-1208,-630,
吸收投资收到的现金(万元),735,735,735,,,,,0,,,,22130,22130,,,520,520,520,,,,,,4000,
其中：子公司吸收少数股东投资收到的现金(万元),735,735,735,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),54391,42341,22401,62880,54300,45800,26300,17880,15380,7580,6580,15093,14593,9593,6593,12790,11800,7210,4460,12875,3459,10300,3500,2100,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),2208,1987,631,4655,3400,2329,,2126,1601,1035,540,1322,1242,796,362,785,319,240,80,310,24,303,,11,
筹资活动现金流入小计(万元),57334,45063,23767,67535,57700,48129,26300,20006,16981,8615,7120,38545,37965,10389,6955,14095,12639,7970,4540,13185,3483,10603,3500,6111,
偿还债务支付的现金(万元),48654,33424,15014,25315,15685,14722,6200,16093,13613,7613,5613,10620,10620,4560,3560,13434,12682,7194,5845,12401,4690,5590,1800,1050,
分配股利、利润或偿付利息所支付的现金(万元),4448,3470,914,3448,2606,1835,265,1644,1458,1291,163,639,483,310,1036,1474,1326,1181,154,977,143,1036,219,2733,
其中：子公司支付给少数股东的股利、利润(万元),490,490,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1868,1823,1964,6793,3555,3079,1967,3287,2471,2182,1299,3023,1916,1293,730,1373,873,487,144,864,5,614,306,,
筹资活动现金流出小计(万元),54970,38717,17892,35556,21846,19635,8432,21024,17542,11086,7076,14282,13019,6163,5326,16281,14881,8862,6142,14241,4838,7239,2325,3783,
筹资活动产生的现金流量净额(万元),2363,6346,5874,31979,35853,28493,17868,-1019,-561,-2472,44,24263,24946,4226,1629,-2186,-2242,-892,-1602,-1056,-1355,3364,1175,2328,
汇率变动对现金及现金等价物的影响(万元),1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-22408,-23576,-16400,6475,-8436,-13125,-20500,1523,-15955,-16898,-11981,18003,7358,-5147,-6580,1062,-8239,-6371,-7479,4454,-5524,-953,1557,3310,
加:期初现金及现金等价物余额(万元),38540,38540,38540,32066,32066,32066,32096,30543,30543,30543,30543,12540,12540,12540,12540,11478,11478,11478,11478,7024,7024,7977,6421,3111,
期末现金及现金等价物余额(万元),16132,14964,22140,38540,23629,18941,11596,32066,14588,13644,18562,30543,19898,7393,5959,12540,3239,5106,3999,11478,1500,7024,7977,6421,
