报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),46617,32392,60704,45692,59670,30660,51211,55964,51836,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,
收到的其他与经营活动有关的现金(万元),626,247,1096,804,485,227,365,672,317,
经营活动现金流入小计(万元),47243,32640,61800,46496,60154,30887,51576,56636,52154,
购买商品、接受劳务支付的现金(万元),33246,23217,42450,31797,40965,20781,35475,39816,33541,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5208,3583,6931,5125,6958,3481,5967,4824,3578,
支付的各项税费(万元),4345,3714,6609,5134,6772,3386,6494,5371,7362,
支付的其他与经营活动有关的现金(万元),2318,1692,2612,1541,2264,1215,3931,1685,1506,
经营活动现金流出小计(万元),45118,32206,58602,43596,56959,28863,51867,51696,45988,
经营活动产生的现金流量净额(万元),2125,433,3198,2900,3195,2024,-291,4940,6165,
收回投资所收到的现金(万元),,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,1,118,99,397,225,11,23,91,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,360,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),2,1,118,99,397,225,371,23,91,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1482,670,2292,1702,4186,3953,404,926,915,
投资所支付的现金(万元),,,,,,,,1210,,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,-71,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),1482,670,2292,1702,4186,3953,404,2065,915,
投资活动产生的现金流量净额(万元),-1480,-669,-2175,-1602,-3789,-3727,-33,-2041,-824,
吸收投资收到的现金(万元),,,,,,,5431,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),,,,,,,1500,1900,200,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),50,50,,,,,428,265,,
筹资活动现金流入小计(万元),50,50,0,0,0,0,7359,2165,200,
偿还债务支付的现金(万元),,,,,1500,,200,1900,400,
分配股利、利润或偿付利息所支付的现金(万元),15,15,2000,2000,1534,1526,3722,1604,3243,
其中：子公司支付给少数股东的股利、利润(万元),15,15,,,,,1847,1422,2859,
支付其他与筹资活动有关的现金(万元),,,581,581,246,246,,,,
筹资活动现金流出小计(万元),15,15,2581,2581,3281,1773,3922,3504,3643,
筹资活动产生的现金流量净额(万元),35,35,-2581,-2581,-3281,-1773,3436,-1339,-3443,
汇率变动对现金及现金等价物的影响(万元),39,-1,-36,-27,-52,-14,156,145,10,
