报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),28024,15981,7852,26869,19468,13069,5812,22803,15600,9510,4627,17646,12748,8784,3511,13672,6648,11159,8841,7779,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),791,659,120,535,335,194,14,270,270,99,106,118,150,39,52,193,95,,35,75,
收到的其他与经营活动有关的现金(万元),2250,524,199,2798,873,405,339,1222,980,608,105,1093,527,386,38,848,157,528,749,1070,
经营活动现金流入小计(万元),31065,17164,8170,30202,20675,13668,6164,24295,16850,10217,4837,18857,13425,9209,3601,14712,6900,11687,9625,8924,
购买商品、接受劳务支付的现金(万元),12580,8221,3876,16280,11196,6802,2864,10894,8575,5280,2128,7285,5836,3482,1117,5883,3293,5350,3682,4070,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7607,5415,2825,7393,5179,3574,1612,5331,3796,2627,1329,4061,2932,1964,896,3273,1596,2540,2188,1868,
支付的各项税费(万元),1418,744,385,1930,1501,850,381,2072,1293,900,573,2064,1552,948,803,1229,527,875,458,316,
支付的其他与经营活动有关的现金(万元),2384,1478,622,1667,1395,792,393,1284,908,688,364,1233,749,538,285,1164,387,911,1372,1385,
经营活动现金流出小计(万元),23989,15858,7708,27270,19271,12018,5249,19581,14572,9494,4393,14643,11070,6931,3102,11550,5802,9676,7699,7639,
经营活动产生的现金流量净额(万元),7076,1306,461,2932,1405,1650,915,4714,2278,723,444,4214,2355,2278,499,3162,1098,2011,1926,1286,
