报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),149558,108369,56681,198340,134094,78306,33815,177229,132895,65067,42191,140181,164386,76206,160665,102401,94822,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,2,2,0,,14,,,,,,
收到的其他与经营活动有关的现金(万元),41272,26461,14140,75091,64743,41585,17479,77998,28820,14751,6683,17370,48028,28112,61043,64098,58822,
经营活动现金流入小计(万元),190830,134830,70821,273431,198837,119891,51294,255230,161717,79818,48874,157565,212414,104319,221709,166499,153644,
购买商品、接受劳务支付的现金(万元),147272,100834,53083,188634,135589,72543,44500,163106,131911,63700,42782,127497,142112,70401,143156,87283,80953,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),3589,2593,1508,4698,3395,2547,1704,3657,2815,2053,1416,3442,2951,1523,2791,2866,2209,
支付的各项税费(万元),3160,2629,1453,3855,3375,2531,1097,5239,4311,3014,1728,3901,5128,2353,4749,5367,3422,
支付的其他与经营活动有关的现金(万元),37769,26695,15158,88479,76439,49017,20259,78886,31212,13632,8131,18781,51386,30201,60903,68069,61211,
经营活动现金流出小计(万元),191791,132751,71203,285667,218798,126637,67560,250887,170248,82399,54058,153622,201577,104478,211599,163585,147795,
经营活动产生的现金流量净额(万元),-960,2079,-381,-12235,-19961,-6746,-16266,4342,-8532,-2581,-5183,3944,10837,-159,10109,2914,5849,
收回投资所收到的现金(万元),23700,17000,12000,18000,15000,,,,,,,,,,,18580,2128,
取得投资收益所收到的现金(万元),225,126,54,307,249,,,1450,1450,1450,,,290,,290,1250,1079,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),23,22,3,16,5,2,,24,24,14,3,17,868,812,35,30,50,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,380,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),23948,17148,12057,18323,15254,2,0,1474,1474,1464,3,17,1158,812,325,19860,3638,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),10811,6032,1338,2912,2638,2521,1632,2257,685,406,195,761,1652,1151,1668,1166,1463,
投资所支付的现金(万元),14700,10000,5000,30014,18014,15000,,750,750,300,240,,,,,,11847,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),1,0,,,,,,,,,,,,,,20,500,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),25512,16032,6338,32926,20653,17521,1632,3007,1435,706,435,761,1652,1151,1668,1185,13811,
投资活动产生的现金流量净额(万元),-1564,1116,5719,-14603,-5399,-17519,-1632,-1533,39,758,-432,-743,-494,-339,-1343,18675,-10173,
吸收投资收到的现金(万元),360,350,,50,,,,34882,100,100,100,145,5,5,,6922,6300,
其中：子公司吸收少数股东投资收到的现金(万元),360,350,,50,,,,100,100,100,100,145,5,5,,,,
取得借款收到的现金(万元),20081,7900,5000,25132,16833,14833,2651,9000,9000,7000,3000,5000,6000,,14000,6000,4000,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),20441,8250,5000,25182,16833,14833,2651,43882,9100,7100,3100,5145,6005,5,14000,12922,10300,
偿还债务支付的现金(万元),18901,12936,11436,22401,14601,11643,7643,5000,5000,5000,,6000,7000,1000,13000,4000,2000,
分配股利、利润或偿付利息所支付的现金(万元),3741,3618,106,4771,4543,4347,98,4590,4445,3997,3572,4229,4643,4423,4936,18462,5103,
其中：子公司支付给少数股东的股利、利润(万元),160,160,,398,200,200,,300,300,300,,447,209,209,920,3132,4884,
支付其他与筹资活动有关的现金(万元),,,,1376,1376,1376,726,2942,,,,,,,,12500,,
筹资活动现金流出小计(万元),22642,16554,11542,28548,20520,17367,8468,12532,9445,8997,3572,10229,11643,5423,17936,34962,7103,
筹资活动产生的现金流量净额(万元),-2201,-8304,-6542,-3367,-3687,-2534,-5817,31350,-345,-1897,-472,-5084,-5638,-5418,-3936,-22040,3197,
汇率变动对现金及现金等价物的影响(万元),30,-46,-80,-64,221,104,-61,-189,-149,-95,-26,323,151,-65,127,-7,-5,
现金及现金等价物净增加额(万元),-4696,-5156,-1284,-30269,-28825,-26695,-23776,33970,-8986,-3814,-6114,-1561,4856,-5980,4957,-459,-1132,
加:期初现金及现金等价物余额(万元),22290,22290,22290,52559,52559,52559,52559,18589,18589,18589,18589,20150,15294,15294,10337,10796,11928,
期末现金及现金等价物余额(万元),17594,17134,21006,22290,23734,25864,28782,52559,9603,14775,12475,18589,20150,9314,15294,10337,10796,
净利润(万元),,1595,,4296,,3890,,8150,,3673,,6453,8678,4735,8151,7019,5882,
少数股东损益(万元),,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,
资产减值准备(万元),,462,,2169,,-179,,620,,500,,51,94,211,62,105,157,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,832,,1672,,788,,1425,,697,,1415,1391,708,1404,1372,1298,
