报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),76029,65442,26839,131777,81625,55614,16352,177125,116915,106544,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),1425,840,338,1969,3426,870,630,3131,2397,277,
收到的其他与经营活动有关的现金(万元),7034,6652,597,25902,24547,22562,14080,14255,15269,58047,
经营活动现金流入小计(万元),84489,72933,27774,159648,109598,79046,31062,194512,134582,164869,
购买商品、接受劳务支付的现金(万元),44961,30699,14083,96033,84905,56464,31594,93722,49860,72825,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20577,13000,6520,31104,22962,15396,7874,32178,29389,22550,
支付的各项税费(万元),10835,10227,7108,13203,11248,6757,4989,10071,8956,14266,
支付的其他与经营活动有关的现金(万元),20189,19572,2533,22887,16485,12384,4109,24729,39078,27335,
经营活动现金流出小计(万元),96562,73498,30244,163227,135600,91001,48565,160701,127283,136976,
经营活动产生的现金流量净额(万元),-12074,-564,-2470,-3579,-26002,-11955,-17503,33811,7299,27893,
收回投资所收到的现金(万元),,,,18500,18500,18500,18500,,7000,3600,
取得投资收益所收到的现金(万元),95,18,18,659,43,43,44,,213,64,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),106,4,,5,21,6,5,3,127,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),202,22,18,19164,18564,18549,18548,3,7340,3664,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),11397,7726,5044,11407,7306,4966,2965,6479,10930,7800,
投资所支付的现金(万元),74004,74004,3121,6175,6175,3426,3426,21808,7845,11689,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),85401,81729,8165,17582,13481,8393,6392,28287,18776,19489,
投资活动产生的现金流量净额(万元),-85199,-81707,-8146,1581,5084,10157,12157,-28284,-11436,-15826,
吸收投资收到的现金(万元),114227,114227,,,,,,25290,,408,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,300,,408,
取得借款收到的现金(万元),71656,52193,23997,83921,65035,39796,28117,50112,87216,93690,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,
筹资活动现金流入小计(万元),185883,166420,23997,83921,65035,39796,28117,75402,87216,94098,
偿还债务支付的现金(万元),89664,68332,14090,63974,51398,34833,17567,76271,75940,87334,
分配股利、利润或偿付利息所支付的现金(万元),2088,1602,969,3255,2359,1523,743,2768,4638,32441,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,,
筹资活动现金流出小计(万元),91752,69934,15059,67229,53756,36355,18309,79039,80578,119775,
筹资活动产生的现金流量净额(万元),94130,96486,8938,16693,11279,3441,9808,-3637,6638,-25677,
汇率变动对现金及现金等价物的影响(万元),75,-17,-54,40,78,-120,-86,27,-143,482,
现金及现金等价物净增加额(万元),-3067,14198,-1732,14734,-9561,1523,4375,1917,2358,-13127,
加:期初现金及现金等价物余额(万元),29718,29718,29718,14983,14983,14983,14983,13066,10709,23835,
期末现金及现金等价物余额(万元),26650,43916,27986,29718,5423,16506,19358,14983,13066,10709,
净利润(万元),,4304,,23390,,,,,,,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,58,,33,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,3283,,6394,,,,,,,
无形资产摊销(万元),,200,,355,,,,,,,
长期待摊费用摊销(万元),,98,,233,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,41,,1,,,,,,,
固定资产报废损失(万元),,30,,23,,,,,,,
公允价值变动损失(万元),,-95,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,
预计负债(万元),,,,,,,,,,,
财务费用(万元),,1619,,3184,,,,,,,
投资损失(万元),,1248,,952,,,,,,,
递延所得税资产减少(万元),,-209,,-1072,,,,,,,
递延所得税负债增加(万元),,,,,,,,,,,
存货的减少(万元),,1651,,12669,,,,,,,
经营性应收项目的减少(万元),,3701,,-47322,,,,,,,
经营性应付项目的增加(万元),,-16709,,-2551,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,
其他(万元),,,,,,,,,,,
经营活动产生现金流量净额(万元),,-564,,-3579,,,,,,,
债务转为资本(万元),,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,
现金的期末余额(万元),26650,43916,27986,29718,5423,16506,19358,14983,13066,10709,
现金的期初余额(万元),29718,29718,29718,14983,14983,14983,14983,13066,10709,23835,
现金等价物的期末余额(万元),,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,
现金及现金等价物的净增加额(万元),-3067,14198,-1732,14734,-9561,1523,4375,1917,2358,-13127,

