报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),109500,72370,37840,129588,98119,60845,28154,78454,33261,57932,28032,18510,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),0,0,0,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),3657,2410,288,1609,630,417,271,738,219,75,14,119,
经营活动现金流入小计(万元),113157,74781,38128,131197,98749,61263,28425,79193,33480,58007,28046,18629,
购买商品、接受劳务支付的现金(万元),81016,51399,19672,76617,59384,38964,17930,50588,21687,34341,15399,14015,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),19475,12288,5706,21167,15352,9693,4626,14008,6071,11081,7283,4874,
支付的各项税费(万元),5704,3747,1865,9556,7517,4888,2369,6885,3239,4941,1903,935,
支付的其他与经营活动有关的现金(万元),2302,1488,878,2663,2038,881,531,1933,568,1273,923,837,
经营活动现金流出小计(万元),108497,68922,28120,110003,84291,54426,25457,73413,31565,51636,25508,20661,
经营活动产生的现金流量净额(万元),4660,5859,10008,21194,14458,6837,2968,5779,1916,6371,2538,-2032,
收回投资所收到的现金(万元),,,,,,,,,,5,,280,
取得投资收益所收到的现金(万元),,,,,,,,,,0,,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),30,25,,7,6,4,,3,,0,,15,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,22,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),30,25,0,7,6,4,0,3,0,5,0,317,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9823,5416,1387,9560,6220,3359,1462,5678,1988,2470,1205,1897,
投资所支付的现金(万元),,,,,,,,,,5,,280,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,1,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),9823,5416,1387,9560,6220,3359,1462,5678,1988,2475,1205,2178,
投资活动产生的现金流量净额(万元),-9793,-5391,-1387,-9553,-6214,-3355,-1462,-5675,-1988,-2470,-1205,-1861,
吸收投资收到的现金(万元),,,,36024,,,,,,4950,4000,500,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),2600,,,1100,1100,,,1326,,1486,2206,1968,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),21398,16920,6364,360,301,301,1251,466,,921,1670,6374,
筹资活动现金流入小计(万元),23998,16920,6364,37484,1401,301,1251,1792,0,7357,7876,8842,
偿还债务支付的现金(万元),1100,1100,,1326,1326,,,897,897,2016,2049,1763,
分配股利、利润或偿付利息所支付的现金(万元),7299,7283,17,71,53,40,20,31,11,61,1283,86,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),21233,15177,6418,7505,2912,1588,,1640,929,2092,5695,3179,
筹资活动现金流出小计(万元),29632,23560,6435,8902,4292,1628,20,2568,1837,4170,9027,5029,
筹资活动产生的现金流量净额(万元),-5633,-6640,-70,28582,-2891,-1327,1231,-776,-1837,3187,-1151,3813,
汇率变动对现金及现金等价物的影响(万元),20,6,,20,19,9,-0,-0,-0,0,0,0,
现金及现金等价物净增加额(万元),-10746,-6166,8551,40243,5372,2163,2737,-671,-1909,7088,182,-79,
加:期初现金及现金等价物余额(万元),47043,47043,47043,6800,6800,6800,6800,7472,7472,383,201,280,
期末现金及现金等价物余额(万元),36297,40876,55594,47043,12172,8963,9537,6800,5562,7472,383,201,
净利润(万元),,6202,,16172,13763,8048,,9902,,5851,969,,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),,1349,,1447,1078,744,,785,,287,345,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1053,,1439,1023,645,,877,,619,457,,
无形资产摊销(万元),,21,,42,32,21,,33,,15,15,,
长期待摊费用摊销(万元),,144,,258,189,123,,163,,93,55,,
待摊费用的减少(万元),,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,10,,26,16,14,,210,,41,,,
固定资产报废损失(万元),,,,,,,,,,38,,,
公允价值变动损失(万元),,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,
财务费用(万元),,30,,269,252,200,,188,,396,370,,
投资损失(万元),,,,,,,,,,-0,,,
递延所得税资产减少(万元),,-7,,-200,-145,-94,,-73,,-29,-51,,
递延所得税负债增加(万元),,,,-0,-0,-0,,-0,,-0,0,,
存货的减少(万元),,-1912,,-4539,-3208,-4280,,-8463,,-1154,-3472,,
经营性应收项目的减少(万元),,-9086,,-23909,-17687,-6557,,-12407,,-3826,-3039,,
经营性应付项目的增加(万元),,7594,,29973,18742,8061,,15198,,3170,6069,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,
其他(万元),,462,,217,403,-88,,-634,,871,820,,
经营活动产生现金流量净额(万元),,5859,,21194,14458,6837,,5779,,6371,2538,,
债务转为资本(万元),,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,
现金的期末余额(万元),36297,40876,55594,47043,12172,8963,9537,6800,5562,7472,383,201,
现金的期初余额(万元),47043,47043,47043,6800,6800,6800,6800,7472,7472,383,201,280,
现金等价物的期末余额(万元),,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-10746,-6166,8551,40243,5372,2163,,-671,-1909,7088,182,-79,

