报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),22878,12062,5547,37539,22359,21041,8925,81702,29552,21318,4390,62083,33280,63175,56963,14920,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),181,107,,,,,,,,,,76,76,5,257,354,
收到的其他与经营活动有关的现金(万元),34112,23515,15821,49454,41386,29863,17147,62648,55937,36713,24453,45212,18465,34612,56,221,
经营活动现金流入小计(万元),57172,35684,21368,86992,63746,50903,26073,144351,85488,58031,28843,107371,51821,97792,57276,15495,
购买商品、接受劳务支付的现金(万元),19622,11587,7718,36103,34466,26131,9966,64332,48178,43092,30106,49581,27653,22011,45784,8566,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),2565,1847,1055,3768,2740,1771,1075,4645,3219,2636,1634,5257,2772,3408,2654,2030,
支付的各项税费(万元),847,808,463,9179,9177,7288,1750,5677,5141,3674,1792,6043,5525,762,180,90,
支付的其他与经营活动有关的现金(万元),22844,17304,7550,49943,33167,25573,15393,51142,39419,18193,4697,62166,30839,59409,1509,2211,
经营活动现金流出小计(万元),45879,31547,16786,98993,79550,60762,28184,125796,95958,67595,38230,123047,66789,85591,50127,12897,
经营活动产生的现金流量净额(万元),11293,4137,4582,-12000,-15804,-9859,-2112,18555,-10469,-9564,-9387,-15676,-14968,12202,7149,2598,
收回投资所收到的现金(万元),2675,2674,1,2,,,,,,,,4011,4011,,,,
取得投资收益所收到的现金(万元),108,107,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),36,,,5,5,5,5,,,,,22,15,22,838,355,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),1980,1455,,1726,1961,1279,643,91,,24,,,,80,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),4799,4236,1,1732,1966,1284,649,91,0,24,0,4033,4026,102,838,355,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),22601,16786,12861,47298,37539,25330,21518,35501,17916,10875,5018,19554,1240,5040,2143,5574,
投资所支付的现金(万元),6343,3993,642,20899,,,,,,,,,,4000,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),291,,,636,962,562,562,1157,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),29235,20779,13503,68832,38501,25892,22080,36658,17916,10875,5018,19554,1240,9040,2143,5574,
投资活动产生的现金流量净额(万元),-24435,-16542,-13502,-67100,-36535,-24608,-21431,-36567,-17916,-10851,-5018,-15521,2786,-8938,-1306,-5218,
吸收投资收到的现金(万元),,,,58089,39508,,,,,,,34450,34450,32275,,1650,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),56689,46629,27460,49040,48100,42100,23308,50030,40690,34550,14420,10545,9055,56373,47310,51609,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),614,614,300,978,1900,1900,1800,,,,,,,15570,3507,8976,
筹资活动现金流入小计(万元),57303,47243,27760,108107,89508,44000,25108,50030,40690,34550,14420,44995,43505,104218,50817,62235,
偿还债务支付的现金(万元),36355,29318,17268,21051,17406,11396,6504,22834,10818,9000,410,34690,31490,62658,47519,53880,
分配股利、利润或偿付利息所支付的现金(万元),8416,7148,992,3097,2365,1400,570,1221,867,440,133,294,248,2296,3449,3744,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1031,831,922,3970,4530,2298,1999,1115,907,772,283,1883,1259,18415,5171,1892,
筹资活动现金流出小计(万元),45802,37298,19182,28118,24301,15094,9073,25170,12592,10212,826,36867,32997,83370,56139,59516,
筹资活动产生的现金流量净额(万元),11501,9945,8578,79989,65207,28906,16035,24860,28098,24338,13594,8128,10508,20849,-5323,2719,
汇率变动对现金及现金等价物的影响(万元),18,14,4,-10,-10,-2,7,12,5,5,1,-36,0,3,,-33,
现金及现金等价物净增加额(万元),-1623,-2445,-338,879,12858,-5563,-7500,6860,-282,3928,-810,-23106,-1673,24115,521,66,
加:期初现金及现金等价物余额(万元),9390,9390,9390,8511,8511,8511,8511,1651,1651,1651,1651,24757,24757,642,121,55,
期末现金及现金等价物余额(万元),7767,6945,9052,9390,21369,2948,1011,8511,1369,5579,841,1651,23084,24757,642,121,
净利润(万元),,1316,,6616,,5308,,11638,,3451,,7760,2914,11971,1767,-5065,
少数股东损益(万元),,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,
资产减值准备(万元),,605,,1404,,872,,-264,,727,,866,812,2416,1032,48,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,6120,,10424,,4862,,6616,,3016,,4935,2355,4232,3623,3413,
无形资产摊销(万元),,48,,93,,45,,74,,32,,61,31,61,61,61,
长期待摊费用摊销(万元),,92,,147,,73,,132,,50,,59,21,4,4,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,0,,1,,1,,,,,,2,2,-14,1,2,
固定资产报废损失(万元),,0,,0,,,,,,,,,,,,,
公允价值变动损失(万元),,398,,-442,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,
财务费用(万元),,2205,,3142,,1312,,1407,,554,,494,321,2864,3416,3779,
投资损失(万元),,-119,,-0,,,,,,,,-11,-11,,,,
递延所得税资产减少(万元),,-239,,-408,,-194,,-92,,-157,,-223,-250,1243,419,-711,
递延所得税负债增加(万元),,-60,,66,,,,,,,,,,,,,
存货的减少(万元),,-7197,,-9535,,-17267,,-10518,,349,,5064,5979,-4766,-11477,400,
经营性应收项目的减少(万元),,5517,,-12181,,-4893,,16578,,-17867,,-22230,-15980,-45934,-12461,-1177,
经营性应付项目的增加(万元),,-4390,,-11326,,22,,-7293,,6,,-16207,-14915,40125,20772,1848,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,
其他(万元),,-159,,,,,,276,,276,,3754,3754,,-10,,
经营活动产生现金流量净额(万元),,4137,,-12000,,-9859,,18555,,-9564,,-15676,-14968,12202,7149,2598,
债务转为资本(万元),,,,,,,,,,,,,,4480,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,1018,,
现金的期末余额(万元),7767,6945,9052,9390,21369,2948,1011,8511,1369,5579,841,1651,23084,24757,642,121,
现金的期初余额(万元),9390,9390,9390,8511,8511,8511,8511,1651,1651,1651,1651,24757,24757,642,121,55,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,
