报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),90923,45649,22188,105345,77499,60878,99847,38725,53070,53256,51874,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),5510,5345,455,7820,1060,1054,4084,457,1138,214,597,
收到的其他与经营活动有关的现金(万元),8791,6117,5480,8329,2435,610,2004,307,1482,2627,320,
经营活动现金流入小计(万元),105224,57111,28123,121494,80993,62541,105935,39489,55690,56096,52790,
购买商品、接受劳务支付的现金(万元),73246,35318,17159,48135,51838,36019,34797,16143,23564,20755,27228,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),15149,10640,5935,19188,14745,10573,19112,9554,13514,10635,9722,
支付的各项税费(万元),9918,3822,1709,11665,10071,7192,9263,4727,5983,5193,3469,
支付的其他与经营活动有关的现金(万元),2130,1179,900,4173,2524,2424,5398,3900,3134,2090,1976,
经营活动现金流出小计(万元),100443,50959,25703,83161,79177,56209,68570,34323,46194,38674,42395,
经营活动产生的现金流量净额(万元),4781,6152,2420,38333,1816,6333,37364,5166,9496,17423,10396,
收回投资所收到的现金(万元),,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,6,6,,,,112,27,652,704,131,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,18859,18859,,5301,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),6,6,6,0,0,0,18971,18886,652,6005,131,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),24971,21794,17115,108410,87903,62481,82428,32389,43176,18386,8187,
投资所支付的现金(万元),,,,,,,500,,,34,,
质押贷款净增加额(万元),,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,9500,9500,9300,2000,3300,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),24971,21794,17115,108410,87903,62481,92428,41889,52476,20420,11487,
投资活动产生的现金流量净额(万元),-24965,-21787,-17109,-108410,-87903,-62481,-73458,-23004,-51824,-14415,-11356,
吸收投资收到的现金(万元),17575,,,,,,59900,,25020,5,10351,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,
取得借款收到的现金(万元),98925,70533,34744,162365,114828,72469,136453,58119,82564,43933,46861,
发行债券收到的现金(万元),,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),41653,39776,13261,61103,50760,30264,18353,16736,24374,7173,3331,
筹资活动现金流入小计(万元),158152,110309,48005,223468,165588,102733,214706,74856,131959,51111,60543,
偿还债务支付的现金(万元),106754,60338,26998,97140,50337,30033,93217,38719,58561,46984,48945,
分配股利、利润或偿付利息所支付的现金(万元),8224,6430,1990,13090,11205,9054,9388,1597,7282,4690,2992,
其中：子公司支付给少数股东的股利、利润(万元),278,278,,,639,639,,,,,,
支付其他与筹资活动有关的现金(万元),8205,6994,4174,74087,57558,45536,20302,19900,9253,9882,2423,
筹资活动现金流出小计(万元),123182,73762,33162,184317,119100,84624,122908,60216,75097,61557,54361,
筹资活动产生的现金流量净额(万元),34970,36547,14844,39152,46487,18110,91798,14639,56862,-10446,6182,
汇率变动对现金及现金等价物的影响(万元),-11,-33,13,-485,-264,132,37,-11,-92,111,113,
现金及现金等价物净增加额(万元),14775,20879,168,-31411,-39864,-37906,55742,-3209,14442,-7328,5336,
加:期初现金及现金等价物余额(万元),47951,47951,47951,79362,79362,79362,23620,23620,9178,16506,11170,
期末现金及现金等价物余额(万元),62727,68831,48119,47951,39498,41456,79362,20411,23620,9178,16506,
净利润(万元),,8604,3813,15120,,9273,20898,6644,10830,6574,5401,
少数股东损益(万元),,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,
资产减值准备(万元),,3330,1782,4613,,2006,3279,2174,2443,2219,665,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,10949,5388,15831,,6623,10780,4809,8047,7135,6035,
无形资产摊销(万元),,166,83,295,,138,221,102,142,67,63,
长期待摊费用摊销(万元),,131,25,138,,38,70,31,39,2,,
待摊费用的减少(万元),,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-4,-4,,,,-4,-20,-184,-369,-65,
固定资产报废损失(万元),,0,,17,,,12,,33,,,
公允价值变动损失(万元),,,,,,-19,19,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,
财务费用(万元),,4254,2108,8512,,3355,4879,1952,3752,2079,2439,
投资损失(万元),,,,-10,,11,-40,-51,-8,-1,,
递延所得税资产减少(万元),,-1591,-1468,-1486,,-971,-1269,-597,-216,-176,141,
递延所得税负债增加(万元),,,,,,,,,,,,
存货的减少(万元),,-9963,-5348,-15732,,-10351,-8002,-4227,-1904,3309,-6188,
经营性应收项目的减少(万元),,-7751,-7630,-39903,,-10146,-4684,-7566,-18666,-4758,3950,
经营性应付项目的增加(万元),,-866,3947,52280,,6875,13296,3152,7367,3038,-717,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,
其他(万元),,-1232,-559,-1890,,-837,-2090,-1236,-2180,-1697,-1328,
经营活动产生现金流量净额(万元),,6152,2420,38333,,6333,37364,5166,9496,17423,10396,
债务转为资本(万元),,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,
现金的期末余额(万元),62727,68831,48119,47951,39498,41456,79362,20411,23620,9178,16506,
现金的期初余额(万元),47951,47951,47951,79362,79362,79362,23620,23620,9178,16506,11170,
现金等价物的期末余额(万元),,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,
现金及现金等价物的净增加额(万元),14775,20879,168,-31411,-39864,-37906,55742,-3209,14442,-7328,5336,

