报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),1254102,786439,1787868,1305736,820243,1363689,943829,526436,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),152,152,156,156,156,370,25,5,
收到的其他与经营活动有关的现金(万元),16228,13124,7632,5255,5375,5386,7083,5335,
经营活动现金流入小计(万元),1270482,799715,1795656,1311146,825774,1369445,950936,531777,
购买商品、接受劳务支付的现金(万元),1187903,743938,1656160,1204701,767569,1281046,897594,480886,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),12763,8521,15315,11146,7466,12581,10329,5862,
支付的各项税费(万元),16765,12406,20301,12532,8163,14615,9550,5894,
支付的其他与经营活动有关的现金(万元),25655,20651,22326,19251,12156,14886,14538,12649,
经营活动现金流出小计(万元),1243086,785515,1714102,1247630,795354,1323128,932011,505292,
经营活动产生的现金流量净额(万元),27396,14200,81554,63517,30419,46317,18925,26485,
收回投资所收到的现金(万元),69904,63942,29190,158879,18327,11652,10899,7064,
取得投资收益所收到的现金(万元),48,18,,,,,,85,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16,11,13,12,11,21,43,78,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
