报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),42458,25949,13897,48456,39743,23470,11049,40698,26942,18669,9189,39070,29129,27459,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),11,,,101,47,101,91,70,41,41,9,73,126,136,
收到的其他与经营活动有关的现金(万元),2759,1959,744,2301,1885,1165,545,1767,1842,1267,1010,774,1204,743,
经营活动现金流入小计(万元),45228,27907,14641,50859,41676,24736,11684,42535,28825,19977,10208,39917,30459,28338,
购买商品、接受劳务支付的现金(万元),20361,9623,4079,22824,20570,11108,5079,21025,13566,9511,3413,15928,13846,17213,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6387,4913,2560,9387,6729,4280,2302,7607,5677,3752,1897,6909,6210,4926,
支付的各项税费(万元),2201,1529,972,3944,2626,1973,1096,4078,2549,1727,716,5000,2364,1467,
支付的其他与经营活动有关的现金(万元),4686,2924,1932,4274,3391,1817,1533,3576,2876,1597,1058,3557,3189,3558,
经营活动现金流出小计(万元),33635,18989,9543,40429,33315,19178,10011,36285,24668,16588,7083,31394,25609,27164,
经营活动产生的现金流量净额(万元),11593,8919,5098,10430,8360,5558,1674,6249,4157,3390,3125,8523,4850,1174,
收回投资所收到的现金(万元),51276,37965,5718,37850,,200,200,,,,,1100,,,
取得投资收益所收到的现金(万元),356,340,63,282,15,1,0,4,3,2,1,78,53,8,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,5,3,42,108,,,2,3,2,2,22,7,10,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),14250,12800,1000,,2700,,,5,,,,2266,1692,1296,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),65887,51111,6784,38174,2824,201,200,11,6,4,2,3466,1752,1313,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6633,5050,2292,2923,1335,852,213,4241,3102,3054,2303,1751,3442,1190,
投资所支付的现金(万元),32564,21809,6785,60193,,,300,200,,,1000,,1100,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),3250,1800,,11096,37000,,,,,,,1313,1919,1850,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),42447,28660,9077,74213,38335,852,513,4441,3102,3054,3303,3064,6461,3039,
投资活动产生的现金流量净额(万元),23440,22451,-2293,-36039,-35511,-650,-313,-4431,-3097,-3050,-3301,402,-4709,-1726,
吸收投资收到的现金(万元),,,,41424,39500,,,,,,,10223,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,
