报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),688761,437826,189006,708096,474603,314105,117019,540454,369230,260396,101357,450246,314618,200655,325299,306927,210183,125161,79415,37133,215535,154351,,121533,114846,85482,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),14921,9775,5420,20586,14732,7377,5714,11631,10380,6307,2884,3774,3746,1096,5577,8765,7546,6947,6796,1715,3662,3344,,1265,369,588,
收到的其他与经营活动有关的现金(万元),5050,3494,585,7399,3603,1361,1389,12863,5494,4209,1896,6619,5120,4399,7716,8294,9154,10739,8796,3126,13495,2509,,8951,2825,3190,
经营活动现金流入小计(万元),708731,451095,195011,736081,492938,322842,124121,564948,385104,270913,106138,460639,323483,206150,338592,323986,226883,142847,95006,41974,232693,160204,102100,131749,118040,89259,
购买商品、接受劳务支付的现金(万元),470945,301046,134516,475900,334603,204689,87638,337084,244800,149251,71234,272379,189537,121254,180809,178189,92550,73785,50713,30924,157485,113427,,73992,74522,51062,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),110579,73737,39474,125745,88150,59254,31784,104448,74500,50762,28218,84960,63514,43999,74937,65637,49760,26514,16083,3143,31346,21480,,20996,16425,15252,
支付的各项税费(万元),24557,16974,9908,22802,15975,11634,3729,12433,8550,5097,2573,12136,9041,6791,9974,10898,7839,4427,4560,2413,14212,11276,,7166,7056,5700,
支付的其他与经营活动有关的现金(万元),18204,12270,4997,23721,17197,10325,5604,21383,12807,8370,5977,10940,9355,6498,15590,22314,21963,17916,7840,6578,20865,9633,,6265,3331,1375,
经营活动现金流出小计(万元),624286,404027,188895,648167,455925,285904,128756,475348,340658,213480,108002,380415,271448,178543,281310,277039,172111,122642,79196,43059,223908,155816,100700,108419,101334,73389,
经营活动产生的现金流量净额(万元),84446,47068,6116,87913,37014,36939,-4635,89600,44445,57432,-1865,80224,52035,27607,57282,46947,54772,20205,15810,-1084,8784,4388,1388,23330,16705,15871,
收回投资所收到的现金(万元),,,,,,,,0,,,,,,,,,4500,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,0,,,,,,,,194,42,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),890,465,161,329,192,10,6,113,45,45,,89,88,65,625,5,7,,,,,,,,157,2,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,0,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),27564,27564,24558,120998,81190,29526,,0,,,,,,,,1342,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),28454,28028,24719,121327,81382,29536,6,113,45,45,0,89,88,65,625,1541,4549,0,0,0,0,,,0,157,2,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),150325,88497,39839,118430,79719,48528,30638,53207,34668,22876,8576,48863,41572,33912,86182,85111,44017,15951,10954,7048,33484,26021,,23020,11780,21421,
投资所支付的现金(万元),300,300,,,,,,0,,,,,,,29044,,,1700,300,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),10000,10000,10000,137266,115866,77000,38000,,,,,137,,,,1322,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),160625,98797,49839,255696,195585,125528,68638,53207,34668,22876,8576,49000,41572,33912,115226,86433,44017,17651,11254,7048,33484,26021,-19630,23020,11780,21421,
投资活动产生的现金流量净额(万元),-132171,-70768,-25120,-134369,-114202,-95991,-68632,-53094,-34623,-22831,-8576,-48911,-41484,-33846,-114600,-84892,-39468,-17651,-11254,-7048,-33484,-26021,-19630,-23020,-11623,-21420,
吸收投资收到的现金(万元),12984,12984,12984,0,,,,128496,,,,,,,,21723,,,,,,,,4831,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,0,,,,,,,,21723,,,,,,,,,,,
