报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),38643,24990,12139,64420,47242,28908,10188,50260,34268,22901,7484,43790,31523,21020,6928,39257,34805,25744,32433,29705,25805,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),561,549,160,361,334,146,103,469,451,240,45,75,47,44,44,102,195,195,193,155,490,
收到的其他与经营活动有关的现金(万元),736,903,782,1123,240,336,63,2303,412,209,102,548,306,185,371,483,326,255,334,336,121,
经营活动现金流入小计(万元),39940,26443,13082,65904,47816,29390,10355,53032,35131,23350,7631,44414,31877,21249,7342,39843,35327,26195,32960,30195,26416,
购买商品、接受劳务支付的现金(万元),25275,18415,8107,46776,33841,21945,8125,41593,27931,19416,6876,29644,20270,13772,4901,26835,26940,21487,25054,24329,22538,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6961,4557,2030,7335,5221,3340,1527,5565,4076,2826,1499,4502,3383,2360,1262,3570,3045,2337,2615,1916,1248,
支付的各项税费(万元),1778,1341,712,2855,2265,1508,1082,1691,1518,1347,964,2160,1743,1131,441,1641,1442,1091,935,570,648,
支付的其他与经营活动有关的现金(万元),3887,2580,1087,4729,3835,2474,1109,4613,3230,2014,1033,3296,2345,1699,857,2959,1970,1449,2135,1888,2299,
经营活动现金流出小计(万元),37901,26893,11936,61695,45162,29269,11842,53461,36756,25603,10372,39603,27742,18962,7461,35005,33398,26364,30739,28703,26733,
经营活动产生的现金流量净额(万元),2039,-450,1146,4209,2653,121,-1487,-429,-1625,-2254,-2741,4810,4135,2287,-119,4837,1929,-170,2221,1493,-317,
收回投资所收到的现金(万元),6311,5407,280,8995,2821,4846,355,11600,13900,4000,,4150,1000,1000,,1500,,,,,1300,
取得投资收益所收到的现金(万元),55,36,2,173,120,105,21,185,65,14,,13,2,2,2,29,,,,,9,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),90,10,25,58,41,30,1,41,30,30,12,96,91,21,,53,18,26,123,20,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,1000,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),6455,5453,307,9226,2981,4981,377,11826,13995,4044,12,4258,1094,1023,1002,1582,18,26,123,20,1309,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4988,2552,2085,11655,9675,4916,824,21458,12356,8774,624,3256,2826,1495,429,2125,1454,1259,2285,2550,3067,
投资所支付的现金(万元),9084,8784,2807,3218,51,,,17500,19900,10900,,3150,1300,,,2500,,,,,2454,
质押贷款净增加额(万元),,,,0,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),2930,477,,2782,2782,2782,2782,1271,,,,,,,,,,,,,1530,
支付的其他与投资活动有关的现金(万元),,,500,19,,,,47,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),17002,11814,5392,17674,12508,7699,3606,40276,32256,19674,624,6406,4126,1495,429,4625,1454,1259,2285,2550,7050,
投资活动产生的现金流量净额(万元),-10547,-6361,-5086,-8448,-9528,-2718,-3229,-28450,-18261,-15629,-612,-2147,-3033,-472,573,-3043,-1437,-1232,-2162,-2530,-5742,
吸收投资收到的现金(万元),,,,,,,,23449,24135,24135,24135,,,,,,,,,,6709,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),16865,14625,11556,35551,27462,17494,4411,16288,4572,2728,1868,12716,10527,7277,4900,5121,4688,3388,5056,4595,1750,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),61,,61,,349,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),16926,14625,11617,35551,27811,17494,4411,39736,28707,26863,26003,12716,10527,7277,4900,5121,4688,3388,5056,4595,8459,
偿还债务支付的现金(万元),11336,10775,10068,24269,17679,8915,731,11306,8921,7821,5140,10627,9127,6127,4600,4559,3880,2305,4522,3300,2100,
分配股利、利润或偿付利息所支付的现金(万元),2757,2278,304,2162,1927,1775,146,1799,1740,1728,64,255,189,114,62,220,259,191,158,133,90,
其中：子公司支付给少数股东的股利、利润(万元),102,,,102,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),150,,150,,,,,,931,931,576,,,,75,,,,,,,
筹资活动现金流出小计(万元),14243,13053,10521,26431,19606,10690,877,13106,11592,10480,5780,10881,9315,6241,4737,4778,4139,2495,4680,3433,2190,
筹资活动产生的现金流量净额(万元),2683,1572,1096,9120,8205,6803,3534,26630,17115,16383,20223,1835,1211,1036,163,342,549,893,377,1162,6268,
汇率变动对现金及现金等价物的影响(万元),15,32,-17,-97,-132,-27,-113,-241,-193,-103,-24,336,112,101,-29,178,14,18,-81,-28,-0,
现金及现金等价物净增加额(万元),-5809,-5207,-2861,4783,1199,4179,-1295,-2490,-2964,-1603,16845,4834,2426,2952,588,2314,1055,-492,355,97,209,
加:期初现金及现金等价物余额(万元),11565,11565,11565,6782,6782,6782,6782,9271,9271,9271,9271,4438,4438,4438,4438,2124,1069,1069,714,617,408,
期末现金及现金等价物余额(万元),5756,6358,8704,11565,7981,10961,5487,6782,6308,7669,26117,9271,6863,7390,5026,4438,2124,577,1069,714,617,
净利润(万元),,1201,,3821,,2023,,3063,,841,,5360,,2704,,5027,3862,,3295,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,112,,760,,361,,349,,38,,326,,58,,94,135,,229,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1442,,1759,,779,,1316,,611,,1153,,556,,1054,979,,721,,,
无形资产摊销(万元),,150,,300,,136,,106,,54,,93,,45,,62,51,,56,,,
长期待摊费用摊销(万元),,59,,101,,53,,111,,64,,75,,21,,,1,,3,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,208,,-34,,-17,,-27,,-25,,-23,,-17,,-6,44,,-1,,,
固定资产报废损失(万元),,,,65,,3,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,512,,650,,267,,428,,210,,-79,,18,,46,248,,240,,,
投资损失(万元),,-36,,-173,,-105,,-185,,-14,,-13,,-2,,-29,,,,,,
递延所得税资产减少(万元),,-110,,-227,,-64,,-393,,1,,-3,,2,,2,6,,-37,,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-3829,,-2670,,-2333,,-2173,,-2035,,-569,,-669,,238,473,,-2287,,,
经营性应收项目的减少(万元),,-1200,,-2386,,-726,,-3804,,-334,,-2834,,-448,,-1965,-2834,,-1672,,,
经营性应付项目的增加(万元),,1041,,2243,,-257,,779,,-1665,,1323,,21,,315,-1036,,1675,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-450,,4209,,121,,-429,,-2254,,4810,,2287,,4837,1929,,2221,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),5756,6358,8704,11565,7981,10961,5487,6782,6308,7669,26117,9271,6863,7390,5026,4438,2124,577,1069,714,617,
