报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),34151,21121,13228,42778,26182,14363,10717,35554,21884,12873,7568,35635,22769,15200,34027,32385,32916,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,50,22,,22,,14,14,,98,98,,22,,100,
收到的其他与经营活动有关的现金(万元),304,175,452,340,1329,286,621,1529,324,307,579,355,121,113,331,254,131,
经营活动现金流入小计(万元),34455,21296,13680,43169,27534,14650,11361,37083,22222,13194,8147,36088,22989,15312,34381,32640,33147,
购买商品、接受劳务支付的现金(万元),16326,9958,7771,18608,13265,9284,7385,13332,9656,5902,4037,12918,10709,6100,11282,12592,15599,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),11906,10372,6875,14888,10361,9026,5755,12873,10236,7584,5340,11276,8219,6938,11076,9652,8684,
支付的各项税费(万元),3569,2782,1587,3556,2890,2007,1509,2953,2223,1513,1219,3103,2541,1624,3896,2666,3102,
支付的其他与经营活动有关的现金(万元),6603,3486,2589,5905,8808,2761,2988,4744,4008,2601,1346,3834,3113,2060,4573,3940,3270,
经营活动现金流出小计(万元),38404,26598,18823,42958,35324,23079,17636,33902,26124,17600,11942,31131,24581,16722,30828,28850,30655,
经营活动产生的现金流量净额(万元),-3949,-5303,-5143,211,-7790,-8429,-6275,3180,-3901,-4405,-3796,4957,-1593,-1410,3553,3789,2491,
收回投资所收到的现金(万元),32000,16000,,38500,29600,29600,14600,7000,7800,7010,5000,22770,15420,12920,5400,,,
取得投资收益所收到的现金(万元),167,117,,594,369,369,154,29,39,25,22,108,73,40,19,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,0,,6,6,6,,11,1,0,,8,7,3,1785,4,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),32167,16117,0,39100,29975,29975,14754,7040,7840,7035,5022,22886,15500,12963,7204,4,1,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3266,2101,1568,7365,4114,1522,795,3511,3028,2002,1096,4593,2231,1855,548,3758,639,
投资所支付的现金(万元),42945,26945,10000,25100,24600,24600,14100,20900,6700,6536,6136,24583,19830,16616,7326,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),1560,1560,,520,,,,,,,,56,56,56,,543,,
支付的其他与投资活动有关的现金(万元),,,,29,,,,236,,,,,,,50,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),47771,30606,11568,33014,28714,26122,14895,24646,9728,8538,7231,29233,22116,18527,7924,4302,639,
投资活动产生的现金流量净额(万元),-15604,-14489,-11568,6086,1262,3854,-141,-17607,-1888,-1503,-2209,-6347,-6616,-5564,-720,-4298,-639,
吸收投资收到的现金(万元),50,50,50,2536,2536,2536,,27335,27190,,,,,,3270,,,
其中：子公司吸收少数股东投资收到的现金(万元),50,50,50,,,,,145,,,,,,,,,,
取得借款收到的现金(万元),7500,2000,,,,,,475,475,475,475,100,100,100,2500,2500,300,
