报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),41795,25342,9786,38074,25907,14777,3456,22422,12056,9325,2586,17933,10211,6546,14776,9660,9739,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),729,427,176,956,658,437,232,1024,753,489,218,985,547,321,213,,,
收到的其他与经营活动有关的现金(万元),1700,816,1006,2896,560,450,1129,3314,3193,2995,248,6911,7671,6974,296,374,252,
经营活动现金流入小计(万元),44225,26585,10969,41927,27124,15664,4816,26760,16002,12810,3051,25829,18429,13841,15286,10035,9990,
购买商品、接受劳务支付的现金(万元),49426,23874,11486,51810,43370,27963,8322,27840,11373,8850,4676,10735,6138,5011,11939,4737,2120,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),2096,1404,922,2265,1650,1033,509,1766,1211,951,496,1735,1218,853,1148,1131,682,
支付的各项税费(万元),3022,1833,903,3473,2722,1975,826,4449,3800,2462,1681,3947,2685,2140,1607,655,402,
支付的其他与经营活动有关的现金(万元),2576,1224,1025,6779,10573,3814,348,1951,1796,409,330,1467,615,419,7481,787,1330,
经营活动现金流出小计(万元),57120,28335,14337,64327,58316,34785,10005,36005,18181,12672,7183,17884,10656,8424,22176,7310,4534,
经营活动产生的现金流量净额(万元),-12896,-1751,-3368,-22400,-31192,-19121,-5189,-9245,-2179,137,-4131,7946,7773,5417,-6890,2725,5456,
收回投资所收到的现金(万元),9440,,,17395,45135,40535,16094,28425,1530,1640,1100,,576,1200,,,,
取得投资收益所收到的现金(万元),31,1,1,178,188,186,130,104,14,13,10,21,62,9,59,3,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,0,,,,,,,33,,,958,,0,
处置子公司及其他营业单位收到的现金净额(万元),11,11,,,29,24,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),148,22,6,181,94,6,2,47,39,10,6,36,32,30,1047,306,14,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),9630,33,7,17754,45446,40750,16226,28576,1582,1663,1116,91,671,1239,2064,309,14,
