报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),120308,73713,145415,94253,54700,93296,65975,68422,73735,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),399,399,37,37,37,660,0,,,
收到的其他与经营活动有关的现金(万元),2526,1743,1536,996,799,621,978,563,245,
经营活动现金流入小计(万元),123233,75855,146988,95286,55535,94577,66954,68985,73980,
购买商品、接受劳务支付的现金(万元),84224,59682,78143,64457,47197,44701,19950,14076,19020,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),15103,10749,18782,14616,10273,16615,12171,13013,12652,
支付的各项税费(万元),9791,6904,11262,6925,4107,6894,6242,10553,7329,
支付的其他与经营活动有关的现金(万元),8559,5916,11591,9748,5686,9203,7926,8762,8693,
经营活动现金流出小计(万元),117677,83251,119779,95745,67262,77414,46288,46405,47694,
经营活动产生的现金流量净额(万元),5556,-7396,27209,-459,-11727,17164,20665,22580,26287,
收回投资所收到的现金(万元),,,,,,,20132,,,
取得投资收益所收到的现金(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),45,35,8,7,,101,,,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),40,40,80,50,350,,,1250,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),85,75,88,57,350,101,20132,1250,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4356,1200,12863,3837,4842,13099,6373,3360,6027,
投资所支付的现金(万元),55000,55000,,,,,20000,,,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),40,20,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),59396,56220,12863,3837,4842,13099,26373,3360,6027,
投资活动产生的现金流量净额(万元),-59310,-56145,-12776,-3780,-4492,-12997,-6241,-2110,-6027,
吸收投资收到的现金(万元),81978,81978,,,,,7000,30000,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,48600,26698,
筹资活动现金流入小计(万元),81978,81978,0,0,0,0,7000,78600,26698,
偿还债务支付的现金(万元),,,,,,,,,,
分配股利、利润或偿付利息所支付的现金(万元),,,,,,116,,5000,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1698,1179,106,58,58,175,,95486,41135,
筹资活动现金流出小计(万元),1698,1179,106,58,58,291,0,100486,41135,
筹资活动产生的现金流量净额(万元),80280,80799,-106,-58,-58,-291,7000,-21886,-14437,
汇率变动对现金及现金等价物的影响(万元),-1,5,1,4,2,-10,15,,,
现金及现金等价物净增加额(万元),26525,17263,14329,-4294,-16276,3866,21439,-1415,5823,
加:期初现金及现金等价物余额(万元),55033,55033,40704,40704,40704,36838,15399,16815,10992,
期末现金及现金等价物余额(万元),81558,72297,55033,36411,24428,40704,36838,15399,16815,
净利润(万元),,12057,21805,,9626,13368,9668,,,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,1514,1869,,1420,1243,1588,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2510,4669,,2221,3850,3413,,,
无形资产摊销(万元),,229,441,,216,387,308,,,
长期待摊费用摊销(万元),,45,89,,44,82,10,,,
待摊费用的减少(万元),,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,10,8,,,7,,,,
固定资产报废损失(万元),,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,
预计负债(万元),,,,,,,,,,
财务费用(万元),,,,,,116,,,,
投资损失(万元),,,,,,,-132,,,
递延所得税资产减少(万元),,-207,-241,,-193,-147,-193,,,
递延所得税负债增加(万元),,,,,,,,,,
存货的减少(万元),,3846,-4501,,-8316,-12879,-4078,,,
经营性应收项目的减少(万元),,-16094,-9156,,-15148,-15722,-1247,,,
经营性应付项目的增加(万元),,-11304,12228,,-1597,26859,10662,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,
其他(万元),,,,,,,668,,,
经营活动产生现金流量净额(万元),,-7396,27209,,-11727,17164,20665,,,
债务转为资本(万元),,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,
现金的期末余额(万元),81558,72297,55033,36411,24428,40704,36838,15399,16815,
现金的期初余额(万元),55033,55033,40704,40704,40704,36838,15399,16815,10992,
现金等价物的期末余额(万元),,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,
现金及现金等价物的净增加额(万元),26525,17263,14329,-4294,-16276,3866,21439,-1415,5823,

