报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),319454,234728,86606,368422,274505,196667,83509,366207,280854,184361,78673,336282,254739,328311,91215,299059,279854,242246,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),1111,716,156,814,377,198,198,1525,1531,893,718,1397,829,379,,2,,84,
收到的其他与经营活动有关的现金(万元),11710,10684,13649,15344,10017,11666,7841,9831,9786,9346,2379,11345,4604,36867,26228,44254,7090,22667,
经营活动现金流入小计(万元),332275,246128,100411,384580,284899,208531,91547,377564,292171,194599,81770,349024,260172,365557,117443,343316,286943,264998,
购买商品、接受劳务支付的现金(万元),341503,254665,96504,342210,283545,226787,99843,287857,236247,166203,62184,288737,243674,309178,91969,247603,231217,223684,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8630,6285,2150,10547,8357,6230,2879,9738,7648,5564,2750,8756,6863,9559,2931,8193,5782,3415,
支付的各项税费(万元),4075,2573,911,4439,3202,2597,836,5904,3413,2670,1182,4164,3462,4810,1423,3905,3541,2019,
支付的其他与经营活动有关的现金(万元),28496,21749,10314,20816,15385,9238,3326,22181,16848,7405,2677,32145,20824,67431,38184,79572,54371,24936,
经营活动现金流出小计(万元),382704,285272,109879,378011,310488,244852,106885,325681,264155,181842,68793,333803,274822,390979,134507,339274,294910,254054,
