报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),82003,56798,27688,87681,69930,39717,19795,92157,70608,48566,21666,75339,62634,41347,19609,69771,54508,33745,15891,66250,64465,60400,49995,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),859,384,244,751,751,613,182,803,636,496,216,270,351,221,,614,563,563,164,474,526,256,1051,
收到的其他与经营活动有关的现金(万元),1509,1117,470,2090,1421,772,627,1082,1585,642,127,896,909,525,241,765,421,234,163,631,1324,167,554,
经营活动现金流入小计(万元),84371,58299,28402,90522,72102,41102,20605,94042,72829,49705,22009,76506,63894,42092,19850,71150,55492,34542,16219,67355,66315,60823,51600,
购买商品、接受劳务支付的现金(万元),45913,30401,15173,48676,45389,26550,11468,44870,38029,25157,10509,35783,33371,21692,7281,32913,28458,15269,6101,34858,35367,35717,31633,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),16793,11499,6652,19481,14670,9982,5665,17143,13037,8863,4941,15634,12672,8548,4928,14685,11283,7670,4409,13358,11187,9274,7257,
支付的各项税费(万元),3775,2459,1385,4692,3759,2601,1318,5620,4290,2823,1466,5486,4042,2633,1552,4771,3423,2183,1092,4052,3397,3343,2626,
支付的其他与经营活动有关的现金(万元),5545,3674,1280,5713,4256,3001,1191,4909,3887,2633,1061,4706,3640,2405,2772,4673,3587,2241,1271,4167,3796,3824,2825,
经营活动现金流出小计(万元),72026,48033,24490,78562,68073,42134,19642,72542,59243,39476,17977,61609,53726,35279,16533,57042,46751,27363,12873,56434,53747,52159,44341,
经营活动产生的现金流量净额(万元),12345,10266,3912,11960,4029,-1032,962,21500,13586,10228,4032,14897,10168,6813,3317,14108,8741,7179,3346,10921,12568,8664,7258,
收回投资所收到的现金(万元),29945,13000,2500,78328,38840,140,140,93400,6000,6000,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),965,781,-12,296,436,903,107,1474,745,631,,624,,,,48,84,79,21,,561,71,34,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),528,1,,138,38,,,124,90,22,2,178,88,49,,71,68,1,0,157,105,4,5,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,170,70,,352,352,352,352,73,608,442,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),31439,13781,2488,78762,39314,1043,247,94997,6835,6653,2,803,258,119,0,471,504,432,373,231,1274,517,39,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2606,2054,1430,7145,3550,2076,1173,7575,5394,2855,1008,5479,3114,1491,52,5837,5264,4052,1996,13569,10351,5495,4501,
投资所支付的现金(万元),29800,13000,2500,80690,41490,,,87400,,,,44700,44700,44700,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,327,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,93,93,64,,,,80,620,304,555,64,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),32406,15054,3930,87835,45040,2076,1173,94975,5394,2855,1008,50179,47907,46285,116,5837,5264,4052,2076,14189,10655,6050,4892,
